Cust_num,Region,Age,Order_Quantity,Customer_Type,Overall_Satisfaction
176,1,24,39,Prime,Satisfied
177,1,56,6,Prime,Dis Satisfied
178,1,39,9,Prime,Dis Satisfied
179,0,60,30,Prime,Dis Satisfied
180,0,24,54,Prime,Satisfied
181,1,35,61,Prime,Satisfied
182,1,46,9,Non_Prime,Dis Satisfied
183,1,38,31,Non_Prime,Dis Satisfied
184,0,19,33,Prime,Satisfied
185,1,40,81,Prime,Satisfied
186,1,39,9,Non_Prime,Dis Satisfied
187,1,66,10,Prime,Dis Satisfied
188,0,32,65,Prime,Satisfied
189,1,27,80,Prime,Satisfied
190,0,45,11,Prime,Dis Satisfied
191,1,19,84,Prime,Satisfied
192,1,58,11,Prime,Dis Satisfied
193,1,18,47,Prime,Dis Satisfied
194,0,39,37,Prime,Dis Satisfied
195,1,67,35,Prime,Satisfied
196,0,64,31,Non_Prime,Dis Satisfied
197,1,55,5,Non_Prime,Satisfied
198,1,50,37,Non_Prime,Dis Satisfied
199,1,67,40,Non_Prime,Dis Satisfied
200,1,33,62,Prime,Satisfied
201,1,55,7,Non_Prime,Satisfied
202,1,41,37,Prime,Satisfied
203,1,37,27,Prime,Dis Satisfied
204,0,24,62,Prime,Dis Satisfied
205,0,21,96,Prime,Dis Satisfied
206,1,31,63,Non_Prime,Satisfied
207,0,40,33,Prime,Satisfied
208,0,36,91,Non_Prime,Satisfied
209,1,23,68,Prime,Satisfied
210,1,69,5,Non_Prime,Dis Satisfied
211,0,32,98,Prime,Satisfied
212,1,42,41,Prime,Satisfied
213,1,24,72,Prime,Satisfied
214,0,42,15,Prime,Dis Satisfied
215,1,42,73,Prime,Satisfied
216,0,21,72,Prime,Satisfied
217,0,32,17,Prime,Dis Satisfied
218,1,55,19,Prime,Dis Satisfied
219,1,56,35,Prime,Dis Satisfied
220,0,67,26,Prime,Dis Satisfied
221,0,48,21,Prime,Dis Satisfied
222,1,36,92,Non_Prime,Satisfied
223,1,29,36,Prime,Satisfied
224,0,56,14,Non_Prime,Dis Satisfied
225,1,22,80,Prime,Satisfied
226,0,64,36,Prime,Dis Satisfied
227,0,23,72,Prime,Satisfied
228,1,35,33,Non_Prime,Dis Satisfied
229,0,19,55,Prime,Satisfied
230,0,42,45,Prime,Satisfied
231,0,22,66,Prime,Satisfied
232,0,40,69,Prime,Satisfied
233,0,35,66,Prime,Satisfied
234,1,22,38,Non_Prime,Satisfied
235,0,26,58,Prime,Satisfied
236,1,46,40,Non_Prime,Dis Satisfied
237,1,46,36,Prime,Dis Satisfied
238,1,41,100,Prime,Satisfied
239,0,35,16,Non_Prime,Dis Satisfied
240,0,56,27,Non_Prime,Dis Satisfied
241,0,25,52,Non_Prime,Satisfied
242,1,55,6,Non_Prime,Dis Satisfied
243,1,33,31,Non_Prime,Dis Satisfied
244,0,62,29,Non_Prime,Dis Satisfied
245,0,33,92,Prime,Satisfied
246,1,49,5,Non_Prime,Dis Satisfied
247,1,18,83,Prime,Satisfied
248,0,33,92,Non_Prime,Satisfied
249,1,44,19,Non_Prime,Dis Satisfied
250,0,52,36,Non_Prime,Dis Satisfied
251,1,70,18,Non_Prime,Dis Satisfied
252,0,45,39,Prime,Satisfied
253,1,55,22,Prime,Dis Satisfied
254,1,54,6,Non_Prime,Dis Satisfied
255,1,41,35,Non_Prime,Dis Satisfied
256,1,42,83,Non_Prime,Satisfied
257,1,42,84,Prime,Satisfied
258,0,55,26,Non_Prime,Dis Satisfied
259,0,39,8,Non_Prime,Dis Satisfied
260,0,24,89,Non_Prime,Satisfied
261,1,55,24,Prime,Dis Satisfied
262,1,48,9,Prime,Dis Satisfied
263,0,58,28,Non_Prime,Dis Satisfied
264,0,56,14,Prime,Dis Satisfied
265,1,43,33,Prime,Dis Satisfied
266,1,38,78,Prime,Satisfied
267,1,63,23,Non_Prime,Dis Satisfied
268,0,69,35,Prime,Dis Satisfied
269,1,43,88,Prime,Satisfied
270,1,35,97,Prime,Satisfied
271,1,19,30,Non_Prime,Satisfied
272,1,46,8,Prime,Dis Satisfied
273,1,41,84,Prime,Satisfied
274,1,33,81,Non_Prime,Satisfied
275,0,56,39,Non_Prime,Dis Satisfied
276,1,64,20,Non_Prime,Dis Satisfied
277,1,29,85,Prime,Satisfied
278,1,38,97,Prime,Satisfied
279,1,40,63,Prime,Satisfied
280,1,39,35,Non_Prime,Dis Satisfied
281,1,61,20,Non_Prime,Dis Satisfied
282,1,47,37,Non_Prime,Dis Satisfied
283,0,45,76,Prime,Satisfied
284,0,19,94,Prime,Satisfied
285,1,37,15,Non_Prime,Dis Satisfied
286,1,47,34,Prime,Dis Satisfied
287,0,60,13,Prime,Dis Satisfied
288,0,24,83,Prime,Satisfied
289,1,24,60,Non_Prime,Satisfied
290,0,31,38,Prime,Satisfied
291,0,30,25,Non_Prime,Dis Satisfied
292,0,64,35,Prime,Dis Satisfied
293,1,36,58,Prime,Satisfied
294,1,37,11,Prime,Dis Satisfied
295,0,32,47,Prime,Satisfied
296,1,59,27,Prime,Dis Satisfied
297,0,59,30,Prime,Dis Satisfied
298,0,64,22,Non_Prime,Dis Satisfied
299,0,70,31,Prime,Dis Satisfied
300,1,26,31,Prime,Satisfied
301,1,19,32,Prime,Satisfied
302,0,37,33,Prime,Dis Satisfied
303,1,30,20,Prime,Dis Satisfied
304,0,27,89,Non_Prime,Satisfied
305,0,60,31,Prime,Dis Satisfied
306,0,37,60,Non_Prime,Satisfied
307,0,34,76,Prime,Satisfied
308,1,20,70,Prime,Satisfied
309,0,49,16,Prime,Dis Satisfied
310,0,53,21,Non_Prime,Dis Satisfied
311,1,25,40,Prime,Satisfied
312,1,37,54,Prime,Satisfied
313,0,47,13,Non_Prime,Dis Satisfied
314,1,20,30,Prime,Satisfied
315,1,31,51,Prime,Satisfied
316,1,48,14,Prime,Dis Satisfied
317,0,32,40,Non_Prime,Dis Satisfied
318,0,40,15,Non_Prime,Dis Satisfied
319,0,30,9,Non_Prime,Dis Satisfied
320,1,48,25,Prime,Dis Satisfied
321,0,45,53,Non_Prime,Satisfied
322,1,38,37,Prime,Satisfied
323,0,63,24,Non_Prime,Dis Satisfied
324,0,35,41,Prime,Satisfied
325,0,63,19,Prime,Dis Satisfied
326,1,24,62,Prime,Satisfied
327,1,55,15,Non_Prime,Dis Satisfied
328,1,65,17,Non_Prime,Dis Satisfied
329,0,60,10,Non_Prime,Dis Satisfied
330,0,24,84,Prime,Satisfied
331,1,46,39,Prime,Dis Satisfied
332,1,33,11,Prime,Dis Satisfied
333,1,41,41,Prime,Satisfied
334,0,48,17,Prime,Dis Satisfied
335,0,53,30,Prime,Dis Satisfied
336,1,41,31,Non_Prime,Dis Satisfied
337,0,44,44,Prime,Satisfied
338,0,47,33,Non_Prime,Dis Satisfied
339,1,60,33,Prime,Dis Satisfied
340,0,33,55,Prime,Satisfied
341,0,38,47,Prime,Satisfied
342,0,41,73,Non_Prime,Satisfied
343,0,24,74,Prime,Satisfied
344,0,40,27,Non_Prime,Dis Satisfied
345,0,23,32,Prime,Satisfied
346,1,57,5,Prime,Dis Satisfied
347,1,66,9,Non_Prime,Dis Satisfied
348,0,40,30,Prime,Dis Satisfied
349,0,51,35,Non_Prime,Dis Satisfied
350,1,27,83,Non_Prime,Satisfied
351,1,43,28,Prime,Dis Satisfied
352,0,34,6,Prime,Dis Satisfied
353,0,28,45,Prime,Satisfied
354,0,20,46,Non_Prime,Satisfied
355,1,55,33,Prime,Dis Satisfied
356,0,23,82,Non_Prime,Satisfied
357,1,46,29,Non_Prime,Dis Satisfied
358,0,23,86,Prime,Satisfied
359,1,42,35,Prime,Dis Satisfied
360,1,40,27,Non_Prime,Dis Satisfied
361,1,45,100,Prime,Satisfied
362,1,20,44,Non_Prime,Satisfied
363,1,50,11,Prime,Dis Satisfied
364,1,26,53,Prime,Satisfied
365,1,31,69,Non_Prime,Satisfied
366,0,26,68,Prime,Satisfied
367,1,63,27,Non_Prime,Dis Satisfied
368,1,47,33,Non_Prime,Dis Satisfied
369,1,68,38,Non_Prime,Dis Satisfied
370,1,65,29,Non_Prime,Dis Satisfied
371,0,31,92,Prime,Satisfied
372,1,44,8,Non_Prime,Dis Satisfied
373,0,30,90,Prime,Satisfied
374,1,31,35,Prime,Dis Satisfied
375,1,31,17,Prime,Dis Satisfied
376,1,60,19,Non_Prime,Dis Satisfied
377,1,21,78,Prime,Satisfied
378,0,49,24,Non_Prime,Dis Satisfied
379,1,28,33,Prime,Satisfied
380,0,41,52,Non_Prime,Satisfied
381,0,33,35,Non_Prime,Dis Satisfied
382,1,31,24,Non_Prime,Dis Satisfied
383,1,60,40,Non_Prime,Dis Satisfied
384,0,38,38,Prime,Satisfied
385,0,30,52,Prime,Satisfied
386,1,33,10,Non_Prime,Dis Satisfied
387,0,47,28,Non_Prime,Dis Satisfied
388,1,31,57,Prime,Satisfied
389,0,27,98,Prime,Satisfied
390,1,68,6,Non_Prime,Dis Satisfied
391,1,28,41,Prime,Satisfied
392,0,36,39,Prime,Dis Satisfied
393,1,42,65,Prime,Satisfied
394,1,56,36,Prime,Dis Satisfied
395,1,48,18,Non_Prime,Dis Satisfied
396,1,67,11,Non_Prime,Dis Satisfied
397,0,40,7,Non_Prime,Dis Satisfied
398,1,45,8,Non_Prime,Dis Satisfied
399,0,61,17,Prime,Dis Satisfied
400,0,34,85,Prime,Satisfied
401,1,42,48,Prime,Satisfied
402,1,54,24,Prime,Dis Satisfied
403,0,43,35,Non_Prime,Satisfied
404,0,40,14,Non_Prime,Dis Satisfied
405,0,42,20,Non_Prime,Dis Satisfied
406,0,39,14,Prime,Dis Satisfied
407,1,46,11,Prime,Dis Satisfied
408,0,34,26,Non_Prime,Dis Satisfied
409,0,52,15,Non_Prime,Dis Satisfied
410,1,65,14,Prime,Dis Satisfied
411,1,30,94,Non_Prime,Satisfied
412,0,55,11,Non_Prime,Dis Satisfied
413,0,36,17,Non_Prime,Dis Satisfied
414,1,42,43,Non_Prime,Satisfied
415,0,34,30,Prime,Dis Satisfied
416,0,44,64,Prime,Satisfied
417,0,45,18,Non_Prime,Dis Satisfied
418,0,38,29,Non_Prime,Dis Satisfied
419,1,30,71,Non_Prime,Satisfied
420,1,63,5,Prime,Dis Satisfied
421,1,25,35,Prime,Satisfied
422,1,55,22,Non_Prime,Dis Satisfied
423,1,31,22,Prime,Dis Satisfied
424,1,36,82,Prime,Satisfied
425,1,56,7,Non_Prime,Dis Satisfied
426,0,66,23,Prime,Dis Satisfied
427,1,49,31,Prime,Dis Satisfied
428,0,36,57,Prime,Satisfied
429,1,22,45,Prime,Satisfied
430,1,33,65,Prime,Satisfied
431,1,61,28,Non_Prime,Dis Satisfied
432,1,30,14,Non_Prime,Dis Satisfied
433,0,68,15,Non_Prime,Dis Satisfied
434,1,31,15,Non_Prime,Dis Satisfied
435,0,51,23,Non_Prime,Dis Satisfied
436,1,45,78,Prime,Satisfied
437,0,51,37,Prime,Dis Satisfied
438,1,45,7,Prime,Dis Satisfied
439,1,32,37,Non_Prime,Dis Satisfied
440,0,31,12,Non_Prime,Dis Satisfied
441,0,48,28,Prime,Dis Satisfied
442,1,36,33,Prime,Satisfied
443,1,69,38,Non_Prime,Dis Satisfied
444,1,69,14,Non_Prime,Dis Satisfied
445,0,68,38,Non_Prime,Dis Satisfied
446,0,48,22,Non_Prime,Dis Satisfied
447,0,38,47,Prime,Satisfied
448,0,58,30,Non_Prime,Dis Satisfied
449,0,32,65,Prime,Satisfied
450,0,69,24,Prime,Dis Satisfied
451,1,39,7,Non_Prime,Dis Satisfied
452,0,40,38,Non_Prime,Dis Satisfied
453,0,56,37,Non_Prime,Dis Satisfied
454,1,46,26,Prime,Dis Satisfied
455,0,64,24,Non_Prime,Dis Satisfied
456,0,18,94,Prime,Satisfied
457,0,21,94,Prime,Satisfied
458,1,60,11,Non_Prime,Dis Satisfied
459,0,43,51,Prime,Satisfied
460,1,59,13,Non_Prime,Dis Satisfied
461,1,44,15,Prime,Dis Satisfied
462,1,30,20,Prime,Dis Satisfied
463,1,32,88,Prime,Satisfied
464,1,41,69,Non_Prime,Satisfied
465,1,24,56,Non_Prime,Satisfied
466,0,55,25,Non_Prime,Dis Satisfied
467,0,21,80,Prime,Satisfied
468,0,28,45,Prime,Satisfied
469,1,68,31,Prime,Dis Satisfied
470,1,45,98,Prime,Satisfied
471,1,56,30,Non_Prime,Dis Satisfied
472,0,33,63,Non_Prime,Satisfied
473,1,19,35,Prime,Satisfied
474,0,56,26,Prime,Dis Satisfied
475,1,32,70,Prime,Satisfied
476,0,40,74,Prime,Satisfied
477,0,32,38,Non_Prime,Dis Satisfied
478,1,40,93,Prime,Satisfied
479,0,65,28,Non_Prime,Dis Satisfied
480,0,63,9,Prime,Dis Satisfied
481,0,29,76,Prime,Satisfied
482,1,45,77,Non_Prime,Satisfied
483,1,37,38,Non_Prime,Dis Satisfied
484,0,69,15,Prime,Dis Satisfied
485,1,44,22,Non_Prime,Dis Satisfied
486,0,46,26,Non_Prime,Dis Satisfied
487,1,50,14,Prime,Dis Satisfied
488,1,45,51,Prime,Satisfied
489,0,30,37,Non_Prime,Dis Satisfied
490,0,60,6,Non_Prime,Dis Satisfied
491,0,43,50,Prime,Satisfied
492,1,47,40,Non_Prime,Dis Satisfied
493,0,19,83,Prime,Satisfied
494,0,41,30,Non_Prime,Satisfied
495,0,37,16,Non_Prime,Dis Satisfied
496,0,49,22,Non_Prime,Dis Satisfied
497,0,51,10,Prime,Dis Satisfied
498,0,36,27,Non_Prime,Dis Satisfied
499,0,66,18,Non_Prime,Dis Satisfied
500,1,41,75,Prime,Satisfied
501,1,28,87,Prime,Satisfied
502,0,32,45,Prime,Satisfied
503,0,45,26,Prime,Dis Satisfied
504,0,41,10,Non_Prime,Dis Satisfied
505,1,37,22,Non_Prime,Dis Satisfied
506,1,51,20,Non_Prime,Dis Satisfied
507,0,42,33,Non_Prime,Dis Satisfied
508,1,36,62,Prime,Satisfied
509,1,24,82,Prime,Satisfied
510,0,44,15,Non_Prime,Dis Satisfied
511,1,26,61,Prime,Satisfied
512,1,26,52,Prime,Satisfied
513,0,57,5,Non_Prime,Dis Satisfied
514,0,65,24,Prime,Dis Satisfied
515,0,41,26,Prime,Dis Satisfied
516,1,20,42,Prime,Satisfied
517,0,25,38,Prime,Satisfied
518,1,38,30,Non_Prime,Dis Satisfied
519,0,41,9,Non_Prime,Dis Satisfied
520,1,19,94,Prime,Satisfied
521,1,43,15,Prime,Dis Satisfied
522,0,41,40,Prime,Dis Satisfied
523,1,31,13,Prime,Dis Satisfied
524,1,36,15,Prime,Dis Satisfied
525,0,44,22,Non_Prime,Dis Satisfied
526,0,67,19,Non_Prime,Dis Satisfied
527,1,34,22,Non_Prime,Dis Satisfied
528,1,34,51,Prime,Satisfied
529,1,63,15,Non_Prime,Dis Satisfied
530,0,52,13,Non_Prime,Dis Satisfied
531,0,43,12,Non_Prime,Dis Satisfied
532,0,60,17,Non_Prime,Dis Satisfied
533,1,56,17,Non_Prime,Dis Satisfied
534,0,22,34,Prime,Satisfied
535,1,22,59,Prime,Satisfied
536,1,55,24,Non_Prime,Dis Satisfied
537,1,20,79,Prime,Satisfied
538,1,31,36,Non_Prime,Dis Satisfied
539,0,25,37,Non_Prime,Satisfied
540,1,39,88,Prime,Satisfied
541,0,28,82,Non_Prime,Satisfied
542,0,53,32,Prime,Dis Satisfied
543,1,45,30,Prime,Dis Satisfied
544,0,65,28,Prime,Dis Satisfied
545,1,42,27,Non_Prime,Dis Satisfied
546,1,38,32,Non_Prime,Dis Satisfied
547,0,30,44,Prime,Satisfied
548,1,43,85,Prime,Satisfied
549,1,68,15,Prime,Dis Satisfied
550,0,35,54,Prime,Satisfied
551,0,41,9,Non_Prime,Dis Satisfied
552,1,61,36,Non_Prime,Dis Satisfied
553,1,46,5,Non_Prime,Dis Satisfied
554,0,35,30,Non_Prime,Dis Satisfied
555,1,48,16,Prime,Dis Satisfied
556,0,32,33,Non_Prime,Dis Satisfied
557,0,36,19,Prime,Dis Satisfied
558,1,30,54,Prime,Satisfied
559,0,49,10,Prime,Dis Satisfied
560,1,36,48,Prime,Satisfied
561,1,67,11,Non_Prime,Dis Satisfied
562,1,30,8,Non_Prime,Dis Satisfied
563,1,47,37,Prime,Dis Satisfied
564,1,64,30,Prime,Dis Satisfied
565,1,36,17,Prime,Dis Satisfied
566,0,46,35,Non_Prime,Dis Satisfied
567,0,28,36,Prime,Satisfied
568,1,41,57,Prime,Satisfied
569,0,43,38,Prime,Satisfied
570,0,57,29,Non_Prime,Dis Satisfied
571,0,50,31,Prime,Dis Satisfied
572,1,45,44,Prime,Satisfied
573,1,57,35,Non_Prime,Dis Satisfied
574,0,44,27,Non_Prime,Dis Satisfied
575,1,46,21,Non_Prime,Dis Satisfied
576,1,58,26,Non_Prime,Dis Satisfied
577,0,37,93,Non_Prime,Satisfied
578,0,45,76,Prime,Satisfied
579,0,31,65,Prime,Satisfied
580,0,32,12,Prime,Dis Satisfied
581,1,30,32,Non_Prime,Satisfied
582,1,35,17,Non_Prime,Dis Satisfied
583,1,35,38,Non_Prime,Dis Satisfied
584,1,63,6,Prime,Dis Satisfied
585,1,61,18,Prime,Dis Satisfied
586,1,40,73,Prime,Satisfied
587,0,26,58,Prime,Satisfied
588,1,54,11,Non_Prime,Dis Satisfied
589,1,51,35,Non_Prime,Dis Satisfied
590,1,47,31,Prime,Dis Satisfied
591,0,44,8,Non_Prime,Dis Satisfied
592,1,41,5,Non_Prime,Dis Satisfied
593,0,46,37,Prime,Dis Satisfied
594,1,41,39,Non_Prime,Dis Satisfied
595,0,46,14,Prime,Dis Satisfied
596,1,27,77,Non_Prime,Satisfied
597,0,63,36,Non_Prime,Dis Satisfied
598,1,25,69,Prime,Satisfied
599,0,68,9,Non_Prime,Dis Satisfied
600,0,41,64,Prime,Satisfied
601,0,38,86,Prime,Satisfied
602,1,33,74,Non_Prime,Satisfied
603,0,36,79,Prime,Satisfied
604,1,31,90,Prime,Satisfied
605,0,34,14,Non_Prime,Dis Satisfied
606,1,37,35,Non_Prime,Dis Satisfied
607,1,62,36,Non_Prime,Dis Satisfied
608,0,23,90,Non_Prime,Satisfied
609,1,39,43,Prime,Satisfied
610,0,30,19,Non_Prime,Dis Satisfied
611,1,37,24,Prime,Dis Satisfied
612,0,52,25,Prime,Dis Satisfied
613,0,69,35,Non_Prime,Dis Satisfied
614,0,51,28,Prime,Dis Satisfied
615,0,57,27,Non_Prime,Dis Satisfied
616,0,69,13,Prime,Dis Satisfied
617,0,30,11,Non_Prime,Dis Satisfied
618,0,40,22,Prime,Dis Satisfied
619,1,67,31,Non_Prime,Dis Satisfied
620,1,36,39,Non_Prime,Satisfied
621,1,18,62,Prime,Satisfied
622,0,18,100,Non_Prime,Satisfied
623,1,60,20,Prime,Dis Satisfied
624,1,42,17,Non_Prime,Dis Satisfied
625,0,59,37,Non_Prime,Dis Satisfied
626,1,21,38,Prime,Satisfied
627,1,32,74,Prime,Satisfied
628,1,51,10,Non_Prime,Dis Satisfied
629,0,31,23,Non_Prime,Dis Satisfied
630,1,31,17,Non_Prime,Dis Satisfied
631,0,55,6,Non_Prime,Dis Satisfied
632,0,36,14,Non_Prime,Dis Satisfied
633,0,21,33,Prime,Satisfied
634,1,54,12,Non_Prime,Dis Satisfied
635,1,35,10,Non_Prime,Dis Satisfied
636,0,43,30,Prime,Satisfied
637,0,38,15,Non_Prime,Dis Satisfied
638,0,35,32,Prime,Satisfied
639,1,65,30,Non_Prime,Dis Satisfied
640,0,34,25,Non_Prime,Dis Satisfied
641,1,51,27,Prime,Dis Satisfied
642,0,35,65,Prime,Satisfied
643,1,57,22,Non_Prime,Dis Satisfied
644,1,33,77,Non_Prime,Satisfied
645,0,54,27,Non_Prime,Dis Satisfied
646,1,26,51,Prime,Satisfied
647,1,61,26,Non_Prime,Dis Satisfied
648,1,44,44,Prime,Satisfied
649,1,52,34,Non_Prime,Dis Satisfied
650,1,40,94,Prime,Satisfied
651,0,54,29,Non_Prime,Dis Satisfied
652,1,24,100,Prime,Satisfied
653,1,67,13,Non_Prime,Dis Satisfied
654,0,34,12,Non_Prime,Dis Satisfied
655,0,38,32,Non_Prime,Dis Satisfied
656,0,35,100,Prime,Satisfied
657,0,64,6,Prime,Dis Satisfied
658,0,51,20,Non_Prime,Dis Satisfied
659,1,36,51,Prime,Satisfied
660,0,34,80,Prime,Satisfied
661,0,28,45,Prime,Satisfied
662,0,36,37,Non_Prime,Dis Satisfied
