Unique_id,AD_ID,Date,Time,Client Product Code,Product ID,Network ID,Length,Orders
SPYMYA60A010416440.916666666666667,SPYMYA60A010,1/5/2014,10:00 PM,MSDR02,SPYMYA,DIY,60,1
SPYMYA2MC046416440.416666666666667,SPYMYA2MC046,1/5/2014,10:00 AM,MSDR02,SPYMYA,TWC,120,1
SPYMYA2MC009416440.0416666666666667,SPYMYA2MC009,1/5/2014,1:00 AM,MSDR02,SPYMYA,TRAV,120,2
SPYMYA2MC009416440.375,SPYMYA2MC009,1/5/2014,9:00 AM,MSDR02,SPYMYA,TRAV,120,1
SPYMYA2MC009416440.458333333333333,SPYMYA2MC009,1/5/2014,11:00 AM,MSDR02,SPYMYA,TRAV,120,1
SPYMYA2MC009416440,SPYMYA2MC009,1/5/2014,12:00 AM,MSDR02,SPYMYA,TRAV,120,2
SPYMYA2MC009416440.541666666666667,SPYMYA2MC009,1/5/2014,1:00 PM,MSDR02,SPYMYA,TRAV,120,2
SPYMYA2MC009416440.708333333333333,SPYMYA2MC009,1/5/2014,5:00 PM,MSDR02,SPYMYA,TRAV,120,3
SPYMYA2MC009416440.791666666666667,SPYMYA2MC009,1/5/2014,7:00 PM,MSDR02,SPYMYA,TRAV,120,1
SPYMYA2MC009416440.833333333333333,SPYMYA2MC009,1/5/2014,8:00 PM,MSDR02,SPYMYA,TRAV,120,1
SPYMYA60B024416440.333333333333333,SPYMYA60B024,1/5/2014,8:00 AM,MSDR02,SPYMYA,VELLOC,60,1
SPYMYA60B024416440.541666666666667,SPYMYA60B024,1/5/2014,1:00 PM,MSDR02,SPYMYA,VELLOC,60,1
SPYMYA60A001416440.375,SPYMYA60A001,1/5/2014,9:00 AM,MSDR02,SPYMYA,FOXNC,60,1
SPYMYA60D001H416440.416666666666667,SPYMYA60D001H,1/5/2014,10:00 AM,MSDR02,SPYMYA,HUBLOC,60,1
SPYMYA60D001H416440.833333333333333,SPYMYA60D001H,1/5/2014,8:00 PM,MSDR02,SPYMYA,HUBLOC,60,1
SPYMYA2MC023416440.541666666666667,SPYMYA2MC023,1/5/2014,1:00 PM,MSDR02,SPYMYA,LIF,120,1
SPYMYA2MC023416440.833333333333333,SPYMYA2MC023,1/5/2014,8:00 PM,MSDR02,SPYMYA,LIF,120,14
SPYMYA2MC023416440.875,SPYMYA2MC023,1/5/2014,9:00 PM,MSDR02,SPYMYA,LIF,120,2
SPYMYA2MC023416440.916666666666667,SPYMYA2MC023,1/5/2014,10:00 PM,MSDR02,SPYMYA,LIF,120,9
SPYMYA2MC045416440.666666666666667,SPYMYA2MC045,1/5/2014,4:00 PM,MSDR02,SPYMYA,CNN,120,1
SPYMYA2MC050416440.375,SPYMYA2MC050,1/5/2014,9:00 AM,MSDR02,SPYMYA,AEN,120,3
SPYMYA2MC050416440.416666666666667,SPYMYA2MC050,1/5/2014,10:00 AM,MSDR02,SPYMYA,AEN,120,1
SPYMYA2MC050416440.458333333333333,SPYMYA2MC050,1/5/2014,11:00 AM,MSDR02,SPYMYA,AEN,120,1
SPYMYA2MC050416440.791666666666667,SPYMYA2MC050,1/5/2014,7:00 PM,MSDR02,SPYMYA,AEN,120,1
SPYMYA60C012H416440.416666666666667,SPYMYA60C012H,1/5/2014,10:00 AM,MSDR02,SPYMYA,FAM,60,4
SPYMYA60C012H416440.458333333333333,SPYMYA60C012H,1/5/2014,11:00 AM,MSDR02,SPYMYA,FAM,60,1
SPYMYA60C012H416440,SPYMYA60C012H,1/5/2014,12:00 AM,MSDR02,SPYMYA,FAM,60,4
SPYMYA60C012H416440.625,SPYMYA60C012H,1/5/2014,3:00 PM,MSDR02,SPYMYA,FAM,60,1
SPYMYA60C012H416440.791666666666667,SPYMYA60C012H,1/5/2014,7:00 PM,MSDR02,SPYMYA,FAM,60,2
SPYMYA60A002416440.416666666666667,SPYMYA60A002,1/5/2014,10:00 AM,MSDR02,SPYMYA,WGNA,60,1
SPYMYA2MC001416440.708333333333333,SPYMYA2MC001,1/5/2014,5:00 PM,MSDR02,SPYMYA,ESQ,120,1
SPYMYA2MC001416440.75,SPYMYA2MC001,1/5/2014,6:00 PM,MSDR02,SPYMYA,ESQ,120,1
SPYMYA2MC001416440.791666666666667,SPYMYA2MC001,1/5/2014,7:00 PM,MSDR02,SPYMYA,ESQ,120,2
SPYMYA2MC089416440.0416666666666667,SPYMYA2MC089,1/5/2014,1:00 AM,MSDR02,SPYMYA,ION,120,1
SPYMYA2MC089416440.333333333333333,SPYMYA2MC089,1/5/2014,8:00 AM,MSDR02,SPYMYA,ION,120,1
SPYMYA2MC089416440.583333333333333,SPYMYA2MC089,1/5/2014,2:00 PM,MSDR02,SPYMYA,ION,120,1
SPYMYA2MC089416440.666666666666667,SPYMYA2MC089,1/5/2014,4:00 PM,MSDR02,SPYMYA,ION,120,1
SPYMYA2MC089416440.791666666666667,SPYMYA2MC089,1/5/2014,7:00 PM,MSDR02,SPYMYA,ION,120,1
SPYMYA2ME010416440.0833333333333333,SPYMYA2ME010,1/5/2014,2:00 AM,MSDR02,SPYMYA,TNNK,120,1
SPYMYA2ME010416440.416666666666667,SPYMYA2ME010,1/5/2014,10:00 AM,MSDR02,SPYMYA,TNNK,120,1
SPYMYA2ME010416440.458333333333333,SPYMYA2ME010,1/5/2014,11:00 AM,MSDR02,SPYMYA,TNNK,120,1
SPYMYA2MC082416440.666666666666667,SPYMYA2MC082,1/5/2014,4:00 PM,MSDR02,SPYMYA,VH1,120,1
SPYMYA2MC006416440.791666666666667,SPYMYA2MC006,1/5/2014,7:00 PM,MSDR02,SPYMYA,TVGN,120,1
SPYMYA2MC024416440.416666666666667,SPYMYA2MC024,1/5/2014,10:00 AM,MSDR02,SPYMYA,LMN,120,9
SPYMYA2MC024416440.458333333333333,SPYMYA2MC024,1/5/2014,11:00 AM,MSDR02,SPYMYA,LMN,120,2
SPYMYA2MC024416440.541666666666667,SPYMYA2MC024,1/5/2014,1:00 PM,MSDR02,SPYMYA,LMN,120,2
SPYMYA2MC024416440.75,SPYMYA2MC024,1/5/2014,6:00 PM,MSDR02,SPYMYA,LMN,120,1
SPYMYA2MC024416440.791666666666667,SPYMYA2MC024,1/5/2014,7:00 PM,MSDR02,SPYMYA,LMN,120,10
SPYMYA2MA001416440.791666666666667,SPYMYA2MA001,1/5/2014,7:00 PM,MSDR02,SPYMYA,HALL,120,1
SPYMYA2MC086416440,SPYMYA2MC086,1/5/2014,12:00 AM,MSDR02,SPYMYA,FUSN,120,1
SPYMYA2MC014416440.416666666666667,SPYMYA2MC014,1/5/2014,10:00 AM,MSDR02,SPYMYA,GSN,120,1
SPYMYA2MC014416440.541666666666667,SPYMYA2MC014,1/5/2014,1:00 PM,MSDR02,SPYMYA,GSN,120,3
SPYMYA2MC014416440.625,SPYMYA2MC014,1/5/2014,3:00 PM,MSDR02,SPYMYA,GSN,120,1
SPYMYA2MC014416440.666666666666667,SPYMYA2MC014,1/5/2014,4:00 PM,MSDR02,SPYMYA,GSN,120,2
SPYMYA2MC014416440.875,SPYMYA2MC014,1/5/2014,9:00 PM,MSDR02,SPYMYA,GSN,120,3
SPYMYA2MC014416440.916666666666667,SPYMYA2MC014,1/5/2014,10:00 PM,MSDR02,SPYMYA,GSN,120,3
SPYMYA2MC068416440.666666666666667,SPYMYA2MC068,1/5/2014,4:00 PM,MSDR02,SPYMYA,SCI,120,2
SPYMYA2MG001416440.458333333333333,SPYMYA2MG001,1/5/2014,11:00 AM,MSDR02,SPYMYA,NBC,120,1
SPYMYA2MG001416440.666666666666667,SPYMYA2MG001,1/5/2014,4:00 PM,MSDR02,SPYMYA,NBC,120,1
SPYMYA2MG001416440.791666666666667,SPYMYA2MG001,1/5/2014,7:00 PM,MSDR02,SPYMYA,NBC,120,1
SPYMYA2MC004416440.208333333333333,SPYMYA2MC004,1/5/2014,5:00 AM,MSDR02,SPYMYA,HALL,120,1
SPYMYA2MC004416440.916666666666667,SPYMYA2MC004,1/5/2014,10:00 PM,MSDR02,SPYMYA,HALL,120,3
SPYMYA2MC040416440.708333333333333,SPYMYA2MC040,1/5/2014,5:00 PM,MSDR02,SPYMYA,MSNBC,120,1
SPYMYA2MC040416440.833333333333333,SPYMYA2MC040,1/5/2014,8:00 PM,MSDR02,SPYMYA,MSNBC,120,4
SPYMYA2MC040416440.875,SPYMYA2MC040,1/5/2014,9:00 PM,MSDR02,SPYMYA,MSNBC,120,1
SPYMYA2MC035416440.0416666666666667,SPYMYA2MC035,1/5/2014,1:00 AM,MSDR02,SPYMYA,USA,120,1
SPYMYA2MC035416440.625,SPYMYA2MC035,1/5/2014,3:00 PM,MSDR02,SPYMYA,USA,120,1
SPYMYA2MC035416440.666666666666667,SPYMYA2MC035,1/5/2014,4:00 PM,MSDR02,SPYMYA,USA,120,1
SPYMYA2MC010416440.541666666666667,SPYMYA2MC010,1/5/2014,1:00 PM,MSDR02,SPYMYA,WGNA,120,6
SPYMYA2MC010416440.583333333333333,SPYMYA2MC010,1/5/2014,2:00 PM,MSDR02,SPYMYA,WGNA,120,1
SPYMYA2MC010416440.666666666666667,SPYMYA2MC010,1/5/2014,4:00 PM,MSDR02,SPYMYA,WGNA,120,9
SPYMYA2MC010416440.791666666666667,SPYMYA2MC010,1/5/2014,7:00 PM,MSDR02,SPYMYA,WGNA,120,1
SPYMYA60A019416440.583333333333333,SPYMYA60A019,1/5/2014,2:00 PM,MSDR02,SPYMYA,GOLF,60,1
SPYMYA60A019416440.833333333333333,SPYMYA60A019,1/5/2014,8:00 PM,MSDR02,SPYMYA,GOLF,60,1
SPYMYA2MC049416440.333333333333333,SPYMYA2MC049,1/5/2014,8:00 AM,MSDR02,SPYMYA,HGTV,120,1
SPYMYA2MC049416440.458333333333333,SPYMYA2MC049,1/5/2014,11:00 AM,MSDR02,SPYMYA,HGTV,120,1
SPYMYA2MC049416440.791666666666667,SPYMYA2MC049,1/5/2014,7:00 PM,MSDR02,SPYMYA,HGTV,120,8
SPYMYA2MC049416440.833333333333333,SPYMYA2MC049,1/5/2014,8:00 PM,MSDR02,SPYMYA,HGTV,120,6
SPYMYA2MC015416440.583333333333333,SPYMYA2MC015,1/5/2014,2:00 PM,MSDR02,SPYMYA,HMC,120,1
SPYMYA2MC025416440.75,SPYMYA2MC025,1/5/2014,6:00 PM,MSDR02,SPYMYA,LOGO,120,1
SPYMYA2MC025416440.791666666666667,SPYMYA2MC025,1/5/2014,7:00 PM,MSDR02,SPYMYA,LOGO,120,1
SPYMYA2MC025416440.916666666666667,SPYMYA2MC025,1/5/2014,10:00 PM,MSDR02,SPYMYA,LOGO,120,1
SPYMYA2MC038416450.416666666666667,SPYMYA2MC038,1/6/2014,10:00 AM,MSDR02,SPYMYA,HIST,120,2
SPYMYA2MC038416450.583333333333333,SPYMYA2MC038,1/6/2014,2:00 PM,MSDR02,SPYMYA,HIST,120,2
SPYMYA2MC038416450.625,SPYMYA2MC038,1/6/2014,3:00 PM,MSDR02,SPYMYA,HIST,120,1
SPYMYA2ME014H416450.541666666666667,SPYMYA2ME014H,1/6/2014,1:00 PM,MSDR02,SPYMYA,FAM,120,1
SPYMYA2ME014H416450.583333333333333,SPYMYA2ME014H,1/6/2014,2:00 PM,MSDR02,SPYMYA,FAM,120,2
SPYMYA2ME014H416450.916666666666667,SPYMYA2ME014H,1/6/2014,10:00 PM,MSDR02,SPYMYA,FAM,120,1
SPYMYA60A030416450.625,SPYMYA60A030,1/6/2014,3:00 PM,MSDR02,SPYMYA,TRAV,60,1
SPYMYA60A030416450.666666666666667,SPYMYA60A030,1/6/2014,4:00 PM,MSDR02,SPYMYA,TRAV,60,2
SPYMYA60A030416450.708333333333333,SPYMYA60A030,1/6/2014,5:00 PM,MSDR02,SPYMYA,TRAV,60,1
SPYMYA60A030416450.791666666666667,SPYMYA60A030,1/6/2014,7:00 PM,MSDR02,SPYMYA,TRAV,60,1
SPYMYA2MC016416450.541666666666667,SPYMYA2MC016,1/6/2014,1:00 PM,MSDR02,SPYMYA,DIY,120,1
SPYMYA2MC011416450.375,SPYMYA2MC011,1/6/2014,9:00 AM,MSDR02,SPYMYA,INSP,120,1
SPYMYA2MC011416450,SPYMYA2MC011,1/6/2014,12:00 AM,MSDR02,SPYMYA,INSP,120,1
SPYMYA2MC011416450.541666666666667,SPYMYA2MC011,1/6/2014,1:00 PM,MSDR02,SPYMYA,INSP,120,1
SPYMYA2MC011416450.625,SPYMYA2MC011,1/6/2014,3:00 PM,MSDR02,SPYMYA,INSP,120,1
SPYMYA2MC011416450.666666666666667,SPYMYA2MC011,1/6/2014,4:00 PM,MSDR02,SPYMYA,INSP,120,1
SPYMYA2MC011416450.75,SPYMYA2MC011,1/6/2014,6:00 PM,MSDR02,SPYMYA,INSP,120,1
SPYMYA2MC011416450.791666666666667,SPYMYA2MC011,1/6/2014,7:00 PM,MSDR02,SPYMYA,INSP,120,1
SPYMYA60B001416450.375,SPYMYA60B001,1/6/2014,9:00 AM,MSDR02,SPYMYA,APLLOC,60,1
SPYMYA60B001416450,SPYMYA60B001,1/6/2014,12:00 AM,MSDR02,SPYMYA,APLLOC,60,1
SPYMYA60B001416450.708333333333333,SPYMYA60B001,1/6/2014,5:00 PM,MSDR02,SPYMYA,APLLOC,60,1
SPYMYA60B001416450.75,SPYMYA60B001,1/6/2014,6:00 PM,MSDR02,SPYMYA,APLLOC,60,1
SPYMYA60B009416450.791666666666667,SPYMYA60B009,1/6/2014,7:00 PM,MSDR02,SPYMYA,DAMLOC,60,1
SPYMYA60A009416450,SPYMYA60A009,1/6/2014,12:00 AM,MSDR02,SPYMYA,HIST,60,1
SPYMYA60A009416450.541666666666667,SPYMYA60A009,1/6/2014,1:00 PM,MSDR02,SPYMYA,HIST,60,1
SPYMYA60A009416450.791666666666667,SPYMYA60A009,1/6/2014,7:00 PM,MSDR02,SPYMYA,HIST,60,1
SPYMYA60A017416450.333333333333333,SPYMYA60A017,1/6/2014,8:00 AM,MSDR02,SPYMYA,ESPN,60,1
SPYMYA60B004416450.583333333333333,SPYMYA60B004,1/6/2014,2:00 PM,MSDR02,SPYMYA,HMCLOC,60,1
SPYMYA2MC031416450.0416666666666667,SPYMYA2MC031,1/6/2014,1:00 AM,MSDR02,SPYMYA,BIO,120,1
SPYMYA2MC031416450.583333333333333,SPYMYA2MC031,1/6/2014,2:00 PM,MSDR02,SPYMYA,BIO,120,1
SPYMYA2MC031416450.708333333333333,SPYMYA2MC031,1/6/2014,5:00 PM,MSDR02,SPYMYA,BIO,120,1
SPYMYA2MC051416450.625,SPYMYA2MC051,1/6/2014,3:00 PM,MSDR02,SPYMYA,ESPN,120,1
SPYMYA2MC074416450.666666666666667,SPYMYA2MC074,1/6/2014,4:00 PM,MSDR02,SPYMYA,MET,120,1
SPYMYA2MC076416450.625,SPYMYA2MC076,1/6/2014,3:00 PM,MSDR02,SPYMYA,TVL,120,1
SPYMYA2ME002H416450.333333333333333,SPYMYA2ME002H,1/6/2014,8:00 AM,MSDR02,SPYMYA,DXD,120,1
SPYMYA2ME002H416450.541666666666667,SPYMYA2ME002H,1/6/2014,1:00 PM,MSDR02,SPYMYA,DXD,120,1
SPYMYA2ME002H416450.625,SPYMYA2ME002H,1/6/2014,3:00 PM,MSDR02,SPYMYA,DXD,120,1
SPYMYA2ME002H416450.791666666666667,SPYMYA2ME002H,1/6/2014,7:00 PM,MSDR02,SPYMYA,DXD,120,1
SPYMYA2ME002H416450.875,SPYMYA2ME002H,1/6/2014,9:00 PM,MSDR02,SPYMYA,DXD,120,1
SPYMYA2ME002H416450.916666666666667,SPYMYA2ME002H,1/6/2014,10:00 PM,MSDR02,SPYMYA,DXD,120,1
SPYMYA60C002H416450.375,SPYMYA60C002H,1/6/2014,9:00 AM,MSDR02,SPYMYA,DXD,60,1
SPYMYA60C002H416450,SPYMYA60C002H,1/6/2014,12:00 AM,MSDR02,SPYMYA,DXD,60,1
SPYMYA60C002H416450.625,SPYMYA60C002H,1/6/2014,3:00 PM,MSDR02,SPYMYA,DXD,60,3
SPYMYA60C004H416450.541666666666667,SPYMYA60C004H,1/6/2014,1:00 PM,MSDR02,SPYMYA,HUB,60,2
SPYMYA60C004H416450.75,SPYMYA60C004H,1/6/2014,6:00 PM,MSDR02,SPYMYA,HUB,60,1
SPYMYA60C001H416450.583333333333333,SPYMYA60C001H,1/6/2014,2:00 PM,MSDR02,SPYMYA,TOON,60,1
SPYMYA60B014416450.291666666666667,SPYMYA60B014,1/6/2014,7:00 AM,MSDR02,SPYMYA,MILLOC,60,1
SPYMYA60A010416450.375,SPYMYA60A010,1/6/2014,9:00 AM,MSDR02,SPYMYA,DIY,60,1
SPYMYA60A010416450,SPYMYA60A010,1/6/2014,12:00 AM,MSDR02,SPYMYA,DIY,60,1
SPYMYA60A010416450.666666666666667,SPYMYA60A010,1/6/2014,4:00 PM,MSDR02,SPYMYA,DIY,60,1
SPYMYA2MC009416450.375,SPYMYA2MC009,1/6/2014,9:00 AM,MSDR02,SPYMYA,TRAV,120,1
SPYMYA2MC009416450.416666666666667,SPYMYA2MC009,1/6/2014,10:00 AM,MSDR02,SPYMYA,TRAV,120,1
SPYMYA2MC009416450,SPYMYA2MC009,1/6/2014,12:00 AM,MSDR02,SPYMYA,TRAV,120,1
SPYMYA2MC009416450.541666666666667,SPYMYA2MC009,1/6/2014,1:00 PM,MSDR02,SPYMYA,TRAV,120,1
SPYMYA2MC009416450.583333333333333,SPYMYA2MC009,1/6/2014,2:00 PM,MSDR02,SPYMYA,TRAV,120,1
SPYMYA2MC009416450.625,SPYMYA2MC009,1/6/2014,3:00 PM,MSDR02,SPYMYA,TRAV,120,1
SPYMYA2MC009416450.666666666666667,SPYMYA2MC009,1/6/2014,4:00 PM,MSDR02,SPYMYA,TRAV,120,1
SPYMYA2MC009416450.708333333333333,SPYMYA2MC009,1/6/2014,5:00 PM,MSDR02,SPYMYA,TRAV,120,1
SPYMYA60A001416450,SPYMYA60A001,1/6/2014,12:00 AM,MSDR02,SPYMYA,FOXNC,60,1
SPYMYA2MC023416450,SPYMYA2MC023,1/6/2014,12:00 AM,MSDR02,SPYMYA,LIF,120,8
SPYMYA2MC023416450.0833333333333333,SPYMYA2MC023,1/6/2014,2:00 AM,MSDR02,SPYMYA,LIF,120,2
SPYMYA2MC023416450.333333333333333,SPYMYA2MC023,1/6/2014,8:00 AM,MSDR02,SPYMYA,LIF,120,1
SPYMYA2MC023416450.375,SPYMYA2MC023,1/6/2014,9:00 AM,MSDR02,SPYMYA,LIF,120,1
SPYMYA2MC023416450.458333333333333,SPYMYA2MC023,1/6/2014,11:00 AM,MSDR02,SPYMYA,LIF,120,2
SPYMYA2MC023416450,SPYMYA2MC023,1/6/2014,12:00 AM,MSDR02,SPYMYA,LIF,120,2
SPYMYA2MC023416450.541666666666667,SPYMYA2MC023,1/6/2014,1:00 PM,MSDR02,SPYMYA,LIF,120,3
SPYMYA2MC023416450.625,SPYMYA2MC023,1/6/2014,3:00 PM,MSDR02,SPYMYA,LIF,120,5
SPYMYA2MC023416450.666666666666667,SPYMYA2MC023,1/6/2014,4:00 PM,MSDR02,SPYMYA,LIF,120,4
SPYMYA2MC023416450.708333333333333,SPYMYA2MC023,1/6/2014,5:00 PM,MSDR02,SPYMYA,LIF,120,3
SPYMYA2MC023416450.916666666666667,SPYMYA2MC023,1/6/2014,10:00 PM,MSDR02,SPYMYA,LIF,120,1
SPYMYA2MC050416450.375,SPYMYA2MC050,1/6/2014,9:00 AM,MSDR02,SPYMYA,AEN,120,1
SPYMYA2MC050416450.583333333333333,SPYMYA2MC050,1/6/2014,2:00 PM,MSDR02,SPYMYA,AEN,120,1
SPYMYA60C012H416450.541666666666667,SPYMYA60C012H,1/6/2014,1:00 PM,MSDR02,SPYMYA,FAM,60,1
SPYMYA60C012H416450.625,SPYMYA60C012H,1/6/2014,3:00 PM,MSDR02,SPYMYA,FAM,60,1
SPYMYA60C012H416450.708333333333333,SPYMYA60C012H,1/6/2014,5:00 PM,MSDR02,SPYMYA,FAM,60,1
SPYMYA2MC061416450.875,SPYMYA2MC061,1/6/2014,9:00 PM,MSDR02,SPYMYA,KCDO,120,1
SPYMYA60A002416450.75,SPYMYA60A002,1/6/2014,6:00 PM,MSDR02,SPYMYA,WGNA,60,1
SPYMYA2MC001416450.416666666666667,SPYMYA2MC001,1/6/2014,10:00 AM,MSDR02,SPYMYA,ESQ,120,1
SPYMYA2MC089416450.625,SPYMYA2MC089,1/6/2014,3:00 PM,MSDR02,SPYMYA,ION,120,1
