Count_of_Loans,Count_of_Late_Payments,Count_of_Loan_Enquiries,Existing_Loan_Balance,Credit_History_Length_Years,Defaulter
10,5,3,896852.17,18,1
9,1,5,1470485.06,14,1
9,1,0,968952.24,8,1
1,2,7,1074302.01,19,1
9,1,0,1155413.56,17,1
7,4,6,950119.88,10,1
9,3,3,995454.45,14,1
8,3,3,830220.31,11,1
1,3,1,1317978.85,2,1
8,0,4,50000.0,7,1
8,3,5,819195.58,12,1
3,3,4,1571092.2,13,1
1,1,2,773578.84,18,0
8,5,4,382053.0,16,1
3,3,4,514700.13,16,1
3,3,2,1280975.02,4,1
1,2,5,1093906.53,14,1
5,1,2,1358350.9,19,0
10,3,8,1563376.16,10,1
7,3,2,958034.19,23,1
10,2,1,967145.44,15,1
9,5,5,160428.26,6,1
7,2,5,766825.77,4,1
9,2,2,475325.31,4,1
8,4,4,61877.23,16,1
2,1,5,939859.96,9,1
1,3,2,358657.42,22,0
7,2,2,982413.53,4,0
7,3,2,453491.92,14,1
8,3,4,1284658.08,6,1
5,2,2,892153.14,11,0
3,3,3,1127402.8,25,1
8,2,1,717797.73,16,1
6,2,2,993249.38,8,1
3,4,3,774074.46,17,1
1,3,6,832506.42,21,0
3,4,3,1009213.5,11,1
5,6,3,327666.69,10,0
3,3,3,1090773.95,2,1
1,3,2,420730.96,24,0
5,0,2,151518.86,6,1
10,5,6,1461087.84,22,0
7,2,6,523916.55,12,1
7,1,3,1843391.45,20,0
9,4,3,1073451.11,11,1
10,4,4,1369090.52,13,1
10,3,4,540615.78,13,1
3,4,5,265680.64,23,0
7,1,2,325639.56,12,0
1,4,1,1249658.81,11,1
4,1,4,657536.74,11,0
4,5,1,706755.61,6,1
5,0,3,203839.61,16,0
7,2,3,537682.91,7,1
7,2,5,717858.98,21,0
4,1,2,788965.05,8,1
7,4,4,933940.54,11,1
3,1,3,593098.56,6,1
6,4,2,504828.46,13,1
2,2,4,1427495.06,7,0
10,1,3,402705.51,12,0
9,1,2,424841.24,16,0
5,3,1,1084386.55,22,0
6,2,0,50000.0,24,1
4,0,0,516909.37,2,1
10,3,4,1130670.08,18,1
7,1,2,1652851.91,18,1
9,0,1,243602.13,20,0
7,6,2,710154.39,1,1
1,2,1,672791.27,17,0
1,5,7,563618.29,3,1
9,2,3,863414.92,20,0
9,4,1,532660.36,24,0
4,1,2,618206.18,6,1
9,3,1,1123087.85,13,1
3,1,6,431164.76,4,1
7,0,2,932387.52,9,0
6,2,8,1097207.55,8,1
8,1,0,351790.25,8,1
9,1,1,1347067.58,17,0
5,3,1,1181693.2,22,1
1,1,1,232209.05,15,0
3,3,3,1563644.54,15,0
10,1,2,1600569.44,12,1
8,4,5,645249.61,8,0
6,3,2,691971.08,22,0
8,5,3,639848.2,19,0
9,5,2,817225.17,12,1
4,1,6,344976.87,4,1
1,3,6,675719.82,9,1
1,2,4,869348.51,24,1
10,2,7,83379.86,16,1
4,5,1,1219312.99,14,0
7,5,4,103883.43,25,0
2,2,5,771914.96,14,1
3,0,2,742187.91,2,0
1,4,3,1241446.1,6,1
5,3,2,973388.38,24,0
1,5,4,598284.06,20,1
8,0,0,760422.28,20,1
1,1,5,1460482.54,18,1
1,2,2,1083404.18,13,0
2,1,1,1415412.53,18,0
2,4,1,1079482.57,15,0
6,1,2,1257310.61,21,0
7,4,1,1522258.52,19,1
5,0,6,1435358.69,1,1
1,0,4,774680.39,7,1
1,3,2,658227.49,15,0
3,4,3,164677.1,15,1
2,4,4,820839.68,10,1
5,3,2,263166.9,19,1
10,1,3,236073.04,1,1
6,2,2,975580.2,4,1
7,1,2,749086.8,8,1
4,3,3,117663.95,10,1
7,3,3,1120884.65,18,1
8,3,3,1132846.31,25,0
1,0,2,612606.14,5,1
6,1,1,1191256.97,18,1
8,0,4,957964.78,17,0
5,2,0,1072894.78,21,0
4,4,5,894526.23,4,1
2,2,5,1248067.06,9,1
6,3,0,672111.01,20,1
6,4,2,1007306.14,2,1
1,2,2,403526.26,7,0
9,3,2,963456.87,19,1
6,3,3,50000.0,19,0
3,3,2,977554.41,22,1
4,1,4,1451598.25,15,0
4,2,4,1010037.77,21,1
3,1,1,753618.6,3,1
10,0,3,758585.4,4,1
3,2,3,1441267.26,12,1
3,1,2,1022767.13,5,1
4,7,5,685371.54,7,1
7,1,3,1052297.58,13,1
4,2,4,797988.39,13,1
9,2,3,1093867.53,2,1
1,5,3,593481.45,6,0
8,2,6,635469.21,4,1
7,2,0,549409.01,21,0
2,0,4,658439.11,5,1
8,1,4,507393.13,10,1
1,0,0,1441663.86,8,1
9,4,1,1237615.63,21,1
9,1,1,149722.27,10,1
2,4,3,50000.0,5,1
7,3,2,820845.1,2,1
10,2,3,455807.05,5,1
3,2,0,349523.52,17,1
7,3,4,1718283.45,1,1
10,3,8,616473.78,20,1
9,2,7,336415.25,18,1
4,3,3,274048.42,21,0
1,3,4,1555489.71,3,1
2,5,2,641731.14,11,0
1,0,3,993271.61,25,0
5,1,2,965216.04,9,1
5,3,2,690247.42,6,1
7,3,8,1646519.86,2,1
9,1,3,622674.68,5,1
9,0,0,221138.17,12,1
3,1,5,223006.26,18,1
3,3,2,856643.22,8,1
3,1,2,1315630.81,25,0
4,4,3,865476.9,5,1
8,1,9,252263.55,12,1
6,1,2,707357.63,8,0
8,2,3,328938.78,23,0
1,3,5,551268.92,22,1
8,3,1,444777.17,23,1
4,1,3,394286.74,9,0
1,3,3,504468.02,1,1
8,2,3,522824.07,13,1
4,3,2,610094.62,1,1
6,3,2,564748.78,20,0
8,3,6,1296642.56,3,1
4,3,4,332944.85,11,1
3,5,1,137324.4,12,1
9,5,4,918217.88,9,1
3,4,6,791394.5,9,1
9,1,4,264226.95,9,1
2,4,2,1523831.04,23,1
2,2,2,863023.34,13,1
2,1,4,1302170.01,15,0
6,2,2,809244.29,10,0
3,2,5,1321594.13,17,1
9,7,4,1530452.54,23,1
4,4,4,250030.14,10,1
1,2,3,332599.08,10,1
4,3,1,663150.31,25,1
1,3,2,811306.15,8,1
5,5,4,1156189.37,21,1
4,4,3,877426.59,6,0
8,1,4,846942.59,25,1
8,2,1,841360.81,23,0
7,2,5,1230472.99,15,1
3,3,0,651257.74,22,0
1,3,5,1283085.13,15,1
1,6,2,910484.15,18,1
3,0,2,791917.37,21,0
6,2,2,335480.99,14,1
7,2,2,942483.41,23,0
6,2,2,646080.56,3,1
6,5,1,828559.21,14,1
6,0,3,577031.63,11,1
3,2,5,1188860.83,2,1
6,1,3,1281874.38,11,1
8,4,4,508929.75,21,0
2,1,0,827791.07,15,0
5,2,2,413265.73,22,1
1,1,5,481963.12,6,0
1,4,1,696359.53,11,1
5,1,1,1167689.74,22,0
3,2,3,221921.15,23,0
4,4,0,469044.6,9,0
3,3,4,944467.67,23,0
1,6,5,297811.95,1,1
1,4,1,1269439.59,1,1
5,0,3,1163431.32,25,1
6,1,3,1035258.91,3,1
3,1,3,820972.29,24,0
9,2,5,380326.69,17,1
5,0,1,292752.36,4,0
8,5,5,374043.62,19,1
1,5,6,980487.08,11,1
5,6,3,444600.05,23,1
3,0,4,821494.59,19,0
1,2,4,50000.0,5,1
4,3,4,815164.0,13,1
5,2,4,729491.07,18,1
7,5,3,622597.62,15,1
1,3,2,871839.06,3,0
3,5,2,1523203.65,1,1
2,2,4,909775.3,12,0
9,1,3,583969.43,19,0
10,4,3,353668.06,8,1
6,1,2,501946.93,19,0
10,3,7,748761.33,1,1
3,0,3,921440.35,22,0
8,2,7,650465.63,1,1
8,1,2,386028.7,13,0
2,6,1,202876.13,19,0
6,2,4,746756.11,2,0
7,3,1,504809.46,11,0
2,3,3,891786.84,3,1
10,0,5,585017.28,10,1
2,0,2,282563.87,2,1
10,1,6,402124.54,17,1
1,0,1,1338827.38,11,1
8,2,3,1224923.99,5,1
1,2,3,1281155.97,4,1
9,5,2,1031259.54,17,1
6,1,0,1002469.68,3,1
7,3,4,862907.84,5,0
10,1,4,1191876.46,7,0
7,5,3,867423.02,17,1
10,0,7,1259049.28,9,1
3,2,1,1319727.1,7,1
2,1,5,650785.84,3,0
9,2,1,1138269.49,21,1
8,2,3,590458.1,5,1
10,1,3,750936.86,23,0
7,1,6,490269.88,2,1
9,4,3,1152841.2,20,0
4,4,6,883238.89,21,0
4,2,5,1019008.11,19,0
1,0,1,1206410.55,16,0
8,1,1,586337.65,25,0
3,6,2,640350.34,7,1
7,1,1,949695.26,8,1
2,5,6,696518.21,2,0
2,1,5,808841.81,22,1
7,5,6,1320766.76,2,1
6,3,1,382304.95,21,0
3,1,2,464071.34,15,1
9,1,0,644068.06,6,1
10,3,2,1003130.6,4,1
6,5,3,834032.29,23,1
10,2,5,1111206.1,24,0
10,1,3,735186.02,14,1
6,0,5,910566.19,7,1
1,2,2,1066103.72,25,0
4,6,4,881527.37,21,1
10,1,2,572323.09,21,0
6,4,4,1433031.66,14,1
6,4,1,1508086.74,19,1
5,1,1,1283462.68,7,1
1,1,2,488239.51,14,0
8,1,3,937792.99,24,0
5,2,3,1101900.05,10,0
5,4,3,958518.32,3,1
7,4,6,603924.71,13,1
4,2,2,959711.32,22,1
6,3,4,617032.39,21,0
4,2,3,152019.4,10,1
3,2,1,1244069.52,5,0
7,4,2,1304852.87,23,1
8,1,2,903941.49,11,1
4,1,0,50000.0,4,1
2,1,0,1411715.4,16,1
10,3,6,572182.17,4,1
3,2,2,311300.11,9,0
1,6,3,394034.27,6,1
8,2,1,820846.38,5,1
3,2,7,1032421.91,13,1
10,3,3,925053.2,11,1
7,3,2,772380.28,7,0
10,1,2,1388502.67,14,1
5,2,3,792005.02,15,1
10,2,4,710263.51,1,1
5,5,2,944366.58,7,1
7,3,4,575580.88,24,1
9,3,3,152565.49,25,0
5,2,4,832542.08,11,0
1,4,5,987134.95,2,1
10,0,2,708073.73,15,0
10,1,3,934747.37,19,0
1,3,2,709556.46,13,1
2,2,3,588895.75,4,1
6,2,2,607532.99,1,1
9,4,3,569590.43,4,1
8,0,4,145757.15,2,1
5,6,8,1002575.07,10,1
1,1,1,292761.42,7,1
7,3,3,1738873.74,1,1
5,2,3,50000.0,7,1
6,1,3,612482.48,25,0
7,1,2,1611825.86,15,0
3,1,6,695434.54,14,1
10,2,1,510626.99,25,0
3,0,3,269299.1,2,1
5,0,5,829442.84,10,1
6,4,5,374619.71,12,1
9,3,3,791827.18,20,0
5,2,3,1203085.97,4,1
1,0,3,624375.27,20,0
4,2,4,1109621.07,4,1
5,0,2,724716.72,23,0
10,6,1,1419401.9,24,1
10,4,6,1178843.28,24,1
5,1,3,1395023.5,15,0
7,3,5,922334.78,24,1
4,5,4,1396538.53,19,1
1,5,3,578742.07,4,1
5,3,3,723384.03,2,1
7,3,2,1014609.62,7,1
10,1,2,315497.68,18,0
10,2,2,666818.02,16,1
6,2,2,931861.37,24,0
5,5,2,598114.02,2,1
4,1,3,1446956.56,25,0
2,2,5,1064074.39,10,0
4,1,3,1004809.67,20,0
10,1,2,535686.21,21,0
10,3,5,1191166.34,23,0
3,1,4,192847.97,5,1
10,4,5,940718.74,3,1
1,2,7,1223746.33,24,0
8,3,3,800108.98,1,1
5,2,2,281814.67,10,1
4,3,2,938366.73,25,0
8,0,4,153384.15,24,0
7,2,3,215367.99,16,1
2,3,2,1394331.1,24,0
1,3,3,1179241.14,10,1
4,3,9,73239.43,21,1
8,2,1,345998.09,13,1
2,2,5,1094233.14,5,1
3,4,7,1253105.43,4,1
1,3,4,864708.18,17,0
1,2,1,600715.4,8,0
3,5,2,996015.11,8,0
5,3,3,1307463.84,11,1
3,2,9,596216.34,4,1
1,3,2,1220972.7,19,1
1,2,1,501092.38,13,0
8,1,1,450285.32,11,1
10,1,1,1030698.55,24,0
2,3,1,1143508.64,16,0
3,2,7,1000515.6,7,1
2,3,2,715227.06,25,0
3,4,2,935311.24,19,0
7,3,3,798785.51,4,0
1,1,2,862154.31,14,0
10,2,5,1139533.86,25,1
8,2,2,419730.96,16,1
10,1,3,1122470.93,1,1
10,4,2,1401200.34,20,0
10,2,2,470737.63,13,0
2,2,4,1313495.84,13,0
3,2,2,882739.77,14,1
9,1,2,1047880.33,17,1
7,2,8,274485.07,10,1
4,3,4,1060620.43,20,1
10,2,4,50000.0,12,0
5,1,4,327741.9,6,0
2,0,2,203958.21,22,0
8,3,6,390886.97,9,1
4,3,1,579365.91,8,1
9,3,5,806698.34,24,1
5,2,2,50000.0,19,0
9,5,0,967541.73,22,0
4,4,1,670162.32,17,1
10,4,4,1147703.47,19,1
5,1,2,1026144.15,10,1
9,4,2,1153648.22,23,1
8,1,4,777099.58,9,1
3,3,1,987005.01,2,1
1,3,2,852335.9,9,1
3,3,4,962248.48,25,0
4,1,2,717526.59,24,0
2,4,3,50000.0,17,1
1,6,3,1026062.77,2,1
7,4,4,935219.83,21,0
8,0,3,1046343.82,15,1
7,2,3,747652.6,22,1
5,1,2,1423635.3,8,1
1,1,3,750043.0,18,0
7,3,4,752765.15,8,1
7,2,3,868736.33,19,0
9,4,3,1048225.4,25,0
3,2,2,391879.31,14,0
9,1,4,1236137.04,22,1
1,3,4,975500.52,3,1
1,2,5,1492742.65,16,1
4,5,3,926729.09,19,1
9,1,4,869394.63,9,1
6,4,2,294826.32,17,1
3,4,0,767345.01,25,0
1,0,2,351045.83,6,0
4,2,3,50000.0,23,0
9,4,2,55234.54,9,0
3,0,3,507204.5,24,1
9,1,8,630392.48,25,1
7,1,4,711700.23,24,1
4,3,1,1046665.05,20,1
3,1,3,185026.62,25,0
10,1,5,74150.77,15,1
5,3,4,696361.05,17,1
5,3,8,672294.67,8,1
3,7,1,799291.75,9,1
9,2,2,671051.12,5,1
4,2,3,222771.94,23,0
5,2,4,909350.94,5,1
4,3,2,1498755.18,17,1
5,9,3,518338.73,4,1
7,3,3,501167.63,14,1
9,2,2,258259.58,13,1
7,2,3,1105572.51,11,1
5,1,1,1444332.88,14,1
10,2,0,1242360.49,17,0
10,2,2,807421.39,9,1
7,1,2,818761.81,9,1
10,3,5,490867.38,19,1
5,1,2,373391.8,16,0
3,0,6,1180662.07,23,1
7,2,1,795009.45,24,0
2,6,3,59716.85,24,0
9,2,4,447436.7,7,1
10,1,3,63359.83,4,1
10,1,2,408845.71,1,1
1,3,0,1387812.26,16,1
6,1,3,1098120.52,18,0
7,2,2,803932.96,6,0
8,1,3,1025721.47,15,1
10,3,2,1060625.99,10,1
9,2,1,760629.11,24,0
2,4,3,1232054.03,14,1
10,3,2,577402.95,18,0
2,2,2,852997.9,1,0
5,4,5,838013.15,12,1
5,2,4,812763.87,12,1
6,3,3,1270328.97,3,1
3,4,4,910432.09,1,1
8,4,2,490144.03,2,0
1,2,3,1146333.26,9,1
6,4,2,1466662.92,21,0
4,1,0,1066907.77,9,0
1,3,0,1194596.44,25,0
7,7,4,166590.86,7,1
9,1,1,908671.14,9,1
4,1,2,666097.23,2,1
4,2,1,351563.17,10,0
6,0,3,365538.37,23,0
3,4,3,1148503.65,9,1
6,3,2,1081193.88,21,1
7,3,6,446570.27,9,1
10,1,5,1285788.18,24,0
10,1,2,867952.42,7,1
3,1,5,1100418.41,10,0
7,8,2,247588.93,16,1
3,0,5,293918.86,24,0
2,3,7,273193.97,2,1
10,2,5,1236173.42,14,1
4,6,4,606210.72,9,1
8,4,3,1092002.76,4,0
9,2,3,1886213.08,14,1
7,1,2,170857.25,14,0
1,2,1,805086.93,1,1
3,2,3,516878.35,4,1
9,1,3,1215828.6,20,0
1,1,3,716670.1,20,0
9,2,1,1238344.04,22,0
8,4,2,827166.98,1,1
1,1,1,224910.17,19,0
6,1,1,642524.37,24,0
5,4,2,1005934.36,25,1
6,5,4,798765.23,24,1
10,1,3,409677.63,14,0
5,1,4,855754.08,12,1
6,3,7,50000.0,17,1
5,1,4,50000.0,13,1
5,3,3,1164746.25,6,0
4,0,2,1263213.92,5,1
3,1,5,1416087.21,7,1
3,4,3,1325513.51,9,1
4,2,1,536109.21,4,0
9,1,2,1009738.61,10,1
2,2,2,815977.09,10,1
9,1,1,966791.55,24,0
1,0,5,1033137.09,12,0
1,2,1,1454594.07,15,0
5,4,2,892383.06,1,1
6,7,1,1197543.64,14,1
6,5,2,820711.44,6,1
3,2,2,418946.99,7,1
7,2,0,680468.91,13,0
9,2,4,705968.59,10,1
10,2,3,290110.83,9,1
8,3,8,265235.28,2,1
6,3,6,1165967.31,8,1
8,5,4,1004360.99,4,1
5,7,2,998963.58,14,1
8,2,5,1230301.57,5,1
10,3,4,1115791.03,24,1
4,3,3,1393699.55,7,1
10,2,4,610870.23,19,1
8,0,3,1203935.38,5,1
10,1,1,515276.03,11,1
2,3,4,554118.7,4,1
5,3,3,237771.8,17,0
9,2,4,1021523.8,17,1
4,3,3,1135128.17,9,1
6,2,3,696290.33,5,1
1,4,1,408432.73,19,0
9,4,0,1328153.36,13,1
1,1,4,856872.95,12,1
5,3,3,740408.73,17,1
4,5,1,1193413.4,18,0
3,1,3,1603849.55,2,1
6,1,3,881845.59,16,0
2,2,5,1037425.57,21,1
3,2,2,1172813.64,5,1
5,1,4,403615.27,1,1
9,6,1,50000.0,15,0
2,1,3,956018.92,2,1
10,3,4,977640.39,20,0
8,3,3,841372.48,14,0
2,2,2,1030119.04,22,0
5,2,1,1101320.51,13,0
7,0,6,649229.61,12,1
8,3,2,836158.3,22,0
1,6,4,250124.23,2,1
6,2,3,1195818.05,25,0
1,0,4,1069814.46,17,0
2,4,2,402702.61,25,0
1,0,3,601990.68,21,0
5,1,2,778598.91,14,1
10,4,8,855014.15,11,1
9,3,4,516620.95,4,1
6,0,3,930572.25,1,1
1,1,3,1258288.22,3,1
1,6,5,352245.8,7,1
2,2,0,50000.0,1,0
9,4,2,1147123.1,2,1
3,0,4,712486.7,10,1
1,3,3,656418.19,15,1
5,5,2,378747.89,21,1
7,2,0,1113035.89,7,1
6,5,2,127111.97,22,0
1,1,2,870404.18,5,0
5,3,3,1577607.38,16,0
5,1,4,998706.38,9,1
6,1,4,1278379.87,24,0
3,2,3,1174439.99,5,0
5,5,2,1055336.34,2,1
7,1,5,343222.61,10,1
5,4,4,1253094.88,24,1
5,1,2,50000.0,16,0
5,3,1,827134.94,10,1
10,2,2,365403.48,18,0
10,1,3,654391.15,23,1
3,2,3,149078.79,6,1
1,1,3,808693.98,21,0
5,1,7,444709.77,20,0
9,2,2,796808.25,14,1
1,3,1,590697.72,16,0
3,0,3,834152.34,23,0
4,1,1,98566.31,2,0
1,1,3,50000.0,25,0
1,5,1,976638.7,17,1
8,1,2,488811.48,20,0
2,1,2,721864.91,2,1
8,1,4,1215411.95,22,0
7,4,2,286418.55,20,0
10,2,2,901990.13,5,1
10,3,4,1345729.47,9,1
2,1,4,1444048.49,18,1
6,1,4,412760.76,21,0
6,1,4,891052.76,13,0
3,2,4,949121.39,6,1
2,6,1,456484.29,12,1
1,2,3,877582.84,24,0
6,8,3,508782.64,19,1
5,5,0,62943.83,15,1
9,3,3,761453.86,7,1
1,5,4,1030798.36,14,1
7,0,3,640696.16,19,0
5,1,4,1572926.51,4,1
5,4,4,398728.0,23,0
2,1,4,978734.9,12,0
3,0,1,50000.0,7,0
7,1,5,559581.51,9,0
6,2,2,1240856.11,2,1
2,0,7,331899.11,12,0
6,5,1,50000.0,3,1
2,3,2,151852.64,14,1
2,4,2,1127546.45,12,1
2,1,1,1535588.0,22,0
3,3,3,50000.0,10,0
2,1,5,1120906.92,13,1
4,2,1,566272.34,19,0
9,5,4,1133873.54,14,1
6,2,4,575715.67,21,0
1,2,3,1211772.58,23,0
8,5,3,697699.28,23,1
7,1,1,215852.17,12,1
10,3,2,449460.75,23,1
3,2,4,488150.4,23,0
1,3,1,385311.73,6,0
5,4,5,1051934.65,19,1
4,3,5,496645.52,25,0
10,5,2,779723.86,13,1
8,1,1,895057.58,11,1
1,1,5,1266148.8,14,1
10,1,1,234928.9,6,0
1,1,0,563582.43,14,0
4,2,1,763618.17,19,0
8,3,7,1244212.87,23,1
5,4,2,569659.91,11,1
2,3,2,757976.44,17,1
6,1,5,724887.82,21,0
5,6,2,688325.63,4,1
2,1,6,1592862.88,23,1
3,1,4,1331423.03,24,0
9,4,4,1094820.07,8,1
7,4,3,1233341.84,4,1
7,3,4,877701.08,16,1
6,2,5,461320.21,20,1
8,2,1,1071192.77,21,0
4,3,3,91502.12,17,1
8,2,2,1342692.12,8,1
4,2,0,458176.93,16,0
8,4,0,282173.63,15,1
9,2,2,465218.74,19,1
3,2,2,1072872.05,8,0
3,2,4,1327297.42,3,1
2,1,3,1385275.43,6,1
10,3,2,812549.35,11,1
3,4,2,106860.54,25,0
3,4,5,923526.11,4,1
5,2,3,953292.18,25,0
5,2,1,1503141.56,9,1
2,3,3,1162208.26,18,1
10,3,2,235848.13,18,1
6,8,3,192745.01,2,1
5,2,3,1195575.59,19,0
6,1,2,269070.25,23,0
1,6,2,1438794.87,7,1
5,5,2,1170309.06,21,0
9,4,4,564855.21,14,1
10,3,2,777836.89,19,1
2,2,3,199812.12,9,1
1,3,1,751617.79,7,1
10,2,3,514228.75,22,0
9,2,5,825162.12,2,1
10,6,2,574134.91,17,1
9,4,1,919255.64,20,1
9,3,3,1215906.8,25,1
6,5,3,254170.11,9,1
8,3,5,366856.69,11,1
1,1,4,1416308.93,1,1
10,3,2,1246902.92,6,1
4,2,3,105959.39,24,0
1,1,3,478870.62,24,0
8,2,3,1994036.8,15,1
1,2,2,1243621.92,13,1
3,1,4,646085.19,14,1
4,2,3,801807.88,14,1
8,4,4,345218.04,10,0
6,3,5,1188810.35,13,1
10,1,3,873210.82,7,1
7,3,3,406474.64,13,1
8,4,1,421585.0,24,1
2,2,3,557288.84,7,1
10,1,4,1137064.52,12,0
8,3,8,813425.8,13,1
3,3,4,531687.08,12,1
7,1,3,556261.67,8,0
3,2,5,982203.72,23,1
7,6,5,522183.87,13,1
2,2,1,1300371.81,18,1
10,0,1,386951.15,19,1
6,0,4,536797.21,17,0
3,6,5,679401.77,1,1
3,1,1,1016806.9,13,1
9,2,6,1162414.61,3,1
7,2,5,385047.12,14,0
5,4,2,846639.28,9,1
10,2,4,1032130.0,13,0
7,2,2,867790.28,18,0
9,3,3,989568.21,3,1
1,2,3,1051457.97,8,1
7,6,1,488585.57,12,1
6,0,5,382008.29,9,1
10,6,3,354971.69,11,1
9,3,2,556872.85,3,1
1,4,5,1111223.85,23,0
4,2,0,973728.62,18,1
9,1,1,366132.67,14,0
4,4,3,154661.78,11,1
10,0,3,422722.2,2,1
3,5,3,839035.93,16,1
9,2,4,359624.63,17,1
2,3,2,1516763.07,15,1
4,0,4,1066618.27,8,1
6,2,6,634641.78,16,1
2,2,4,1345544.16,23,1
8,1,2,506386.6,15,1
8,5,1,826071.29,13,1
1,3,1,385738.96,2,0
3,2,3,706822.5,21,1
10,1,4,771684.22,23,1
9,4,4,675063.3,22,0
5,6,2,305435.69,6,1
6,4,3,609970.93,15,1
4,3,3,471463.13,19,0
10,2,2,772804.56,12,1
2,2,2,792890.07,10,0
8,1,3,796744.1,12,0
6,4,8,409441.19,15,1
5,0,7,1151535.86,18,1
9,2,3,1188284.28,5,1
1,3,3,1385338.19,15,1
5,3,4,529179.37,9,1
6,4,3,1053289.41,4,1
5,1,3,210382.98,17,1
6,0,2,760872.5,21,0
6,2,2,939454.95,20,0
7,1,5,1155366.61,22,1
4,1,3,708805.55,11,0
8,3,0,518047.51,10,1
7,1,3,606309.28,7,1
9,0,3,1225837.33,10,0
7,3,1,185562.25,8,1
3,1,4,255493.92,3,0
3,4,3,295289.61,4,1
8,4,5,1323633.41,17,1
5,2,3,523783.83,2,1
4,1,4,457552.4,10,1
8,3,4,735896.66,14,1
6,6,3,847718.96,23,1
2,1,1,50000.0,6,0
4,2,5,276022.63,8,1
4,2,2,523978.03,18,0
6,2,1,835781.8,17,0
6,5,1,380585.36,3,1
1,4,1,825614.67,13,1
8,3,8,996618.6,21,1
6,4,4,50000.0,19,0
3,1,2,473059.38,2,0
9,2,5,675696.03,3,1
2,3,4,620507.83,6,1
8,5,4,553658.05,17,1
10,4,2,1090892.49,15,1
3,3,2,942375.46,21,0
5,0,0,907039.53,15,0
6,3,0,443192.08,21,0
10,1,4,1092479.66,6,1
6,1,9,1405899.27,8,1
4,2,4,251209.29,13,1
3,1,6,344822.59,3,0
4,2,2,932262.46,2,1
1,4,2,518007.23,1,1
4,3,2,888121.19,16,1
1,1,3,1034014.92,5,1
1,4,5,823684.63,12,1
10,2,3,361793.68,10,1
6,4,2,1556059.1,25,0
5,3,3,528640.45,13,1
4,2,0,1321087.9,6,1
3,2,2,732936.08,25,0
1,4,3,1395861.4,16,1
6,3,5,593422.48,25,1
2,2,1,1114473.56,4,1
8,0,1,1191926.05,15,0
10,1,5,601869.54,12,0
5,1,2,1123897.23,6,1
7,1,1,680921.48,25,0
10,3,1,874816.9,24,1
2,2,1,323000.1,25,0
8,2,4,477169.71,23,0
2,1,3,1139340.42,13,0
4,3,6,894109.56,4,1
1,1,7,1150851.95,13,1
5,1,3,827652.66,1,1
9,1,3,885082.32,2,1
1,1,2,1037843.05,21,0
9,3,2,187778.58,22,1
8,3,2,802164.54,19,1
6,0,3,811085.42,11,1
7,1,4,816413.07,16,1
3,3,4,1296216.37,2,1
1,0,2,312213.64,25,0
5,2,0,452568.59,2,1
2,3,3,898364.63,8,0
5,4,4,818061.02,20,1
