Age,Experience,Purchase,Sample_Set
25.1,5.4,1,2
32.7,9.2,1,2
28.3,9.1,1,2
24.9,6.7,1,2
23.2,6.8,1,2
26.6,4.4,1,2
33.4,8.5,0,2
25.8,4.5,1,2
31.4,9,1,2
28,6.6,1,2
32,8.4,1,2
27.3,3.9,1,2
31.3,7.2,1,2
26.7,6.4,1,2
27.6,5.1,1,2
24.8,9.2,1,2
28,6.1,1,2
31,4.2,1,2
24.9,3.6,1,2
28.2,5.4,1,2
25.1,8.2,1,2
26.7,3.9,1,2
31.2,4.5,1,2
33.2,6.6,0,2
24.2,4.2,1,2
37.1,9.6,0,3
41.4,9.1,0,3
40.6,16.4,0,3
42.5,12.3,0,3
39,10.6,0,3
35.8,9.7,0,3
36.6,10.3,0,3
38.9,15.9,0,3
43.8,13.4,0,3
37.6,13.8,0,3
43.3,12.7,0,3
46.1,13.5,0,3
50.3,11.9,0,3
38.3,9.7,0,3
39.7,12.6,0,3
50.5,10.5,1,3
36.5,8.7,0,3
49.7,14.1,0,3
44.8,11.2,0,3
42.3,8.3,0,3
37.8,15,0,3
45.4,13.2,0,3
42.5,12.3,0,3
47.6,11.5,0,3
47.5,14.1,0,3
43.2,14.2,0,3
45.4,13.3,0,3
40.1,13.5,0,3
46.4,10.9,0,3
40.5,14.6,0,3
45.6,14.4,0,3
36.6,12.3,0,3
49.6,13.1,0,3
38,16.9,0,3
46.7,9.4,0,3
44.7,10.3,0,3
38.4,15.4,0,3
49.8,14.7,0,3
47.5,15.4,0,3
35.2,15.7,1,3
48.7,15.8,0,3
48.4,9.4,0,3
45.3,14.4,0,3
41,15.8,0,3
49.3,10.7,0,3
20,2,0,1
16.1,2.1,0,1
20.2,1.9,0,1
18.6,1.1,0,1
18.6,3.2,0,1
16.7,4.1,0,1
16.3,1.4,0,1
19.9,1.4,0,1
18.1,3.7,0,1
21.4,4.3,0,1
16.9,3.8,0,1
17.5,4.6,0,1
19.6,3.7,0,1
20.4,4.3,0,1
19.4,3.7,0,1
17.2,3.4,0,1
17.5,1.9,0,1
20.4,3.3,0,1
20.7,3.1,0,1
19.4,2.3,0,1
16.5,3.5,1,1
16.6,2.8,0,1
20.7,3,0,1
17,1.9,0,1
19.5,1.3,0,1
21.2,3.4,0,1
19.8,3.4,0,1
18.7,4,1,1
20.2,2.3,0,1
19.2,2.5,0,1
21.8,1.4,0,1
17.3,2.8,0,1
18.9,2.8,0,1
34,6,1,2
29.1,5.3,1,2
27.7,3.3,1,2
30.8,8.6,1,2
28.5,8.1,1,2
31.5,6.1,1,2
33.4,3.8,1,2
33.1,6.5,1,2
24.1,6.5,1,2
27.7,7.2,1,2
28.8,9.7,1,2
28.9,5.9,1,2
32.1,5.8,1,2
32.2,7.7,1,2
31.4,9.3,1,2
24.6,8.8,1,2
25,5.3,1,2
32.6,9.1,1,2
28.3,9.2,1,2
24.8,6.8,1,2
23.3,6.8,1,2
26.5,4.3,1,2
33.4,8.5,0,2
25.9,4.4,1,2
31.3,9,1,2
27.9,6.7,1,2
31.9,8.4,1,2
27.4,3.9,1,2
31.3,7.3,1,2
26.6,6.3,1,2
27.6,5.1,1,2
24.8,9.3,1,2
28.1,6.1,1,2
31,4.1,1,2
24.9,3.6,1,2
28.2,5.4,1,2
25.2,8.3,1,2
26.7,3.9,1,2
31.2,4.4,1,2
33.2,6.5,0,2
24.1,4.1,1,2
37.1,9.6,0,3
41.4,9.1,0,3
40.5,16.5,0,3
42.5,12.3,0,3
39.1,10.7,0,3
35.9,9.6,0,3
36.5,10.4,0,3
38.9,15.9,0,3
43.8,13.3,0,3
37.6,13.9,0,3
43.2,12.8,0,3
46.1,13.6,0,3
50.2,12,0,3
38.3,9.7,0,3
39.6,12.6,0,3
50.6,10.6,1,3
36.5,8.6,0,3
49.7,14,0,3
44.8,11.3,0,3
42.4,8.3,0,3
37.9,15.1,0,3
45.5,13.2,0,3
42.6,12.4,0,3
47.7,11.5,0,3
47.5,14.2,0,3
43.2,14.3,0,3
45.3,13.4,0,3
40,13.4,0,3
46.3,10.8,0,3
40.5,14.5,0,3
45.7,14.4,0,3
36.7,12.3,0,3
49.5,13.2,0,3
37.9,17,0,3
46.6,9.3,0,3
44.7,10.3,0,3
38.3,15.5,0,3
49.7,14.8,0,3
47.4,15.4,0,3
35.3,15.7,1,3
48.6,15.9,0,3
48.5,9.4,0,3
45.2,14.5,0,3
40.9,15.8,0,3
49.3,10.8,0,3
20.1,2,0,1
16.2,2.2,0,1
20.2,1.8,0,1
18.6,1.1,0,1
18.7,3.1,0,1
16.7,4,0,1
16.4,1.3,0,1
19.9,1.4,0,1
18.1,3.6,0,1
21.5,4.3,0,1
16.9,3.9,0,1
17.5,4.5,0,1
19.6,3.7,0,1
20.4,4.4,0,1
19.4,3.6,0,1
17.2,3.5,0,1
17.5,1.9,0,1
20.5,3.3,0,1
20.8,3.1,0,1
19.4,2.3,0,1
16.6,3.5,1,1
16.6,2.8,0,1
20.6,3,0,1
17,1.8,0,1
19.4,1.3,0,1
21.2,3.3,0,1
19.8,3.5,0,1
18.8,3.9,1,1
20.2,2.4,0,1
19.1,2.4,0,1
21.9,1.3,0,1
17.3,2.8,0,1
18.8,2.9,0,1
34,6,1,2
29,5.2,1,2
27.7,3.3,1,2
30.7,8.7,1,2
28.4,8.2,1,2
31.5,6.1,1,2
33.5,3.7,1,2
33,6.6,1,2
24,6.4,1,2
27.6,7.1,1,2
28.9,9.8,1,2
28.8,5.8,1,2
32,5.8,1,2
32.2,7.8,1,2
31.4,9.4,1,2
24.5,8.7,1,2
24.9,5.2,1,2
32.7,9.2,1,2
28.3,9.2,1,2
24.9,6.8,1,2
23.3,6.8,1,2
26.4,4.4,1,2
33.5,8.4,0,2
25.8,4.5,1,2
31.3,9,1,2
28,6.8,1,2
31.8,8.3,1,2
27.5,4,1,2
31.3,7.2,1,2
26.5,6.2,1,2
27.7,5.2,1,2
24.7,9.4,1,2
28.2,6.1,1,2
31.1,4.2,1,2
24.9,3.6,1,2
28.3,5.5,1,2
25.2,8.4,1,2
26.6,4,1,2
31.2,4.5,1,2
33.1,6.5,0,2
24.1,4.2,1,2
37.1,9.5,0,3
41.5,9.2,0,3
40.6,16.5,0,3
42.6,12.3,0,3
39,10.8,0,3
35.8,9.5,0,3
36.4,10.5,0,3
38.8,16,0,3
43.8,13.2,0,3
37.5,13.8,0,3
43.1,12.7,0,3
46,13.7,0,3
50.2,12.1,0,3
38.2,9.8,0,3
39.5,12.6,0,3
50.7,10.5,1,3
36.4,8.7,0,3
49.8,14.1,0,3
44.9,11.3,0,3
42.4,8.3,0,3
37.8,15.1,0,3
45.4,13.3,0,3
42.7,12.3,0,3
47.8,11.6,0,3
47.6,14.2,0,3
43.2,14.3,0,3
45.3,13.5,0,3
40,13.4,0,3
46.3,10.7,0,3
40.5,14.4,0,3
45.8,14.3,0,3
36.6,12.3,0,3
49.5,13.2,0,3
37.8,17,0,3
46.6,9.4,0,3
44.7,10.4,0,3
38.2,15.4,0,3
49.7,14.9,0,3
47.3,15.4,0,3
35.2,15.6,1,3
48.5,16,0,3
48.4,9.3,0,3
45.1,14.5,0,3
40.9,15.9,0,3
49.3,10.9,0,3
20,2.1,0,1
16.2,2.3,0,1
20.1,1.9,0,1
18.5,1.1,0,1
18.8,3.2,0,1
16.6,4.1,0,1
16.4,1.2,0,1
19.9,1.5,0,1
18.1,3.7,0,1
21.6,4.2,0,1
16.8,3.8,0,1
17.5,4.4,0,1
19.7,3.8,0,1
20.4,4.5,0,1
19.3,3.5,0,1
17.2,3.6,0,1
17.5,1.9,0,1
20.4,3.4,0,1
20.9,3,0,1
19.3,2.2,0,1
16.6,3.4,1,1
16.5,2.8,0,1
20.6,3.1,0,1
17.1,1.8,0,1
19.5,1.3,0,1
21.2,3.2,0,1
19.9,3.6,0,1
18.7,3.8,1,1
20.2,2.4,0,1
19.2,2.5,0,1
21.8,1.2,0,1
17.4,2.8,0,1
18.9,2.9,0,1
33.9,6.1,1,2
28.9,5.1,1,2
27.6,3.2,1,2
30.6,8.6,1,2
28.4,8.1,1,2
31.5,6.2,1,2
33.4,3.8,1,2
32.9,6.5,1,2
24,6.5,1,2
27.7,7.2,1,2
28.9,9.7,1,2
28.8,5.9,1,2
32.1,5.9,1,2
32.1,7.9,1,2
31.5,9.4,1,2
24.4,8.6,1,2
24.8,5.3,1,2
32.6,9.2,1,2
28.2,9.2,1,2
24.8,6.9,1,2
23.2,6.8,1,2
26.5,4.4,1,2
33.6,8.5,0,2
25.9,4.6,1,2
31.2,8.9,1,2
28.1,6.8,1,2
31.8,8.4,1,2
27.4,3.9,1,2
31.3,7.1,1,2
26.4,6.3,1,2
27.7,5.3,1,2
24.8,9.5,1,2
28.3,6.1,1,2
31,4.2,1,2
25,3.7,1,2
28.3,5.4,1,2
25.3,8.5,1,2
26.6,4,1,2
31.2,4.4,1,2
33.2,6.6,0,2
24.2,4.2,1,2
37.1,9.5,0,3
41.6,9.1,0,3
40.5,16.4,0,3
42.6,12.3,0,3
38.9,10.9,0,3
35.8,9.6,0,3
36.3,10.6,0,3
38.8,16.1,0,3
43.7,13.2,0,3
37.5,13.8,0,3
43,12.6,0,3
46.1,13.7,0,3
50.2,12,0,3
38.3,9.8,0,3
39.6,12.7,0,3
50.8,10.5,1,3
36.5,8.8,0,3
49.8,14.2,0,3
44.9,11.3,0,3
42.5,8.3,0,3
37.9,15.2,0,3
45.5,13.2,0,3
42.6,12.2,0,3
47.7,11.5,0,3
47.7,14.1,0,3
43.3,14.2,0,3
45.4,13.5,0,3
40.1,13.3,0,3
46.3,10.7,0,3
40.6,14.5,0,3
45.7,14.2,0,3
36.6,12.2,0,3
49.6,13.3,0,3
37.9,17,0,3
46.5,9.4,0,3
44.6,10.3,0,3
38.3,15.5,0,3
49.8,15,0,3
47.3,15.3,0,3
35.3,15.6,1,3
48.5,16.1,0,3
48.5,9.3,0,3
45.2,14.6,0,3
41,15.9,0,3
49.3,10.8,0,3
19.9,2.1,0,1
16.2,2.3,0,1
20.1,1.8,0,1
18.6,1.2,0,1
18.8,3.2,0,1
16.7,4,0,1
16.3,1.1,0,1
20,1.5,0,1
18,3.7,0,1
21.6,4.3,0,1
16.8,3.8,0,1
17.5,4.3,0,1
19.8,3.7,0,1
20.3,4.6,0,1
19.4,3.5,0,1
17.2,3.5,0,1
17.5,1.9,0,1
20.5,3.3,0,1
21,3.1,0,1
19.2,2.3,0,1
16.7,3.5,1,1
16.5,2.9,0,1
20.5,3.2,0,1
17,1.8,0,1
19.6,1.2,0,1
21.1,3.2,0,1
20,3.5,0,1
18.8,3.8,1,1
20.2,2.5,0,1
19.1,2.5,0,1
21.7,1.2,0,1
17.4,2.9,0,1
18.9,2.8,0,1
34,6,1,2
28.9,5.2,1,2
27.7,3.1,1,2
30.5,8.6,1,2
28.5,8.2,1,2
31.5,6.2,1,2
33.5,3.7,1,2
32.8,6.6,1,2
24,6.5,1,2
27.6,7.3,1,2
29,9.8,1,2
28.7,6,1,2
32.1,6,1,2
32,7.9,1,2
31.5,9.3,1,2
24.5,8.6,1,2
24.9,5.4,1,2
32.6,9.1,1,2
28.2,9.1,1,2
24.9,6.9,1,2
23.2,6.7,1,2
26.4,4.4,1,2
33.6,8.5,0,2
26,4.5,1,2
31.2,8.8,1,2
28.2,6.9,1,2
31.9,8.3,1,2
27.5,3.8,1,2
31.4,7.2,1,2
26.4,6.2,1,2
27.8,5.4,1,2
24.9,9.4,1,2
28.4,6,1,2
30.9,4.3,1,2
24.9,3.8,1,2
28.4,5.3,1,2
25.4,8.5,1,2
26.6,4,1,2
31.3,4.4,1,2
33.2,6.6,0,2
24.3,4.1,1,2
37,9.6,0,3
41.6,9.1,0,3
40.6,16.4,0,3
42.6,12.2,0,3
39,10.9,0,3
35.7,9.5,0,3
36.2,10.7,0,3
38.7,16,0,3
43.7,13.2,0,3
37.5,13.8,0,3
43.1,12.5,0,3
46,13.8,0,3
50.2,12.1,0,3
38.2,9.8,0,3
39.5,12.7,0,3
50.8,10.6,1,3
36.6,8.8,0,3
49.8,14.2,0,3
44.8,11.4,0,3
42.6,8.4,0,3
37.9,15.1,0,3
45.6,13.3,0,3
42.7,12.3,0,3
47.6,11.4,0,3
47.7,14.2,0,3
43.2,14.3,0,3
45.4,13.4,0,3
40,13.3,0,3
46.4,10.8,0,3
40.5,14.4,0,3
45.6,14.3,0,3
36.6,12.1,0,3
49.6,13.4,0,3
38,16.9,0,3
46.4,9.3,0,3
44.5,10.2,0,3
38.3,15.6,0,3
49.7,14.9,0,3
47.4,15.3,0,3
35.2,15.5,1,3
48.5,16,0,3
48.6,9.4,0,3
45.2,14.5,0,3
41,15.9,0,3
49.3,10.9,0,3
19.9,2,0,1
16.1,2.3,0,1
20.2,1.9,0,1
18.6,1.1,0,1
18.9,3.2,0,1
16.8,3.9,0,1
16.4,1.1,0,1
19.9,1.6,0,1
18,3.6,0,1
21.6,4.3,0,1
16.8,3.9,0,1
17.5,4.2,0,1
19.9,3.8,0,1
20.4,4.5,0,1
19.4,3.4,0,1
17.3,3.5,0,1
17.4,1.8,0,1
20.4,3.2,0,1
20.9,3,0,1
19.1,2.3,0,1
16.7,3.5,1,1
16.6,3,0,1
20.4,3.2,0,1
17.1,1.7,0,1
19.5,1.3,0,1
21.2,3.2,0,1
20.1,3.5,0,1
18.9,3.8,1,1
20.1,2.4,0,1
19.2,2.5,0,1
21.8,1.1,0,1
17.3,2.9,0,1
19,2.7,0,1
33.9,6.1,1,2
29,5.1,1,2
27.7,3.1,1,2
30.5,8.6,1,2
28.5,8.2,1,2
31.6,6.2,1,2
33.4,3.6,1,2
32.9,6.7,1,2
24,6.5,1,2
27.6,7.3,1,2
29,9.8,1,2
28.6,6.1,1,2
32,5.9,1,2
32.1,7.9,1,2
31.6,9.4,1,2
24.6,8.6,1,2
25,5.3,1,2
32.6,9.2,1,2
28.2,9.2,1,2
25,6.9,1,2
23.1,6.7,1,2
26.5,4.5,1,2
33.7,8.5,0,2
26.1,4.5,1,2
31.1,8.7,1,2
28.3,6.9,1,2
31.9,8.2,1,2
27.5,3.9,1,2
31.3,7.3,1,2
26.4,6.3,1,2
27.8,5.4,1,2
24.8,9.3,1,2
28.5,5.9,1,2
31,4.3,1,2
25,3.7,1,2
28.4,5.4,1,2
25.3,8.5,1,2
26.7,3.9,1,2
31.3,4.5,1,2
33.1,6.5,0,2
24.4,4.2,1,2
37,9.6,0,3
41.5,9,0,3
40.6,16.3,0,3
42.5,12.2,0,3
39,11,0,3
35.7,9.5,0,3
36.3,10.6,0,3
38.7,16,0,3
43.8,13.3,0,3
37.6,13.8,0,3
43.1,12.6,0,3
46.1,13.7,0,3
50.3,12,0,3
38.1,9.9,0,3
39.5,12.6,0,3
50.8,10.5,1,3
36.7,8.8,0,3
49.9,14.3,0,3
44.7,11.4,0,3
42.7,8.4,0,3
37.9,15,0,3
45.6,13.2,0,3
42.6,12.2,0,3
47.5,11.5,0,3
47.8,14.3,0,3
43.3,14.2,0,3
45.5,13.5,0,3
39.9,13.3,0,3
46.5,10.7,0,3
40.4,14.4,0,3
45.6,14.4,0,3
36.7,12.2,0,3
49.7,13.4,0,3
38,16.8,0,3
46.3,9.3,0,3
44.6,10.3,0,3
38.4,15.5,0,3
49.8,14.8,0,3
47.5,15.2,0,3
35.1,15.5,1,3
48.6,16.1,0,3
48.5,9.4,0,3
45.2,14.6,0,3
41.1,15.9,0,3
49.4,11,0,3
19.9,2,0,1
16.2,2.2,0,1
20.3,2,0,1
18.6,1.1,0,1
19,3.2,0,1
16.8,4,0,1
16.4,1.1,0,1
19.9,1.6,0,1
17.9,3.6,0,1
21.7,4.3,0,1
16.8,4,0,1
17.6,4.3,0,1
20,3.7,0,1
20.4,4.5,0,1
19.5,3.5,0,1
17.2,3.4,0,1
17.4,1.9,0,1
20.5,3.3,0,1
20.8,2.9,0,1
19.2,2.4,0,1
16.8,3.4,1,1
16.7,3,0,1
20.4,3.2,0,1
17,1.7,0,1
19.5,1.4,0,1
21.1,3.2,0,1
20,3.5,0,1
19,3.7,1,1
20.2,2.4,0,1
19.3,2.4,0,1
21.9,1.2,0,1
17.3,2.9,0,1
19,2.7,0,1
34,6.1,1,2
29.1,5.1,1,2
27.6,3.2,1,2
30.5,8.7,1,2
28.6,8.3,1,2
31.6,6.2,1,2
33.3,3.5,1,2
33,6.8,1,2
24,6.4,1,2
27.7,7.4,1,2
29,9.7,1,2
28.6,6.2,1,2
31.9,6,1,2
32.1,7.8,1,2
31.7,9.4,1,2
24.5,8.7,1,2
24.9,5.3,1,2
32.5,9.3,1,2
28.2,9.1,1,2
25,7,1,2
23.2,6.6,1,2
26.4,4.6,1,2
33.7,8.6,0,2
26.1,4.5,1,2
31,8.8,1,2
28.4,6.9,1,2
31.9,8.2,1,2
27.4,4,1,2
31.2,7.4,1,2
26.5,6.3,1,2
27.9,5.4,1,2
24.9,9.2,1,2
28.4,5.9,1,2
31.1,4.4,1,2
25.1,3.6,1,2
28.4,5.3,1,2
25.4,8.4,1,2
26.8,4,1,2
31.4,4.6,1,2
33.1,6.6,0,2
24.5,4.1,1,2
37,9.5,0,3
41.4,9,0,3
40.6,16.3,0,3
42.6,12.3,0,3
39,11,0,3
35.7,9.5,0,3
36.4,10.7,0,3
38.7,16,0,3
43.8,13.4,0,3
37.6,13.9,0,3
43.1,12.5,0,3
46,13.8,0,3
50.3,12,0,3
38,10,0,3
39.6,12.6,0,3
50.9,10.5,1,3
36.6,8.9,0,3
49.8,14.4,0,3
44.7,11.4,0,3
42.6,8.3,0,3
37.8,14.9,0,3
45.7,13.2,0,3
42.5,12.3,0,3
47.5,11.6,0,3
47.9,14.4,0,3
43.4,14.1,0,3
45.5,13.5,0,3
39.8,13.4,0,3
46.4,10.7,0,3
40.5,14.5,0,3
45.6,14.4,0,3
36.8,12.2,0,3
49.6,13.5,0,3
38.1,16.7,0,3
46.4,9.2,0,3
44.5,10.4,0,3
38.5,15.4,0,3
49.8,14.8,0,3
47.4,15.2,0,3
35.1,15.5,1,3
48.5,16.2,0,3
48.4,9.4,0,3
45.2,14.7,0,3
41.1,15.9,0,3
49.3,10.9,0,3
19.8,1.9,0,1
16.3,2.3,0,1
20.3,2.1,0,1
