Customer_ID,Age,Gender,City_Tier,Income_Bracket,New_Customer_Flag,Past_Year_Spend,Purchase_Frequency,Avg_Order_Value,Days_Since_Last_Purchase,Spend_Last_3_Months,Orders_Last_3_Months,Avg_Discount_Percentage,Coupon_Usage_Rate,Full_Price_Purchase_Rate,Price_Sensitivity_Score,Size_Return_Rate,Overall_Return_Rate,Exchange_Rate,Avg_Delivery_Days,Delivery_SLA_Breach_Rate,Customer_Support_Tickets_Last_6M,App_Sessions_Per_Week,Wishlist_Adds_Per_Month,Cart_Abandonment_Rate,Push_Opt_In_Flag,Influencer_Click_Through,Email_Open_Rate,Ad_Impressions_Last_30D,Paid_Clicks_Last_30D,Occasion_Purchase_Index,Style_Pref_Casual,Style_Pref_Ethnic,Style_Pref_Streetwear,Style_Pref_Luxury,Category_Diversity,Brand_Diversity,Seasonality_Index,Total_Spend_Next_12_Months
11,27,Male,2,Mid,0,2991.32,3,1281.71,152,2533.45,2,40.38,0.0604,0.4414,0.8805,0.213,0.147,0.1468,4.35,0.0485,1,5.72,4,0.6129,1,0.082,0.3916,155,1,Casual,0.3528,0.0864,0.1599,0.4009,7,1,0.566,4474.06
12,20,Female,2,High,0,9151.3,5,1759.02,256,1479.73,1,29.12,0.6727,0.4181,0.4828,0.0683,0.1635,0.1698,4.22,0.2136,0,4.37,6,0.2871,0,0.1305,0.9549,71,1,Casual,0.332,0.3307,0.1839,0.1534,1,1,0.5056,6723.74
13,33,Female,1,Mid,0,16322.65,9,2000.2,151,3849.74,2,33.85,0.4178,0.5244,0.4358,0.1567,0.1498,0.0619,1.9,0.2026,0,9.04,4,0.8353,1,0.1012,0.2911,36,0,Formal,0.2629,0.6255,0.0873,0.0243,2,2,0.7876,11764.07
14,21,Female,1,Mid,0,8253.12,6,1308.63,19,2442.71,2,31.99,0.1385,0.5385,0.2693,0.0065,0.0412,0.0793,2.97,0.2195,1,2.81,3,0.592,0,0.1223,0.2394,149,3,Casual,0.4263,0.1844,0.3395,0.0499,2,3,0.6622,7416.89
15,29,Male,3,Low,0,10406.73,7,1871.61,275,723.18,1,5.78,0.4247,0.7702,0.644,0.3102,0.2295,0.078,6.4,0.2529,0,7.81,8,0.5777,0,0.0468,0.4393,100,2,Festive,0.1193,0.3343,0.1919,0.3544,2,4,0.4688,8751.41
16,25,Male,1,Low,0,11415.83,6,1884.36,199,393.33,0,25.31,0.1037,0.5828,0.7279,0.0963,0.0953,0.0665,2.04,0.1156,0,7.47,3,0.6572,1,0.1499,0.3869,149,2,Formal,0.1018,0.2457,0.574,0.0785,3,4,0.4489,9875.71
17,33,Female,2,Mid,0,9250.02,5,1917.63,312,0.0,0,6.73,0.6297,0.771,0.4417,0.1095,0.1094,0.0374,4.02,0.385,1,5.62,4,0.5295,1,0.1005,0.4419,39,0,Casual,0.5014,0.0625,0.2756,0.1605,2,3,0.4778,8033.95
18,25,Male,2,Mid,0,6386.1,5,908.19,303,910.3,2,17.8,0.4163,0.7293,0.4716,0.0631,0.083,0.0906,4.28,0.127,0,0.38,0,0.5503,0,0.3431,0.7193,133,3,Casual,0.3846,0.2545,0.2147,0.1462,2,3,0.2599,4286.18
19,23,Female,1,Mid,0,2288.14,4,1298.85,248,726.69,1,10.38,0.3586,0.8599,0.6799,0.3385,0.2639,0.2021,4.29,0.0631,2,7.32,4,0.4813,1,0.0804,0.1078,80,3,Casual,0.2492,0.1023,0.3854,0.263,3,1,0.5609,3487.36
20,38,Female,2,Mid,0,7859.01,5,1317.24,119,1086.1,1,26.39,0.4301,0.6351,0.4138,0.1041,0.1835,0.0911,3.31,0.0785,0,7.63,5,0.637,1,0.0539,0.4523,31,0,Casual,0.3475,0.2841,0.1635,0.2049,4,3,0.3437,7510.79
21,31,Female,1,High,0,6994.9,4,1757.8,333,3112.73,2,20.81,0.5365,0.7472,0.806,0.2133,0.2129,0.0473,1.66,0.0041,0,9.46,5,0.5672,1,0.2629,0.3455,159,1,Casual,0.202,0.5038,0.1311,0.163,2,3,0.2406,5855.28
22,29,Male,1,High,0,2452.78,1,2134.81,211,0.0,0,29.59,0.5793,0.4366,0.6942,0.1134,0.0914,0.1535,2.93,0.0666,0,8.28,2,0.5773,0,0.1478,0.5712,61,2,Festive,0.0685,0.0373,0.0862,0.808,1,3,0.4556,5078.86
23,18,Female,1,Low,0,0.0,0,1170.01,194,23.2,0,34.2,0.5753,0.4616,0.5932,0.2235,0.1848,0.2049,3.46,0.1417,0,3.25,6,0.4889,0,0.2262,0.4684,47,1,Casual,0.5745,0.1525,0.0176,0.2555,1,2,0.606,1603.8
24,34,Female,3,Low,0,8129.76,6,1543.23,284,1748.62,1,23.51,0.2502,0.6868,0.354,0.0611,0.06,0.0419,1.92,0.1015,0,4.62,2,0.3916,1,0.2418,0.6034,112,1,Casual,0.3979,0.0765,0.2531,0.2726,3,4,0.0962,6404.71
25,25,Female,1,High,0,5356.99,3,1964.55,249,1699.52,1,21.28,0.107,0.7026,0.6476,0.3455,0.2142,0.233,2.29,0.0923,1,2.85,3,0.3759,1,0.0763,0.486,45,0,Casual,0.56,0.0651,0.1481,0.2268,1,4,0.219,5331.9
26,31,Male,1,Low,1,24442.19,12,1898.65,26,2415.54,1,27.89,0.1161,0.6494,0.306,0.0346,0.032,0.0648,2.77,0.1084,1,8.82,4,0.4212,1,0.118,0.5674,90,2,Casual,0.2969,0.1975,0.3246,0.181,4,2,0.4088,19139.17
27,18,Female,3,Low,1,4939.41,5,1365.63,15,1287.63,1,32.38,0.3885,0.4843,0.6002,0.0591,0.0801,0.0763,5.53,0.297,2,8.35,2,0.7607,1,0.1522,0.6839,62,0,Festive,0.3537,0.1225,0.2665,0.2573,6,2,0.5325,5849.07
28,31,Male,1,Low,0,3166.89,6,654.68,98,2829.43,3,18.15,0.6508,0.6678,0.2146,0.0993,0.1896,0.2453,3.03,0.0553,0,5.36,5,0.3326,1,0.0661,0.6541,84,5,Casual,0.265,0.2742,0.3792,0.0816,4,2,0.2741,4737.22
29,31,Male,3,Mid,0,4657.4,4,1523.59,90,1071.42,1,18.87,0.2304,0.763,0.7322,0.1437,0.1369,0.0894,4.09,0.0413,0,3.81,4,0.1304,0,0.1805,0.6651,141,4,Casual,0.4453,0.2517,0.2782,0.0248,1,4,0.5797,5202.8
30,27,Female,2,Low,0,1189.77,3,1518.43,197,3186.92,2,37.28,0.1385,0.4545,0.8072,0.2675,0.193,0.0162,5.74,0.1167,1,5.54,2,0.6884,1,0.1099,0.7089,205,2,Formal,0.3479,0.3839,0.0624,0.2059,1,4,0.637,3935.77
31,22,Female,2,Low,0,15206.51,9,1846.46,333,2191.63,1,35.58,0.1079,0.4673,0.4175,0.1802,0.1739,0.0259,4.61,0.0636,0,4.25,6,0.7226,1,0.0448,0.6394,96,0,Casual,0.1038,0.5463,0.0961,0.2537,3,1,0.6849,9567.42
32,38,Female,2,Mid,0,10427.32,5,1842.67,287,1953.45,1,38.18,0.3791,0.3705,0.754,0.2593,0.1668,0.1887,2.15,0.0823,0,4.86,2,0.4578,1,0.0631,0.2018,0,0,Casual,0.0894,0.5845,0.2534,0.0727,1,2,0.5367,6497.87
33,23,Male,2,Mid,1,13244.09,6,2272.7,38,0.0,0,33.83,0.0959,0.5347,0.3052,0.2032,0.1827,0.0784,4.34,0.0871,0,6.58,3,0.46,1,0.2435,0.2249,107,1,Formal,0.483,0.1526,0.323,0.0414,3,3,0.5533,14701.13
34,36,Male,1,Low,0,6968.12,7,1333.55,184,2829.93,3,23.87,0.2799,0.6804,0.5018,0.0859,0.1624,0.3781,3.18,0.1473,0,3.28,1,0.2615,0,0.3219,0.3384,158,2,Festive,0.039,0.41,0.2582,0.2927,4,7,0.5622,6045.81
35,37,Female,3,Mid,0,2260.52,4,786.44,323,1041.19,1,8.59,0.2661,0.8487,0.6225,0.1236,0.092,0.0058,6.67,0.1188,1,5.56,4,0.6977,0,0.2466,0.4484,242,2,Formal,0.5282,0.2459,0.2162,0.0097,5,2,0.6149,3414.03
36,22,Male,3,Mid,0,23277.29,10,2596.32,53,8581.87,3,28.38,0.1879,0.6051,0.5785,0.1594,0.1271,0.1778,4.66,0.0456,0,8.5,2,0.6469,1,0.2765,0.5775,213,4,Casual,0.5086,0.2781,0.0751,0.1382,2,5,0.3327,22064.52
37,35,Male,3,Mid,1,2210.2,2,1177.52,23,0.0,0,44.66,0.3364,0.3862,0.512,0.087,0.1153,0.2374,5.57,0.1022,0,3.66,4,0.8436,0,0.1617,0.264,109,3,Casual,0.1074,0.6656,0.0345,0.1925,1,1,0.3631,3351.92
38,26,Female,2,Mid,0,19308.84,10,1939.21,88,5885.58,3,30.37,0.5684,0.4958,0.6542,0.128,0.1649,0.111,5.76,0.1366,0,6.47,5,0.245,1,0.1405,0.5392,74,0,Casual,0.4797,0.0864,0.4012,0.0327,6,7,0.4234,11895.91
39,34,Male,2,Low,0,3069.7,5,1186.29,288,2049.29,3,22.79,0.4217,0.6235,0.6914,0.3023,0.2136,0.0713,4.85,0.0914,0,5.43,5,0.211,1,0.0519,0.2823,145,2,Casual,0.3162,0.166,0.4802,0.0377,2,3,0.1314,3502.52
40,22,Female,2,Low,0,7794.74,6,1685.79,2,4070.89,2,10.42,0.1199,0.838,0.5497,0.2446,0.2008,0.2156,6.69,0.4713,1,7.79,4,0.2724,1,0.2383,0.6242,125,2,Festive,0.0627,0.1179,0.5551,0.2643,3,4,0.0728,11666.76
41,28,Male,1,High,0,13467.3,9,1444.46,121,2429.67,2,11.59,0.5972,0.5941,0.5038,0.097,0.0683,0.2713,2.58,0.0453,0,4.75,6,0.5301,1,0.0261,0.5776,143,1,Casual,0.2298,0.2493,0.3422,0.1787,2,4,0.3263,10864.42
42,30,Female,2,Low,0,8294.7,5,1782.04,317,4529.31,2,24.64,0.2965,0.6692,0.369,0.0198,0.1087,0.1873,1.97,0.1393,2,8.48,6,0.6653,1,0.1709,0.4228,101,2,Casual,0.3202,0.0518,0.0231,0.605,2,4,0.1561,8591.36
43,29,Female,2,High,1,4021.28,2,1738.02,25,185.14,0,26.37,0.4828,0.6342,0.5033,0.0132,0.0801,0.2527,3.5,0.0913,0,2.31,1,0.2699,1,0.0299,0.3175,131,0,Casual,0.1526,0.5413,0.0881,0.218,3,1,0.5288,4486.09
44,32,Male,2,Low,1,107.89,1,957.12,42,0.0,0,21.18,0.3848,0.7009,0.4529,0.1064,0.0802,0.2643,5.0,0.1158,1,9.08,6,0.7051,1,0.1075,0.7069,107,3,Casual,0.07,0.5556,0.1404,0.234,2,2,0.6431,4651.59
45,23,Female,1,Mid,0,5121.31,6,747.89,177,2828.5,3,34.86,0.3896,0.494,0.7049,0.1505,0.0968,0.0582,4.46,0.1294,0,10.36,8,0.6431,1,0.1184,0.2198,121,2,Casual,0.3513,0.306,0.298,0.0447,4,3,0.1824,4181.32
46,25,Female,2,Mid,0,27379.72,15,1876.08,362,7213.18,4,22.25,0.6298,0.5491,0.5546,0.1421,0.1122,0.2911,4.36,0.1738,0,8.43,6,0.0677,1,0.1074,0.3206,255,2,Casual,0.4417,0.2924,0.235,0.0309,4,2,0.8888,17592.22
47,35,Male,2,Mid,1,1180.12,2,1098.41,0,523.38,0,16.45,0.2164,0.7412,0.7546,0.3866,0.2483,0.123,2.71,0.2557,1,7.32,4,0.2454,1,0.1031,0.8271,296,5,Formal,0.3829,0.1407,0.4426,0.0338,6,2,0.8451,5088.6
48,26,Male,2,Low,0,17871.54,13,1438.86,359,4374.52,3,38.14,0.0922,0.4648,0.2357,0.0131,0.0592,0.0629,6.46,0.1237,0,5.56,4,0.3256,1,0.2244,0.5031,143,1,Casual,0.2662,0.2724,0.3357,0.1258,6,6,0.4013,14451.51
49,25,Female,3,Low,0,0.0,1,321.01,117,0.0,0,29.14,0.1488,0.6514,0.8012,0.1804,0.1678,0.0918,4.28,0.0855,1,8.88,3,0.5727,1,0.1452,0.6847,209,2,Casual,0.6471,0.1729,0.1767,0.0034,3,1,0.5587,2879.05
50,22,Male,2,Mid,0,23228.89,11,2137.66,140,1.08,0,26.07,0.7101,0.4766,0.4476,0.004,0.0986,0.2547,4.4,0.2206,2,4.86,2,0.3813,0,0.1853,0.3426,192,5,Formal,0.3828,0.3464,0.0544,0.2164,1,1,0.5846,16274.45
51,25,Male,1,Low,0,4845.99,3,2022.86,92,1359.33,1,19.38,0.2029,0.6271,0.7106,0.6675,0.4851,0.0662,4.77,0.1559,1,5.83,3,0.1731,1,0.09,0.6194,144,2,Casual,0.1583,0.3888,0.1008,0.3522,4,2,0.8409,5204.32
52,21,Male,1,Mid,0,14729.44,7,2104.62,5,11021.13,5,16.36,0.1706,0.7762,0.4828,0.0762,0.0731,0.1051,3.67,0.1323,0,11.36,7,0.3951,1,0.1368,0.3414,86,2,Casual,0.1746,0.7957,0.0239,0.0059,4,4,0.0655,13864.03
53,35,Female,2,Mid,0,6151.27,5,959.37,171,2796.68,3,14.88,0.2427,0.7554,0.6445,0.1219,0.1586,0.0811,5.14,0.0663,0,6.87,6,0.4995,1,0.1395,0.2848,209,1,Casual,0.5275,0.328,0.0213,0.1231,2,3,0.607,6789.68
54,25,Female,2,Low,0,8403.91,6,1467.32,166,2786.85,2,28.72,0.2662,0.5813,0.5317,0.0986,0.1421,0.1615,4.3,0.2986,1,8.67,3,0.5052,1,0.1015,0.8171,155,0,Formal,0.6186,0.2789,0.0928,0.0096,3,5,0.5187,8215.71
55,20,Female,3,Mid,0,4408.13,6,1189.48,160,1293.28,2,31.17,0.1087,0.6352,0.6208,0.1973,0.3171,0.1599,5.74,0.0828,0,5.83,1,0.1933,0,0.2234,0.6032,121,1,Casual,0.8288,0.0585,0.1053,0.0073,1,2,0.4661,5733.92
56,27,Female,1,Low,0,7149.53,4,2274.4,11,0.0,0,18.27,0.2318,0.6921,0.5658,0.0753,0.1751,0.1754,1.05,0.0,1,6.02,3,0.676,1,0.111,0.3642,69,2,Casual,0.4974,0.02,0.2351,0.2474,2,3,0.1715,7557.14
57,18,Female,1,High,0,12439.94,6,2357.8,183,2153.23,1,21.9,0.157,0.8061,0.8415,0.1342,0.2928,0.1588,2.64,0.0185,0,8.99,2,0.5393,1,0.2785,0.6733,113,0,Casual,0.0718,0.5294,0.3249,0.074,1,3,0.7615,10779.25
58,22,Female,2,High,0,15270.95,7,2202.23,360,1585.23,1,23.77,0.2113,0.6379,0.514,0.1981,0.2467,0.053,4.77,0.3166,1,8.18,7,0.1613,1,0.1131,0.1613,85,0,Casual,0.5287,0.0661,0.1998,0.2055,4,4,0.4212,10682.58
59,40,Male,2,Mid,0,5867.81,6,1061.64,177,5415.55,4,21.84,0.5034,0.5221,0.7012,0.0958,0.069,0.0597,5.28,0.1277,1,5.06,1,0.5213,0,0.0751,0.2474,122,6,Formal,0.7021,0.1127,0.1299,0.0553,7,5,0.5908,6872.31
60,20,Male,3,High,0,2218.89,5,961.65,193,1079.59,1,19.47,0.3352,0.7105,0.6054,0.2158,0.1595,0.1367,2.9,0.1029,0,3.84,3,0.1686,0,0.1153,0.438,187,3,Casual,0.2396,0.1849,0.5133,0.0622,3,1,0.7477,2813.75
61,28,Female,3,Mid,1,8471.3,5,1843.68,15,1566.05,1,31.37,0.3508,0.4058,0.3187,0.0872,0.1163,0.1359,6.25,0.1397,0,4.07,5,0.501,0,0.0405,0.5118,165,2,Casual,0.0937,0.2071,0.3911,0.3081,4,7,0.6107,9174.09
62,47,Female,2,Low,1,8310.77,6,1341.78,16,780.86,1,21.64,0.2425,0.6702,0.6666,0.2145,0.1621,0.0869,4.25,0.0556,0,6.86,4,0.3065,1,0.1023,0.4351,130,2,Festive,0.3684,0.1408,0.1892,0.3015,1,2,0.258,10761.4
63,31,Female,3,Low,1,3867.01,5,1197.63,15,0.0,0,29.7,0.2834,0.5796,0.635,0.3693,0.3142,0.2082,3.09,0.0899,0,8.23,6,0.3012,1,0.1484,0.8473,123,2,Formal,0.1388,0.3085,0.4853,0.0674,3,4,0.4277,6208.3
64,25,Female,1,Low,1,3578.37,1,1269.51,24,27.63,0,25.48,0.0843,0.7021,0.3617,0.0445,0.0579,0.0581,4.26,0.0536,0,10.8,4,0.3311,1,0.1385,0.4188,17,1,Casual,0.5614,0.011,0.2237,0.204,1,3,0.7518,5325.11
65,18,Female,2,Mid,0,4077.38,3,1344.37,306,173.62,0,26.11,0.5244,0.5253,0.2258,0.3057,0.2196,0.0806,2.91,0.1575,2,8.75,0,0.5232,1,0.1527,0.6165,122,3,Formal,0.2573,0.1276,0.3409,0.2742,2,1,0.4849,5970.06
66,30,Female,3,Mid,1,3507.25,2,1487.8,15,2083.34,1,21.47,0.2823,0.6143,0.6635,0.0474,0.0962,0.137,7.77,0.1854,3,7.09,3,0.3533,1,0.1229,0.5288,31,0,Casual,0.2401,0.3593,0.2448,0.1558,5,1,0.4589,4570.21
67,23,Female,2,Mid,0,4791.14,2,1840.53,143,0.0,0,10.86,0.4288,0.6656,0.5692,0.1766,0.2548,0.4489,5.42,0.2343,2,4.3,3,0.0877,1,0.0734,0.1334,177,2,Casual,0.5775,0.2329,0.037,0.1526,4,2,0.6946,4912.1
68,33,Male,3,Mid,0,10590.82,9,1600.58,359,3621.27,2,21.99,0.4972,0.6678,0.471,0.2286,0.1702,0.0512,5.96,0.3445,1,8.93,6,0.1075,1,0.088,0.2471,41,0,Casual,0.4194,0.2195,0.2839,0.0773,7,4,0.9069,8323.35
69,24,Male,1,Mid,1,6695.76,4,1870.97,24,1063.37,1,25.12,0.1846,0.7005,0.5242,0.0769,0.1033,0.0351,3.44,0.0691,1,3.87,3,0.2793,1,0.1315,0.3399,89,1,Casual,0.1771,0.2224,0.4891,0.1114,4,1,0.3054,5875.46
70,31,Male,1,Low,1,3232.71,3,855.83,26,775.93,1,25.22,0.539,0.6096,0.6984,0.0626,0.0903,0.2218,1.88,0.0,1,7.07,6,0.4001,1,0.1661,0.6501,163,2,Casual,0.3163,0.2624,0.3808,0.0405,1,2,0.4697,6616.32
71,41,Male,2,Low,1,1779.85,1,1143.79,29,924.99,0,17.84,0.0657,0.7334,0.3932,0.2496,0.2231,0.0507,5.34,0.2002,0,4.93,5,0.1804,0,0.0778,0.6568,48,2,Formal,0.2278,0.5539,0.2159,0.0025,1,3,0.8063,3819.98
72,34,Male,3,High,0,9587.92,6,2079.83,200,458.95,0,18.99,0.4236,0.6843,0.4574,0.1183,0.1115,0.1187,2.99,0.0374,1,3.99,4,0.1526,0,0.2481,0.3462,41,2,Casual,0.7327,0.0795,0.1561,0.0317,2,2,0.6074,8406.15
73,18,Female,1,Low,0,3384.49,3,1435.86,230,261.36,0,34.96,0.3664,0.4765,0.5869,0.0369,0.0988,0.2808,3.11,0.0235,1,7.59,5,0.2738,1,0.4356,0.0669,110,2,Festive,0.1242,0.1054,0.6469,0.1235,4,1,0.3132,4309.4
74,30,Male,3,Low,0,4876.21,5,1110.31,35,0.0,0,13.71,0.1247,0.7022,0.6426,0.0682,0.0879,0.2538,4.84,0.1198,1,4.69,2,0.7745,0,0.2187,0.3295,25,1,Casual,0.1726,0.261,0.1058,0.4606,5,5,0.4065,4245.45
75,37,Male,1,Low,1,1190.4,1,2384.86,29,0.0,0,36.23,0.3724,0.4745,0.6182,0.223,0.1968,0.102,4.06,0.1286,0,9.4,6,0.4434,1,0.1597,0.5543,116,4,Casual,0.2182,0.4175,0.1944,0.17,3,2,0.4073,4564.56
76,18,Male,2,High,0,10852.97,13,907.77,152,3115.44,5,16.28,0.0266,0.8211,0.9666,0.2602,0.3267,0.0646,3.95,0.0615,0,6.29,3,0.488,0,0.3408,0.5119,32,0,Formal,0.0099,0.2179,0.2602,0.512,7,6,0.5925,10924.04
77,42,Male,2,Low,0,398.94,5,494.79,29,733.97,0,32.46,0.3202,0.4783,0.6324,0.2524,0.1672,0.0799,4.27,0.0691,1,8.61,9,0.3318,1,0.1028,0.5658,78,2,Casual,0.3333,0.5632,0.0405,0.063,4,3,0.6948,3097.48
78,30,Female,1,Mid,0,3175.63,6,1039.72,329,1413.96,2,28.8,0.3729,0.6287,0.731,0.1299,0.2017,0.294,5.62,0.1404,1,5.79,4,0.2276,1,0.0932,0.8773,194,1,Casual,0.6145,0.0122,0.3181,0.0551,2,1,0.6575,4181.05
79,34,Female,2,Low,0,622.85,2,1024.27,308,0.0,0,0.0,0.4119,0.9294,0.0678,0.0918,0.0834,0.335,4.69,0.0564,1,2.84,4,0.5156,1,0.2381,0.207,134,0,Casual,0.0644,0.1263,0.3533,0.4559,3,2,0.1976,2282.37
80,26,Female,2,Low,1,0.0,1,1192.42,23,348.51,0,47.82,0.4225,0.2892,0.8989,0.1851,0.1373,0.2333,3.49,0.0562,1,4.31,2,0.5436,1,0.1303,0.1023,177,1,Casual,0.2661,0.6554,0.0643,0.0142,1,5,0.6511,2827.88
81,29,Female,2,Mid,0,2351.89,2,1723.24,62,0.0,0,44.03,0.7895,0.2672,0.7673,0.2802,0.1837,0.0848,5.13,0.119,0,4.64,4,0.1999,0,0.1063,0.5578,76,2,Casual,0.3341,0.4576,0.0649,0.1434,1,4,0.8322,3747.78
82,22,Male,1,Mid,0,11608.4,5,2811.82,246,1885.03,1,12.31,0.1176,0.7807,0.2483,0.1844,0.1136,0.0938,2.87,0.0633,1,5.18,1,0.5105,1,0.0663,0.3414,42,0,Casual,0.2841,0.1884,0.1619,0.3656,2,2,0.3517,8288.11
83,41,Female,1,Mid,0,27111.94,12,2297.65,142,2145.42,1,34.33,0.3718,0.5773,0.3114,0.0228,0.0786,0.1806,5.19,0.0901,1,11.49,4,0.3122,1,0.11,0.4177,51,0,Casual,0.0371,0.2648,0.3197,0.3784,1,9,0.1822,18046.74
84,43,Male,3,Low,1,7710.35,5,1958.2,29,4882.0,3,21.54,0.0586,0.7215,0.5208,0.3972,0.3393,0.2757,4.91,0.1217,1,4.44,2,0.2217,1,0.1215,0.666,142,3,Casual,0.6204,0.2096,0.1593,0.0107,1,4,0.3723,8544.57
85,46,Male,2,High,0,5284.03,4,1486.95,356,2645.89,2,13.38,0.3571,0.7537,0.6028,0.0975,0.1025,0.12,3.82,0.1943,0,7.86,8,0.2595,1,0.326,0.422,151,1,Casual,0.196,0.0312,0.0591,0.7137,3,4,0.5437,6344.72
86,18,Male,3,Mid,0,8494.17,5,1958.85,79,4603.05,2,16.72,0.3937,0.6753,0.6874,0.0867,0.1025,0.2192,6.02,0.1355,0,3.85,5,0.6951,0,0.1189,0.4776,173,3,Casual,0.48,0.3531,0.0865,0.0804,3,1,0.2923,6378.41
87,32,Female,2,High,0,2523.89,2,1806.23,65,1393.32,1,27.99,0.1405,0.6263,0.6516,0.1294,0.1725,0.1364,5.86,0.1198,0,3.21,0,0.1999,1,0.1261,0.4078,162,5,Festive,0.3142,0.1928,0.3125,0.1805,3,1,0.6824,4434.84
88,32,Female,3,Low,0,17551.57,6,2702.53,284,5268.8,2,26.03,0.1266,0.6568,0.3313,0.1099,0.1265,0.13,5.38,0.192,0,6.32,3,0.7169,1,0.0513,0.5961,39,0,Formal,0.2452,0.0833,0.0653,0.6062,2,4,0.1414,12057.75
89,23,Male,1,Mid,0,8853.04,4,1894.38,56,1486.29,1,33.73,0.5157,0.3752,0.5881,0.0438,0.0449,0.0574,4.54,0.1008,1,9.06,2,0.5639,1,0.1437,0.6817,119,0,Casual,0.2457,0.1379,0.4629,0.1535,2,1,0.774,8622.44
90,32,Female,2,Low,1,8919.14,7,1289.62,37,1137.63,1,32.46,0.2087,0.615,0.6949,0.2031,0.1545,0.0749,4.58,0.1694,1,2.99,3,0.4217,1,0.1953,0.6715,128,4,Casual,0.0323,0.1581,0.539,0.2706,7,2,0.4836,7111.81
91,18,Male,2,Mid,0,7459.01,5,1827.55,53,3428.27,2,32.64,0.1791,0.6428,0.5099,0.2162,0.2542,0.109,5.97,0.3,0,7.05,4,0.7395,0,0.0868,0.3876,155,6,Casual,0.1745,0.2122,0.5302,0.0831,2,3,0.3066,6770.61
