Unique_id,AD_ID,Air Date,Air Time,Time Zone,Client Product Code,Product ID,Length,Network ID,Network Name,Network Type,Network DMA,Network Feed,HH Impressions,HH Ratings,Spot Cost,Spot Cost Discounted
SPYMYA60D001H416440.425,SPYMYA60D001H,1/5/2014,10:12 AM,EST,MSDR02,SPYMYA,60,HUBLOC,HUB Local,Cable,National,L,175,0.15,40,38
SPYMYA60A002416440.427083333333333,SPYMYA60A002,1/5/2014,10:15 AM,EST,MSDR02,SPYMYA,60,WGNA,WGN America,Cable,National,L,362,0.31,200,190
SPYMYA2MC024416440.431944444444444,SPYMYA2MC024,1/5/2014,10:22 AM,EST,MSDR02,SPYMYA,120,LMN,Lifetime Movie,Cable,National,L,440,0.38,1500,1425
SPYMYA2MC022416440.433333333333333,SPYMYA2MC022,1/5/2014,10:24 AM,EST,MSDR02,SPYMYA,120,GAC,Great American Country,Cable,National,L,6,0,125,118.75
SPYMYA60A009416440.434027777777778,SPYMYA60A009,1/5/2014,10:25 AM,EST,MSDR02,SPYMYA,60,HIST,History,Cable,National,D,624,0.54,700,665
SPYMYA60C012H416440.436111111111111,SPYMYA60C012H,1/5/2014,10:28 AM,EST,MSDR02,SPYMYA,60,FAM,ABC Family,Cable,National,D,447,0.39,400,380
SPYMYA2MC016416440.447222222222222,SPYMYA2MC016,1/5/2014,10:44 AM,EST,MSDR02,SPYMYA,120,DIY,DIY,Cable,National,L,244,0.21,450,427.5
SPYMYA2ME002H416440.447222222222222,SPYMYA2ME002H,1/5/2014,10:44 AM,EST,MSDR02,SPYMYA,120,DXD,DXD,Cable,National,D,260,0.22,300,285
SPYMYA2ME010416440.449305555555556,SPYMYA2ME010,1/5/2014,10:47 AM,EST,MSDR02,SPYMYA,120,TNNK,TeenNick,Broadcast,National,L,148,0.13,250,237.5
SPYMYA60C002H416440.461111111111111,SPYMYA60C002H,1/5/2014,11:04 AM,EST,MSDR02,SPYMYA,60,DXD,DXD,Cable,National,D,321,0.28,175,166.25
SPYMYA60C012H416440.469444444444444,SPYMYA60C012H,1/5/2014,11:16 AM,EST,MSDR02,SPYMYA,60,FAM,ABC Family,Cable,National,D,733,0.63,400,380
SPYMYA2MC022416440.480555555555556,SPYMYA2MC022,1/5/2014,11:32 AM,EST,MSDR02,SPYMYA,120,GAC,Great American Country,Cable,National,L,26,0.02,125,118.75
SPYMYA60C002H416440.481944444444444,SPYMYA60C002H,1/5/2014,11:34 AM,EST,MSDR02,SPYMYA,60,DXD,DXD,Cable,National,D,371,0.32,175,166.25
SPYMYA2ME010416440.486805555555556,SPYMYA2ME010,1/5/2014,11:41 AM,EST,MSDR02,SPYMYA,120,TNNK,TeenNick,Broadcast,National,L,123,0.11,250,237.5
SPYMYA2MC016416440.488888888888889,SPYMYA2MC016,1/5/2014,11:44 AM,EST,MSDR02,SPYMYA,120,DIY,DIY,Cable,National,L,250,0.22,450,427.5
SPYMYA60D001H416440.49375,SPYMYA60D001H,1/5/2014,11:51 AM,EST,MSDR02,SPYMYA,60,HUBLOC,HUB Local,Cable,National,L,149,0.13,40,38
SPYMYA60C012H416440.501388888888889,SPYMYA60C012H,1/5/2014,12:02 PM,EST,MSDR02,SPYMYA,60,FAM,ABC Family,Cable,National,D,733,0.63,400,380
SPYMYA2MC086416440.514583333333333,SPYMYA2MC086,1/5/2014,12:21 PM,EST,MSDR02,SPYMYA,120,FUSN,Fusion,Cable,National,,,,,0
SPYMYA2MC022416440.515972222222222,SPYMYA2MC022,1/5/2014,12:23 PM,EST,MSDR02,SPYMYA,120,GAC,Great American Country,Cable,National,L,33,0.03,225,213.75
SPYMYA2MC031416440.519444444444444,SPYMYA2MC031,1/5/2014,12:28 PM,EST,MSDR02,SPYMYA,120,BIO,Biography,Cable,National,L,74,0.06,675,641.25
SPYMYA60C012H416440.519444444444444,SPYMYA60C012H,1/5/2014,12:28 PM,EST,MSDR02,SPYMYA,60,FAM,ABC Family,Cable,National,D,733,0.63,400,380
SPYMYA2MC009416440.535416666666667,SPYMYA2MC009,1/5/2014,12:51 PM,EST,MSDR02,SPYMYA,120,TRAV,Travel,Cable,National,D,235,0.2,825,783.75
SPYMYA2MC010416440.548611111111111,SPYMYA2MC010,1/5/2014,1:10 PM,EST,MSDR02,SPYMYA,120,WGNA,WGN America,Cable,National,L,465,0.4,1100,1045
SPYMYA60B024416440.551388888888889,SPYMYA60B024,1/5/2014,1:14 PM,EST,MSDR02,SPYMYA,60,VELLOC,Velocity Local,Cable,National,L,46,0.04,55,52.25
SPYMYA2MC086416440.552083333333333,SPYMYA2MC086,1/5/2014,1:15 PM,EST,MSDR02,SPYMYA,120,FUSN,Fusion,Cable,National,,,,5,4.75
SPYMYA2MC014416440.559027777777778,SPYMYA2MC014,1/5/2014,1:25 PM,EST,MSDR02,SPYMYA,120,GSN,GSN,Cable,National,L,179,0.15,1200,1140
SPYMYA60C006416440.561805555555556,SPYMYA60C006,1/5/2014,1:29 PM,EST,MSDR02,SPYMYA,60,NKTNS,Nicktoons,Broadcast,National,L,88,0.08,100,95
SPYMYA60B024416440.572916666666667,SPYMYA60B024,1/5/2014,1:45 PM,EST,MSDR02,SPYMYA,60,VELLOC,Velocity Local,Cable,National,L,48,0.04,55,52.25
SPYMYA2ME014H416440.574305555555556,SPYMYA2ME014H,1/5/2014,1:47 PM,EST,MSDR02,SPYMYA,120,FAM,ABC Family,Cable,National,D,733,0.63,1000,950
SPYMYA2ME002H416440.590277777777778,SPYMYA2ME002H,1/5/2014,2:10 PM,EST,MSDR02,SPYMYA,120,DXD,DXD,Cable,National,D,323,0.28,300,285
SPYMYA60C016416440.593055555555556,SPYMYA60C016,1/5/2014,2:14 PM,EST,MSDR02,SPYMYA,60,TNNK,TeenNick,Broadcast,National,L,207,0.18,,0
SPYMYA60D001H416440.601388888888889,SPYMYA60D001H,1/5/2014,2:26 PM,EST,MSDR02,SPYMYA,60,HUBLOC,HUB Local,Cable,National,L,100,0.09,45,42.75
SPYMYA60D001H416440.642361111111111,SPYMYA60D001H,1/5/2014,3:25 PM,EST,MSDR02,SPYMYA,60,HUBLOC,HUB Local,Cable,National,L,108,0.09,45,42.75
SPYMYA60A009416440.647916666666667,SPYMYA60A009,1/5/2014,3:33 PM,EST,MSDR02,SPYMYA,60,HIST,History,Cable,National,D,833,0.72,800,760
SPYMYA60A019416440.650694444444444,SPYMYA60A019,1/5/2014,3:37 PM,EST,MSDR02,SPYMYA,60,GOLF,Golf Channel,Cable,National,L,42,0.04,200,190
SPYMYA60B024416440.653472222222222,SPYMYA60B024,1/5/2014,3:41 PM,EST,MSDR02,SPYMYA,60,VELLOC,Velocity Local,Cable,National,L,66,0.06,55,52.25
SPYMYA60C006416440.656944444444444,SPYMYA60C006,1/5/2014,3:46 PM,EST,MSDR02,SPYMYA,60,NKTNS,Nicktoons,Broadcast,National,L,109,0.09,100,95
SPYMYA2MC032416440.677083333333333,SPYMYA2MC032,1/5/2014,4:15 PM,EST,MSDR02,SPYMYA,120,CNTRC,Centric,Cable,National,L,26,0.02,125,118.75
SPYMYA60B024416440.679861111111111,SPYMYA60B024,1/5/2014,4:19 PM,EST,MSDR02,SPYMYA,60,VELLOC,Velocity Local,Cable,National,L,87,0.08,55,52.25
SPYMYA2MC068416440.692361111111111,SPYMYA2MC068,1/5/2014,4:37 PM,EST,MSDR02,SPYMYA,120,SCI,Science,Cable,National,L,109,0.09,500,475
SPYMYA60D001H416440.69375,SPYMYA60D001H,1/5/2014,4:39 PM,EST,MSDR02,SPYMYA,60,HUBLOC,HUB Local,Cable,National,L,110,0.1,45,42.75
SPYMYA2MC010416440.696527777777778,SPYMYA2MC010,1/5/2014,4:43 PM,EST,MSDR02,SPYMYA,120,WGNA,WGN America,Cable,National,L,600,0.52,1100,1045
SPYMYA60C004H416440.717361111111111,SPYMYA60C004H,1/5/2014,5:13 PM,EST,MSDR02,SPYMYA,60,HUB,HUB,Cable,National,L,88,0.08,200,190
SPYMYA2MC022416440.718055555555556,SPYMYA2MC022,1/5/2014,5:14 PM,EST,MSDR02,SPYMYA,120,GAC,Great American Country,Cable,National,L,57,0.05,225,213.75
SPYMYA2MC032416440.730555555555556,SPYMYA2MC032,1/5/2014,5:32 PM,EST,MSDR02,SPYMYA,120,CNTRC,Centric,Cable,National,L,14,0.01,125,118.75
SPYMYA2MC001416440.730555555555556,SPYMYA2MC001,1/5/2014,5:32 PM,EST,MSDR02,SPYMYA,120,ESQ,Esquire,Cable,National,D,108,0.09,125,118.75
SPYMYA2MC009416440.735416666666667,SPYMYA2MC009,1/5/2014,5:39 PM,EST,MSDR02,SPYMYA,120,TRAV,Travel,Cable,National,D,386,0.33,825,783.75
SPYMYA60D001H416440.736111111111111,SPYMYA60D001H,1/5/2014,5:40 PM,EST,MSDR02,SPYMYA,60,HUBLOC,HUB Local,Cable,National,L,88,0.08,45,42.75
SPYMYA2MC032416440.750694444444444,SPYMYA2MC032,1/5/2014,6:01 PM,EST,MSDR02,SPYMYA,120,CNTRC,Centric,Cable,National,L,14,0.01,150,142.5
SPYMYA60C002H416440.760416666666667,SPYMYA60C002H,1/5/2014,6:15 PM,EST,MSDR02,SPYMYA,60,DXD,DXD,Cable,National,D,237,0.2,175,166.25
SPYMYA2MC025416440.768055555555556,SPYMYA2MC025,1/5/2014,6:26 PM,EST,MSDR02,SPYMYA,120,LOGO,Logo,Cable,National,D,39,0.03,60,57
SPYMYA60D001H416440.76875,SPYMYA60D001H,1/5/2014,6:27 PM,EST,MSDR02,SPYMYA,60,HUBLOC,HUB Local,Cable,National,L,88,0.08,45,42.75
SPYMYA2MC001416440.773611111111111,SPYMYA2MC001,1/5/2014,6:34 PM,EST,MSDR02,SPYMYA,120,ESQ,Esquire,Cable,National,D,93,0.08,125,118.75
SPYMYA2MC032416440.782638888888889,SPYMYA2MC032,1/5/2014,6:47 PM,EST,MSDR02,SPYMYA,120,CNTRC,Centric,Cable,National,L,29,0.03,150,142.5
SPYMYA60C012H416440.792361111111111,SPYMYA60C012H,1/5/2014,7:01 PM,EST,MSDR02,SPYMYA,60,FAM,ABC Family,Cable,National,D,401,0.35,600,570
SPYMYA60C006416440.798611111111111,SPYMYA60C006,1/5/2014,7:10 PM,EST,MSDR02,SPYMYA,60,NKTNS,Nicktoons,Broadcast,National,L,84,0.07,75,71.25
SPYMYA60C012H416440.799305555555556,SPYMYA60C012H,1/5/2014,7:11 PM,EST,MSDR02,SPYMYA,60,FAM,ABC Family,Cable,National,D,401,0.35,600,570
SPYMYA2MC024416440.8,SPYMYA2MC024,1/5/2014,7:12 PM,EST,MSDR02,SPYMYA,120,LMN,Lifetime Movie,Cable,National,L,540,0.47,2500,2375
SPYMYA2MC001416440.813888888888889,SPYMYA2MC001,1/5/2014,7:32 PM,EST,MSDR02,SPYMYA,120,ESQ,Esquire,Cable,National,D,93,0.08,125,118.75
SPYMYA60C006416440.81875,SPYMYA60C006,1/5/2014,7:39 PM,EST,MSDR02,SPYMYA,60,NKTNS,Nicktoons,Broadcast,National,L,117,0.1,75,71.25
SPYMYA2ME002H416440.820833333333333,SPYMYA2ME002H,1/5/2014,7:42 PM,EST,MSDR02,SPYMYA,120,DXD,DXD,Cable,National,D,299,0.26,125,118.75
SPYMYA2MC025416440.821527777777778,SPYMYA2MC025,1/5/2014,7:43 PM,EST,MSDR02,SPYMYA,120,LOGO,Logo,Cable,National,D,42,0.04,60,57
SPYMYA2MC049416440.828472222222222,SPYMYA2MC049,1/5/2014,7:53 PM,EST,MSDR02,SPYMYA,120,HGTV,Home & Garden TV,Cable,National,D,790,0.68,2500,2375
SPYMYA2MC071416440.839583333333333,SPYMYA2MC071,1/5/2014,8:09 PM,EST,MSDR02,SPYMYA,120,CHIL,Chiller,Cable,National,L,94,0.08,250,237.5
SPYMYA2MC040416440.840277777777778,SPYMYA2MC040,1/5/2014,8:10 PM,EST,MSDR02,SPYMYA,120,MSNBC,MSNBC,Cable,National,L,260,0.22,1400,1330
SPYMYA60C006416440.842361111111111,SPYMYA60C006,1/5/2014,8:13 PM,EST,MSDR02,SPYMYA,60,NKTNS,Nicktoons,Broadcast,National,L,126,0.11,75,71.25
SPYMYA2MC086416440.843055555555556,SPYMYA2MC086,1/5/2014,8:14 PM,EST,MSDR02,SPYMYA,120,FUSN,Fusion,Cable,National,,,,5,4.75
SPYMYA2MC023416440.856944444444444,SPYMYA2MC023,1/5/2014,8:34 PM,EST,MSDR02,SPYMYA,120,LIF,Lifetime,Cable,National,D,1037,0.9,3500,3325
SPYMYA60C002H416440.863194444444444,SPYMYA60C002H,1/5/2014,8:43 PM,EST,MSDR02,SPYMYA,60,DXD,DXD,Cable,National,D,476,0.41,150,142.5
SPYMYA60C006416440.863888888888889,SPYMYA60C006,1/5/2014,8:44 PM,EST,MSDR02,SPYMYA,60,NKTNS,Nicktoons,Broadcast,National,L,147,0.13,100,95
SPYMYA2MC086416440.867361111111111,SPYMYA2MC086,1/5/2014,8:49 PM,EST,MSDR02,SPYMYA,120,FUSN,Fusion,Cable,National,,,,5,4.75
SPYMYA60C006416440.884027777777778,SPYMYA60C006,1/5/2014,9:13 PM,EST,MSDR02,SPYMYA,60,NKTNS,Nicktoons,Broadcast,National,L,250,0.22,75,71.25
SPYMYA2MC031416440.891666666666667,SPYMYA2MC031,1/5/2014,9:24 PM,EST,MSDR02,SPYMYA,120,BIO,Biography,Cable,National,L,183,0.16,700,665
SPYMYA2MC025416440.893055555555556,SPYMYA2MC025,1/5/2014,9:26 PM,EST,MSDR02,SPYMYA,120,LOGO,Logo,Cable,National,D,42,0.04,75,71.25
SPYMYA60C002H416440.899305555555555,SPYMYA60C002H,1/5/2014,9:35 PM,EST,MSDR02,SPYMYA,60,DXD,DXD,Cable,National,D,476,0.41,150,142.5
SPYMYA2MC071416440.903472222222222,SPYMYA2MC071,1/5/2014,9:41 PM,EST,MSDR02,SPYMYA,120,CHIL,Chiller,Cable,National,L,80,0.07,250,237.5
SPYMYA2MC014416440.903472222222222,SPYMYA2MC014,1/5/2014,9:41 PM,EST,MSDR02,SPYMYA,120,GSN,GSN,Cable,National,L,388,0.34,1000,950
SPYMYA60C006416440.914583333333333,SPYMYA60C006,1/5/2014,9:57 PM,EST,MSDR02,SPYMYA,60,NKTNS,Nicktoons,Broadcast,National,L,292,0.25,75,71.25
SPYMYA2MC025416440.927083333333333,SPYMYA2MC025,1/5/2014,10:15 PM,EST,MSDR02,SPYMYA,120,LOGO,Logo,Cable,National,D,69,0.06,75,71.25
SPYMYA2MC023416440.929166666666667,SPYMYA2MC023,1/5/2014,10:18 PM,EST,MSDR02,SPYMYA,120,LIF,Lifetime,Cable,National,D,1099,0.95,3500,3325
SPYMYA2MC004416440.93125,SPYMYA2MC004,1/5/2014,10:21 PM,EST,MSDR02,SPYMYA,120,HALL,Hallmark Channel,Cable,National,D,890,0.77,3000,2850
SPYMYA60A010416440.936111111111111,SPYMYA60A010,1/5/2014,10:28 PM,EST,MSDR02,SPYMYA,60,DIY,DIY,Cable,National,L,231,0.2,150,142.5
SPYMYA60A030416440.936111111111111,SPYMYA60A030,1/5/2014,10:28 PM,EST,MSDR02,SPYMYA,60,TRAV,Travel,Cable,National,D,443,0.38,200,190
SPYMYA60C012H416440.9375,SPYMYA60C012H,1/5/2014,10:30 PM,EST,MSDR02,SPYMYA,60,FAM,ABC Family,Cable,National,D,287,0.25,600,570
SPYMYA60D001H416440.9625,SPYMYA60D001H,1/5/2014,11:06 PM,EST,MSDR02,SPYMYA,60,HUBLOC,HUB Local,Cable,National,L,44,0.04,40,38
SPYMYA2MC086416440.968055555555556,SPYMYA2MC086,1/5/2014,11:14 PM,EST,MSDR02,SPYMYA,120,FUSN,Fusion,Cable,National,,,,5,4.75
SPYMYA60D001H416440.982638888888889,SPYMYA60D001H,1/5/2014,11:35 PM,EST,MSDR02,SPYMYA,60,HUBLOC,HUB Local,Cable,National,L,44,0.04,40,38
SPYMYA2MC086416440.992361111111111,SPYMYA2MC086,1/5/2014,11:49 PM,EST,MSDR02,SPYMYA,120,FUSN,Fusion,Cable,National,,,,5,4.75
SPYMYA2MC023416450.0243055555555556,SPYMYA2MC023,1/6/2014,12:35 AM,EST,MSDR02,SPYMYA,120,LIF,Lifetime,Cable,National,D,,,0,0
SPYMYA2ME002H416450.0305555555555556,SPYMYA2ME002H,1/6/2014,12:44 AM,EST,MSDR02,SPYMYA,120,DXD,DXD,Cable,National,D,167,0.14,30,28.5
SPYMYA2MC031416450.0583333333333333,SPYMYA2MC031,1/6/2014,1:24 AM,EST,MSDR02,SPYMYA,120,BIO,Biography,Cable,National,L,129,0.11,0,0
SPYMYA60A010416450.0611111111111111,SPYMYA60A010,1/6/2014,1:28 AM,EST,MSDR02,SPYMYA,60,DIY,DIY,Cable,National,L,135,0.12,0,0
SPYMYA60A030416450.0611111111111111,SPYMYA60A030,1/6/2014,1:28 AM,EST,MSDR02,SPYMYA,60,TRAV,Travel,Cable,National,D,275,0.24,,0
SPYMYA2MC072416450.0743055555555556,SPYMYA2MC072,1/6/2014,1:47 AM,EST,MSDR02,SPYMYA,120,CLOO,CLOO,Cable,National,L,30,0.03,25,23.75
SPYMYA60C004H416450.0875,SPYMYA60C004H,1/6/2014,2:06 AM,EST,MSDR02,SPYMYA,60,HUB,HUB,Cable,National,L,48,0.04,5,4.75
SPYMYA2MC086416450.0944444444444444,SPYMYA2MC086,1/6/2014,2:16 AM,EST,MSDR02,SPYMYA,120,FUSN,Fusion,Cable,National,,,,5,4.75
SPYMYA2MC023416450.0965277777777778,SPYMYA2MC023,1/6/2014,2:19 AM,EST,MSDR02,SPYMYA,120,LIF,Lifetime,Cable,National,D,412,0.36,0,0
SPYMYA2ME010416450.0965277777777778,SPYMYA2ME010,1/6/2014,2:19 AM,EST,MSDR02,SPYMYA,120,TNNK,TeenNick,Broadcast,National,L,119,0.1,50,47.5
SPYMYA2MC032416450.0972222222222222,SPYMYA2MC032,1/6/2014,2:20 AM,EST,MSDR02,SPYMYA,120,CNTRC,Centric,Cable,National,L,20,0.02,45,42.75
SPYMYA2MC021416450.104861111111111,SPYMYA2MC021,1/6/2014,2:31 AM,EST,MSDR02,SPYMYA,120,DAM,Destination America,Cable,National,L,70,0.06,100,95
SPYMYA2MC032416450.115972222222222,SPYMYA2MC032,1/6/2014,2:47 AM,EST,MSDR02,SPYMYA,120,CNTRC,Centric,Cable,National,L,20,0.02,45,42.75
SPYMYA2ME010416450.118055555555556,SPYMYA2ME010,1/6/2014,2:50 AM,EST,MSDR02,SPYMYA,120,TNNK,TeenNick,Broadcast,National,L,134,0.12,50,47.5
SPYMYA2MC068416450.129166666666667,SPYMYA2MC068,1/6/2014,3:06 AM,EST,MSDR02,SPYMYA,120,SCI,Science,Cable,National,L,132,0.11,125,118.75
SPYMYA60C004H416450.148611111111111,SPYMYA60C004H,1/6/2014,3:34 AM,EST,MSDR02,SPYMYA,60,HUB,HUB,Cable,National,L,21,0.02,5,4.75
SPYMYA60C002H416450.170833333333333,SPYMYA60C002H,1/6/2014,4:06 AM,EST,MSDR02,SPYMYA,60,DXD,DXD,Cable,National,D,179,0.15,15,14.25
SPYMYA60C002H416450.189583333333333,SPYMYA60C002H,1/6/2014,4:33 AM,EST,MSDR02,SPYMYA,60,DXD,DXD,Cable,National,D,188,0.16,15,14.25
SPYMYA60C004H416450.195833333333333,SPYMYA60C004H,1/6/2014,4:42 AM,EST,MSDR02,SPYMYA,60,HUB,HUB,Cable,National,L,20,0.02,5,4.75
SPYMYA2ME002H416450.209722222222222,SPYMYA2ME002H,1/6/2014,5:02 AM,EST,MSDR02,SPYMYA,120,DXD,DXD,Cable,National,D,175,0.15,20,19
SPYMYA60B003416450.227083333333333,SPYMYA60B003,1/6/2014,5:27 AM,EST,MSDR02,SPYMYA,60,DISCLOC,Discovery Network Local,Cable,National,D,,,20,19
SPYMYA60C002H416450.252777777777778,SPYMYA60C002H,1/6/2014,6:04 AM,EST,MSDR02,SPYMYA,60,DXD,DXD,Cable,National,D,173,0.15,75,71.25
SPYMYA2ME010416450.282638888888889,SPYMYA2ME010,1/6/2014,6:47 AM,EST,MSDR02,SPYMYA,120,TNNK,TeenNick,Broadcast,National,L,176,0.15,125,118.75
SPYMYA2MC071416450.286111111111111,SPYMYA2MC071,1/6/2014,6:52 AM,EST,MSDR02,SPYMYA,120,CHIL,Chiller,Cable,National,L,25,0.02,60,57
SPYMYA60B014416450.299305555555556,SPYMYA60B014,1/6/2014,7:11 AM,EST,MSDR02,SPYMYA,60,MILLOC,American Heroes Channel Local,Cable,National,L,71,0.06,15,14.25
SPYMYA60C004H416450.314583333333333,SPYMYA60C004H,1/6/2014,7:33 AM,EST,MSDR02,SPYMYA,60,HUB,HUB,Cable,National,L,18,0.02,75,71.25
SPYMYA60C004H416450.347222222222222,SPYMYA60C004H,1/6/2014,8:20 AM,EST,MSDR02,SPYMYA,60,HUB,HUB,Cable,National,L,26,0.02,75,71.25
SPYMYA60B001416450.358333333333333,SPYMYA60B001,1/6/2014,8:36 AM,EST,MSDR02,SPYMYA,60,APLLOC,Animal Planet Local,Cable,National,D,192,0.17,33,31.35
SPYMYA60C006416450.3625,SPYMYA60C006,1/6/2014,8:42 AM,EST,MSDR02,SPYMYA,60,NKTNS,Nicktoons,Broadcast,National,L,112,0.1,50,47.5
SPYMYA2ME002H416450.376388888888889,SPYMYA2ME002H,1/6/2014,9:02 AM,EST,MSDR02,SPYMYA,120,DXD,DXD,Cable,National,D,170,0.15,100,95
SPYMYA60B001416450.380555555555556,SPYMYA60B001,1/6/2014,9:08 AM,EST,MSDR02,SPYMYA,60,APLLOC,Animal Planet Local,Cable,National,D,250,0.22,33,31.35
SPYMYA60C004H416450.388888888888889,SPYMYA60C004H,1/6/2014,9:20 AM,EST,MSDR02,SPYMYA,60,HUB,HUB,Cable,National,L,10,0.01,75,71.25
SPYMYA2MC027416450.391666666666667,SPYMYA2MC027,1/6/2014,9:24 AM,EST,MSDR02,SPYMYA,120,SPMN,Sportsman,Cable, ,L,,,50,47.5
SPYMYA2MC061416450.4,SPYMYA2MC061,1/6/2014,9:36 AM,EST,MSDR02,SPYMYA,120,KCDO,KCDO TV,Broadcast_Regional,Denver,,,,20,19
SPYMYA60C002H416450.405555555555556,SPYMYA60C002H,1/6/2014,9:44 AM,EST,MSDR02,SPYMYA,60,DXD,DXD,Cable,National,D,157,0.14,75,71.25
SPYMYA60B001416450.430555555555556,SPYMYA60B001,1/6/2014,10:20 AM,EST,MSDR02,SPYMYA,60,APLLOC,Animal Planet Local,Cable,National,D,318,0.27,33,31.35
SPYMYA60C004H416450.445833333333333,SPYMYA60C004H,1/6/2014,10:42 AM,EST,MSDR02,SPYMYA,60,HUB,HUB,Cable,National,L,24,0.02,100,95
SPYMYA2MC005416450.449305555555556,SPYMYA2MC005,1/6/2014,10:47 AM,EST,MSDR02,SPYMYA,120,WLNY,WLNY-TV,Broadcast,NEW YORK,,,,100,95
SPYMYA60C002H416450.459722222222222,SPYMYA60C002H,1/6/2014,11:02 AM,EST,MSDR02,SPYMYA,60,DXD,DXD,Cable,National,D,359,0.31,75,71.25
SPYMYA2MC027416450.483333333333333,SPYMYA2MC027,1/6/2014,11:36 AM,EST,MSDR02,SPYMYA,120,SPMN,Sportsman,Cable, ,L,,,50,47.5
SPYMYA60C006416450.509027777777778,SPYMYA60C006,1/6/2014,12:13 PM,EST,MSDR02,SPYMYA,60,NKTNS,Nicktoons,Broadcast,National,L,121,0.1,75,71.25
SPYMYA60B001416450.509722222222222,SPYMYA60B001,1/6/2014,12:14 PM,EST,MSDR02,SPYMYA,60,APLLOC,Animal Planet Local,Cable,National,D,321,0.28,33,31.35
SPYMYA2ME010416450.53125,SPYMYA2ME010,1/6/2014,12:45 PM,EST,MSDR02,SPYMYA,120,TNNK,TeenNick,Broadcast,National,L,175,0.15,200,190
