AGE	CRED	MS	HEQ	INCOME	DEPC	MOB	MILEAGE	RESTYPE	GENDER	EMP_STA	RES_STA	DELINQ	NUMTR	MRTGI	MFDU	resp	female	HOME	CONDO	COOP	renter	emp1	emp2	msn	cuscode
19	487	U	0.1	20	N	Y	7.12	RENTER	M	1,2	1,2	2	0	N	1	0	0	0	0	0	1	1	0	0	23
18	311	X	0.1	20	Y	Y	8.087	RENTER	M	1,2	1,2	1	0	N	1	0	0	0	0	0	1	1	0	0	24
19	385	U	0.1	20	N	N	19.81	HOME	M	1,2	3+	0	0	Y	0	0	0	1	0	0	1	1	0	0	25
19	419	U	0.1	20	N	Y	17.211	HOME	F	1,2	1,2	0	2	N	0	0	1	1	0	0	1	1	0	0	26
19	322	U	0.1	20	Y	N	4.688	RENTER	M	0	1,2	1	0	N	1	0	0	0	0	0	1	0	0	0	27
18	481	M	0.1	20	N	Y	12.3	HOME	M	1,2	1,2	0	0	N	0	0	0	1	0	0	1	1	0	1	28
19	479	X	0.1	20	N	N	10.124	CONDO	F	1,2	1,2	0	0	Y	1	0	1	0	1	0	1	1	0	0	29
19	494	U	0.1	20	N	Y	14.439	HOME	M	1,2	3+	0	0	U	0	0	0	1	0	0	1	1	0	0	30
19	354	U	0.1	20	N	Y	6.128	RENTER	M	1,2	1,2	1	0	N	1	0	0	0	0	0	1	1	0	0	31
18	505	M	0.1	20	N	Y	1.029	HOME	F	1,2	1,2	1	0	Y	0	1	1	1	0	0	1	1	0	1	32
19	521	M	0.1	20	N	Y	1.927	HOME	F	1,2	1,2	1	0	Y	0	0	1	1	0	0	1	1	0	1	33
19	506	M	0.1	20	N	N	13.488	HOME	M	1,2	1,2	4	0	Y	0	0	0	1	0	0	1	1	0	1	34
19	447	M	0.1	30	Y	Y	19.45	HOME	F	3+	1,2	0	1	N	0	0	1	1	0	0	1	0	1	1	35
19	522	U	0.1	20	N	N	7.156	HOME	M	1,2	3+	0	0	N	0	0	0	1	0	0	1	1	0	0	36
18	526	M	0.1	20	Y	N	19.997	RENTER	F	1,2	1,2	0	0	N	1	0	1	0	0	0	1	1	0	1	37
19	498	U	0.1	20	N	Y	12.79	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	0	38
20	332	U	0.1	20	N	Y	14.023	HOME	M	1,2	1,2	0	0	N	0	0	0	1	0	0	1	1	0	0	39
19	500	U	0.1	20	Y	Y	5.025	HOME	F	1,2	1,2	0	0	Y	0	0	1	1	0	0	1	1	0	0	40
20	491	U	0.1	20	N	Y	27.373	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	0	41
19	446	M	0.1	20	N	N	19.379	HOME	M	1,2	1,2	0	0	Y	0	0	0	1	0	0	1	1	0	1	42
20	335	M	0.1	20	N	Y	4.307	HOME	M	1,2	1,2	0	1	U	0	0	0	1	0	0	1	1	0	1	43
18	451	M	0.1	20	N	Y	18.462	HOME	M	1,2	1,2	2	0	Y	0	0	0	1	0	0	1	1	0	1	44
19	511	M	0.1	20	N	Y	14.263	HOME	F	1,2	1,2	1	4	N	0	1	1	1	0	0	1	1	0	1	45
20	556	U	0.1	20	Y	N	12.568	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	0	46
19	577	U	0.1	20	N	Y	13.673	RENTER	F	1,2	1,2	0	0	N	1	0	1	0	0	0	1	1	0	0	47
18	590	U	10	20	Y	N	13.082	HOME	F	1,2	1,2	2	0	Y	0	0	1	1	0	0	1	1	0	0	48
20	558	X	0.1	20	Y	N	16.403	COOP	M	1,2	1,2	3	0	Y	1	0	0	0	0	1	1	1	0	0	49
19	560	X	0.1	20	N	Y	3.439	RENTER	M	1,2	1,2	2	0	N	1	0	0	0	0	0	1	1	0	0	50
19	567	X	0.1	20	N	Y	11.08	RENTER	F	1,2	1,2	0	0	N	1	0	1	0	0	0	1	1	0	0	51
19	579	U	0.1	20	N	Y	17.854	RENTER	M	1,2	3+	0	0	N	1	0	0	0	0	0	1	1	0	0	52
20	587	U	0.1	20	Y	Y	10.054	RENTER	F	1,2	1,2	0	0	N	1	0	1	0	0	0	1	1	0	0	53
19	555	U	0.1	20	Y	Y	12.195	HOME	M	1,2	1,2	1	2	Y	0	0	0	1	0	0	1	1	0	0	54
18	558	U	0.1	20	Y	N	18.445	HOME	F	1,2	1,2	0	0	N	0	0	1	1	0	0	1	1	0	0	55
18	558	U	0.1	20	Y	Y	14.763	HOME	M	1,2	3+	3	1	Y	0	1	0	1	0	0	1	1	0	0	56
19	594	U	0.1	20	N	Y	7.451	RENTER	F	3+	1,2	1	4	N	1	1	1	0	0	0	1	0	1	0	57
19	565	U	0.1	20	N	Y	4.254	HOME	M	1,2	1,2	1	0	Y	0	0	0	1	0	0	1	1	0	0	58
18	569	M	0.1	20	N	Y	10.571	HOME	F	0	1,2	0	4	Y	0	1	1	1	0	0	1	0	0	1	59
19	563	M	0.1	20	N	N	4.619	HOME	M	1,2	1,2	1	0	N	0	0	0	1	0	0	1	1	0	1	60
19	589	U	10	20	N	N	14.182	RENTER	F	1,2	1,2	0	1	N	1	0	1	0	0	0	1	1	0	0	61
19	562	U	0.1	20	N	Y	12.279	HOME	F	1,2	1,2	0	1	Y	0	0	1	1	0	0	1	1	0	0	62
19	570	U	0.1	20	Y	Y	17.609	RENTER	F	1,2	1,2	1	0	N	1	0	1	0	0	0	1	1	0	0	63
20	583	M	0.1	20	Y	Y	10.088	HOME	F	1,2	1,2	0	0	Y	0	0	1	1	0	0	1	1	0	1	64
20	561	U	0.1	20	N	N	12.817	RENTER	F	1,2	1,2	0	4	N	1	0	1	0	0	0	1	1	0	0	65
19	562	U	0.1	20	N	Y	14.785	RENTER	M	1,2	1,2	1	0	N	1	0	0	0	0	0	1	1	0	0	66
20	563	U	0.1	20	Y	Y	13.382	HOME	F	1,2	1,2	0	0	Y	0	0	1	1	0	0	1	1	0	0	67
19	583	U	0.1	20	Y	Y	18.562	HOME	F	1,2	1,2	2	0	U	0	0	1	1	0	0	1	1	0	0	68
20	563	X	0.1	20	N	N	4.843	RENTER	F	1,2	1,2	0	0	N	1	0	1	0	0	0	1	1	0	0	69
19	582	X	0.1	20	N	N	0.458	RENTER	M	1,2	1,2	2	0	N	1	1	0	0	0	0	1	1	0	0	70
19	554	U	0.1	20	Y	N	13.285	HOME	M	1,2	1,2	1	0	N	0	0	0	1	0	0	1	1	0	0	71
19	572	U	0.1	20	N	Y	11.611	RENTER	M	1,2	3+	3	0	N	1	0	0	0	0	0	1	1	0	0	72
19	568	U	0.1	20	N	N	14.776	HOME	M	1,2	1,2	1	0	N	0	0	0	1	0	0	1	1	0	0	73
19	633	U	0.1	20	N	Y	1.3	HOME	M	1,2	1,2	3	0	Y	0	0	0	1	0	0	1	1	0	0	74
18	633	M	0.1	20	N	Y	14.094	HOME	F	1,2	1,2	0	1	N	0	0	1	1	0	0	1	1	0	1	75
19	621	U	0.1	20	Y	Y	14.213	HOME	M	1,2	1,2	3	0	N	0	0	0	1	0	0	1	1	0	0	76
19	609	U	0.1	20	Y	N	2.396	HOME	F	1,2	1,2	4	0	N	0	0	1	1	0	0	1	1	0	0	77
18	621	M	0.1	20	Y	N	19.045	RENTER	F	1,2	1,2	2	7	N	1	1	1	0	0	0	1	1	0	1	78
18	609	M	0.1	20	Y	Y	11.262	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	1	79
18	633	U	0.1	20	N	N	7.958	RENTER	F	0	3+	0	0	N	1	0	1	0	0	0	1	0	0	0	80
18	628	M	0.1	20	N	Y	18.596	HOME	M	1,2	1,2	1	0	U	0	1	0	1	0	0	1	1	0	1	81
19	634	X	0.1	20	N	N	19.807	COOP	M	1,2	1,2	2	0	N	1	0	0	0	0	1	1	1	0	0	82
18	627	M	0.1	20	N	N	10.915	COOP	M	1,2	3+	1	0	Y	1	0	0	0	0	1	1	1	0	1	83
19	668	M	0.1	20	N	N	11.513	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	1	84
18	661	U	0.1	20	N	N	10.441	HOME	M	1,2	1,2	1	1	N	0	0	0	1	0	0	1	1	0	0	85
20	664	M	0.1	20	Y	N	5.503	HOME	M	3+	1,2	0	0	Y	0	0	0	1	0	0	1	0	1	1	86
20	672	U	0.1	20	Y	Y	9.728	RENTER	F	3+	1,2	0	1	N	1	0	1	0	0	0	1	0	1	0	87
19	650	U	0.1	20	Y	Y	19.715	COOP	F	1,2	1,2	0	1	Y	1	0	1	0	0	1	1	1	0	0	88
20	697	U	0.1	30	Y	Y	8.706	RENTER	M	1,2	1,2	1	1	N	1	0	0	0	0	0	1	1	0	0	89
19	686	U	0.1	20	Y	Y	11.6	HOME	M	0	1,2	1	1	Y	0	0	0	1	0	0	1	0	0	0	90
18	730	U	0.1	20	N	Y	14.265	HOME	M	1,2	3+	1	3	N	0	0	0	1	0	0	1	1	0	0	91
21	430	U	0.1	20	N	Y	7.486	RENTER	F	1,2	1,2	0	1	N	1	0	1	0	0	0	1	1	0	0	92
23	452	U	0.1	30	N	Y	8.746	RENTER	M	1,2	1,2	0	1	N	1	0	0	0	0	0	1	1	0	0	93
21	390	M	10	30	N	N	5.296	RENTER	M	1,2	1,2	2	4	N	1	1	0	0	0	0	1	1	0	1	94
24	436	M	0.1	30	N	Y	13.294	RENTER	F	1,2	1,2	0	0	N	1	0	1	0	0	0	1	1	0	1	95
24	401	M	0.1	20	Y	Y	19.762	CONDO	M	1,2	1,2	1	0	Y	1	0	0	0	1	0	1	1	0	1	96
24	324	M	10	30	N	Y	17.769	HOME	M	1,2	1,2	0	1	Y	0	0	0	1	0	0	1	1	0	1	97
24	495	M	0.1	20	N	N	5.428	HOME	F	1,2	1,2	0	0	U	0	0	1	1	0	0	1	1	0	1	98
25	491	U	10	40	N	Y	7.813	HOME	F	1,2	1,2	0	0	N	0	0	1	1	0	0	1	1	0	0	99
22	420	M	50	20	N	N	16.411	HOME	M	1,2	1,2	0	3	Y	0	0	0	1	0	0	1	1	0	1	100
23	519	U	10	30	N	Y	18.413	HOME	M	0	1,2	1	0	N	0	0	0	1	0	0	1	0	0	0	101
21	419	U	0.1	30	Y	Y	15.116	HOME	F	0	1,2	2	1	N	0	0	1	1	0	0	1	0	0	0	102
24	512	M	0.1	20	N	N	15.733	HOME	F	1,2	1,2	1	0	Y	0	0	1	1	0	0	1	1	0	1	103
20	450	U	0.1	30	Y	N	16.328	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	0	104
21	379	U	10	20	N	Y	15.315	HOME	M	1,2	1,2	0	0	U	0	1	0	1	0	0	1	1	0	0	105
23	391	U	0.1	20	Y	Y	17.32	HOME	M	1,2	1,2	3	4	Y	0	0	0	1	0	0	1	1	0	0	106
21	390	M	0.1	50	N	Y	13.746	HOME	F	1,2	1,2	0	0	Y	0	0	1	1	0	0	1	1	0	1	107
24	440	U	10	20	Y	N	9.079	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	0	108
24	504	M	0.1	40	N	Y	16.582	RENTER	F	1,2	1,2	0	0	N	1	1	1	0	0	0	1	1	0	1	109
22	541	U	10	20	N	Y	10.442	RENTER	F	3+	1,2	0	0	N	1	0	1	0	0	0	1	0	1	0	110
25	403	M	0.1	40	N	N	0.615	COOP	M	1,2	1,2	2	0	N	1	0	0	0	0	1	1	1	0	1	111
21	500	M	30	20	N	Y	13.962	HOME	M	1,2	3+	0	0	N	0	0	0	1	0	0	1	1	0	1	112
25	381	U	50	20	Y	Y	17.563	HOME	F	1,2	1,2	2	0	N	0	0	1	1	0	0	1	1	0	0	113
21	368	M	0.1	20	N	Y	12.824	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	1	114
25	417	U	0.1	20	N	Y	19.778	RENTER	F	1,2	1,2	1	1	N	1	0	1	0	0	0	1	1	0	0	115
24	448	U	0.1	30	N	Y	16.232	HOME	F	1,2	1,2	1	0	Y	0	0	1	1	0	0	1	1	0	0	116
24	467	U	10	30	N	N	17.919	HOME	M	3+	1,2	4	0	Y	0	1	0	1	0	0	1	0	1	0	117
23	323	M	0.1	20	N	N	17.068	CONDO	M	1,2	1,2	0	0	Y	1	0	0	0	1	0	1	1	0	1	118
25	483	U	10	20	N	Y	2.367	RENTER	F	1,2	1,2	1	1	N	1	0	1	0	0	0	1	1	0	0	119
24	354	U	10	20	Y	Y	16.073	RENTER	M	1,2	1,2	0	1	N	1	0	0	0	0	0	1	1	0	0	120
24	406	U	0.1	40	Y	Y	17.949	HOME	M	1,2	1,2	0	0	N	0	1	0	1	0	0	1	1	0	0	121
23	431	U	10	30	N	Y	16.463	HOME	M	3+	1,2	0	2	U	0	0	0	1	0	0	1	0	1	0	122
21	484	U	0.1	30	Y	Y	12.729	HOME	F	3+	1,2	0	0	Y	0	0	1	1	0	0	1	0	1	0	123
23	519	U	10	20	Y	N	4.646	HOME	M	1,2	1,2	1	0	Y	0	0	0	1	0	0	1	1	0	0	124
21	444	U	0.1	20	Y	Y	11.693	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	0	125
21	428	U	0.1	20	Y	Y	1.924	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	0	126
24	434	U	0.1	30	Y	Y	0.81	RENTER	F	1,2	1,2	1	4	N	1	0	1	0	0	0	1	1	0	0	127
25	442	M	30	30	N	Y	16.783	HOME	M	1,2	1,2	0	0	Y	0	0	0	1	0	0	1	1	0	1	128
22	469	M	0.1	40	Y	Y	7.976	HOME	M	1,2	1,2	0	0	Y	0	0	0	1	0	0	1	1	0	1	129
24	354	U	0.1	20	N	Y	11.697	RENTER	F	1,2	1,2	0	0	N	1	0	1	0	0	0	1	1	0	0	130
25	416	U	0.1	20	Y	Y	12.346	HOME	F	1,2	1,2	0	3	Y	0	0	1	1	0	0	1	1	0	0	131
22	539	M	30	30	N	Y	18.677	RENTER	M	3+	1,2	0	0	N	1	0	0	0	0	0	1	0	1	1	132
23	447	U	0.1	30	Y	Y	10.495	HOME	M	1,2	1,2	0	5	Y	0	0	0	1	0	0	1	1	0	0	133
22	463	M	0.1	20	N	N	10.135	HOME	M	1,2	1,2	3	0	N	0	0	0	1	0	0	1	1	0	1	134
22	377	X	10	20	Y	Y	14.058	HOME	M	1,2	1,2	0	0	N	0	0	0	1	0	0	1	1	0	0	135
24	386	U	0.1	20	Y	N	14.837	HOME	F	1,2	3+	0	0	N	0	0	1	1	0	0	1	1	0	0	136
25	409	M	0.1	30	N	N	9.684	HOME	F	1,2	1,2	1	0	U	0	0	1	1	0	0	1	1	0	1	137
22	305	U	10	30	N	N	3.337	HOME	M	3+	1,2	1	0	Y	0	0	0	1	0	0	1	0	1	0	138
24	363	U	10	40	Y	Y	10.55	HOME	M	1,2	1,2	0	0	Y	0	0	0	1	0	0	1	1	0	0	139
23	382	U	0.1	20	N	Y	19.318	RENTER	F	3+	1,2	2	1	N	1	0	1	0	0	0	1	0	1	0	140
22	542	M	10	30	N	Y	8.48	RENTER	F	1,2	1,2	0	1	N	1	0	1	0	0	0	1	1	0	1	141
22	384	U	0.1	20	Y	N	0.671	RENTER	M	3+	3+	0	4	N	1	0	0	0	0	0	1	0	1	0	142
20	340	M	10	20	N	N	8.43	CONDO	M	1,2	1,2	3	0	N	1	1	0	0	1	0	1	1	0	1	143
22	545	U	0.1	20	N	Y	13.665	RENTER	M	1,2	1,2	2	0	N	1	1	0	0	0	0	1	1	0	0	144
21	523	U	10	30	Y	N	16.196	HOME	M	1,2	1,2	0	0	N	0	0	0	1	0	0	1	1	0	0	145
23	511	U	0.1	30	N	N	7.009	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	0	146
23	419	U	0.1	30	N	Y	3.131	HOME	M	1,2	1,2	0	3	Y	0	0	0	1	0	0	1	1	0	0	147
21	508	U	10	30	Y	Y	19.702	HOME	F	1,2	1,2	0	0	Y	0	0	1	1	0	0	1	1	0	0	148
23	549	M	10	30	N	Y	9.418	HOME	M	1,2	1,2	0	0	U	0	0	0	1	0	0	1	1	0	1	149
22	458	M	30	40	N	N	10.33	HOME	M	1,2	3+	2	0	Y	0	0	0	1	0	0	1	1	0	1	150
22	530	M	0.1	20	N	N	4.588	RENTER	M	1,2	1,2	0	1	N	1	0	0	0	0	0	1	1	0	1	151
23	427	M	0.1	30	N	Y	6.209	RENTER	M	1,2	1,2	0	1	N	1	1	0	0	0	0	1	1	0	1	152
21	504	U	10	20	Y	Y	16.769	RENTER	M	1,2	1,2	2	2	N	1	0	0	0	0	0	1	1	0	0	153
24	421	M	10	20	Y	Y	8.191	RENTER	F	1,2	1,2	0	3	N	1	0	1	0	0	0	1	1	0	1	154
25	334	M	10	20	N	N	4.346	RENTER	M	1,2	1,2	1	1	N	1	0	0	0	0	0	1	1	0	1	155
22	418	M	0.1	60	N	Y	10.609	HOME	M	1,2	1,2	1	1	Y	0	0	0	1	0	0	1	1	0	1	156
23	474	M	10	30	Y	Y	18.475	RENTER	F	1,2	1,2	0	0	N	1	1	1	0	0	0	1	1	0	1	157
23	420	U	10	40	N	Y	11.831	HOME	F	1,2	1,2	0	0	U	0	0	1	1	0	0	1	1	0	0	158
21	494	U	0.1	30	N	Y	13.631	HOME	M	1,2	1,2	0	2	Y	0	0	0	1	0	0	1	1	0	0	159
23	429	U	50	30	Y	N	12.807	HOME	M	1,2	1,2	4	0	Y	0	0	0	1	0	0	1	1	0	0	160
20	361	U	10	20	Y	Y	17.506	HOME	M	1,2	1,2	1	0	U	0	1	0	1	0	0	1	1	0	0	161
24	542	U	10	30	Y	Y	4.762	RENTER	M	1,2	1,2	0	1	N	1	0	0	0	0	0	1	1	0	0	162
23	315	U	0.1	20	N	N	14.889	HOME	F	1,2	1,2	0	1	Y	0	0	1	1	0	0	1	1	0	0	163
21	318	M	0.1	20	Y	Y	5.536	RENTER	F	1,2	1,2	0	1	N	1	1	1	0	0	0	1	1	0	1	164
23	441	M	0.1	30	Y	Y	15.305	RENTER	M	1,2	1,2	3	0	N	1	0	0	0	0	0	1	1	0	1	165
23	442	U	30	30	Y	N	14.322	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	0	166
22	414	M	0.1	20	N	N	11.64	RENTER	F	1,2	1,2	0	1	N	1	0	1	0	0	0	1	1	0	1	167
24	504	U	0.1	30	N	Y	9.101	RENTER	M	1,2	3+	1	0	N	1	0	0	0	0	0	1	1	0	0	168
21	412	M	0.1	20	Y	Y	17.401	RENTER	F	1,2	1,2	1	0	N	1	0	1	0	0	0	1	1	0	1	169
23	354	M	10	30	Y	Y	3.51	HOME	F	1,2	1,2	4	0	Y	0	0	1	1	0	0	1	1	0	1	170
24	501	M	30	20	Y	Y	12.664	RENTER	M	1,2	1,2	2	0	N	1	0	0	0	0	0	1	1	0	1	171
23	413	M	0.1	20	N	Y	13.696	HOME	F	1,2	1,2	1	0	Y	0	0	1	1	0	0	1	1	0	1	172
25	354	M	0.1	20	N	N	13.41	HOME	M	1,2	1,2	1	1	Y	0	0	0	1	0	0	1	1	0	1	173
20	325	M	50	20	Y	N	0.147	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	1	174
22	452	M	50	20	N	Y	14.649	HOME	M	1,2	1,2	0	0	N	0	0	0	1	0	0	1	1	0	1	175
20	585	M	0.1	20	N	Y	13.292	RENTER	F	1,2	1,2	0	4	N	1	1	1	0	0	0	1	1	0	1	176
21	591	M	0.1	30	Y	N	1.018	RENTER	M	3+	1,2	0	0	N	1	0	0	0	0	0	1	0	1	1	177
24	551	U	10	50	Y	Y	12.43	HOME	M	1,2	1,2	0	0	N	0	0	0	1	0	0	1	1	0	0	178
24	580	M	30	50	Y	N	14.469	HOME	M	1,2	1,2	0	0	U	0	0	0	1	0	0	1	1	0	1	179
23	579	U	10	30	Y	Y	12.264	RENTER	F	1,2	1,2	0	3	N	1	0	1	0	0	0	1	1	0	0	180
24	584	U	0.1	20	N	Y	7.459	HOME	F	1,2	3+	0	0	Y	0	0	1	1	0	0	1	1	0	0	181
20	589	U	0.1	30	N	Y	8.68	HOME	M	1,2	1,2	0	1	N	0	0	0	1	0	0	1	1	0	0	182
21	581	U	30	20	Y	Y	12.087	RENTER	M	1,2	1,2	3	4	N	1	1	0	0	0	0	1	1	0	0	183
24	567	M	0.1	20	N	N	2.051	COOP	F	0	1,2	0	4	N	1	0	1	0	0	1	1	0	0	1	184
22	582	U	0.1	30	N	Y	12.894	HOME	M	1,2	1,2	0	0	Y	0	0	0	1	0	0	1	1	0	0	185
23	575	U	30	30	N	Y	19.42	HOME	F	1,2	1,2	0	0	N	0	0	1	1	0	0	1	1	0	0	186
22	584	U	0.1	40	Y	N	19.695	HOME	F	1,2	3+	4	2	Y	0	0	1	1	0	0	1	1	0	0	187
25	565	M	0.1	30	N	Y	18.684	RENTER	M	1,2	1,2	0	0	N	1	0	0	0	0	0	1	1	0	1	188
21	558	M	10	20	N	Y	12.957	HOME	F	1,2	3+	0	4	Y	0	0	1	1	0	0	1	1	0	1	189
24	582	U	0.1	30	N	Y	17.108	HOME	M	1,2	1,2	0	0	N	0	0	0	1	0	0	1	1	0	0	190
24	564	U	0.1	20	N	N	6.612	HOME	M	1,2	1,2	0	0	N	0	0	0	1	0	0	1	1	0	0	191
24	594	M	10	30	Y	Y	10.93	RENTER	F	1,2	1,2	1	0	N	1	1	1	0	0	0	1	1	0	1	192
20	570	U	0.1	30	N	Y	17.878	RENTER	F	1,2	1,2	0	0	N	1	0	1	0	0	0	1	1	0	0	193
24	581	M	10	20	N	Y	19.992	RENTER	F	1,2	1,2	0	1	N	1	0	1	0	0	0	1	1	0	1	194
21	582	U	0.1	20	N	Y	16.373	HOME	M	1,2	1,2	0	0	Y	0	0	0	1	0	0	1	1	0	0	195
24	580	M	10	30	Y	Y	5.931	HOME	M	1,2	1,2	1	3	N	0	1	0	1	0	0	1	1	0	1	196
22	571	U	10	30	Y	N	18.14	HOME	F	1,2	1,2	1	0	N	0	0	1	1	0	0	1	1	0	0	197
23	564	U	10	20	N	Y	15.499	HOME	M	1,2	1,2	0	2	Y	0	0	0	1	0	0	1	1	0	0	198
20	580	M	30	20	N	N	14.695	HOME	F	1,2	1,2	0	0	N	0	0	1	1	0	0	1	1	0	1	199
21	556	U	0.1	20	N	N	7.482	HOME	M	1,2	1,2	1	2	Y	0	0	0	1	0	0	1	1	0	0	200
23	598	M	10	20	N	Y	13.581	HOME	F	1,2	1,2	0	0	Y	0	0	1	1	0	0	1	1	0	1	201
21	577	U	0.1	30	N	N	14.615	HOME	F	3+	1,2	1	0	Y	0	0	1	1	0	0	1	0	1	0	202
22	569	U	10	30	N	N	10.285	HOME	F	1,2	1,2	0	1	Y	0	0	1	1	0	0	1	1	0	0	203
24	559	U	50	20	N	N	4.601	HOME	M	1,2	1,2	0	0	N	0	0	0	1	0	0	1	1	0	0	204
21	556	M	0.1	20	Y	Y	12.905	HOME	M	1,2	1,2	0	0	Y	0	1	0	1	0	0	1	1	0	1	205
21	559	U	0.1	50	Y	Y	12.22	RENTER	M	1,2	1,2	1	0	N	1	0	0	0	0	0	1	1	0	0	206
20	556	U	0.1	30	N	Y	18.828	HOME	M	3+	1,2	0	0	Y	0	1	0	1	0	0	1	0	1	0	207
20	552	M	50	20	Y	Y	8.054	HOME	F	3+	1,2	0	0	Y	0	0	1	1	0	0	1	0	1	1	208
25	556	U	10	30	N	Y	0.476	RENTER	M	1,2	1,2	2	0	N	1	0	0	0	0	0	1	1	0	0	209
23	567	M	0.1	60	Y	Y	12.506	CONDO	M	1,2	1,2	2	1	N	1	1	0	0	1	0	1	1	0	1	210
22	575	U	10	30	Y	Y	10.08	HOME	M	1,2	1,2	1	0	Y	0	0	0	1	0	0	1	1	0	0	211
24	584	U	50	20	Y	Y	3.485	HOME	M	1,2	1,2	2	3	Y	0	1	0	1	0	0	1	1	0	0	212
21	580	U	0.1	40	N	Y	15.075	RENTER	F	3+	1,2	0	0	N	1	0	1	0	0	0	1	0	1	0	213
22	580	U	10	30	Y	N	5.583	CONDO	F	1,2	1,2	0	2	Y	1	0	1	0	1	0	1	1	0	0	214
22	580	M	10	20	Y	N	15.887	RENTER	F	1,2	1,2	0	0	N	1	0	1	0	0	0	1	1	0	1	215
20	570	M	0.1	20	Y	Y	14.475	HOME	F	1,2	1,2	4	0	Y	0	0	1	1	0	0	1	1	0	1	216
25	580	U	0.1	30	N	N	4.619	HOME	F	1,2	3+	0	2	Y	0	0	1	1	0	0	1	1	0	0	217
22	593	M	0.1	20	Y	Y	10.688	COOP	F	1,2	1,2	1	0	Y	1	0	1	0	0	1	1	1	0	1	218
