AGE,CRED,MS,HEQ,INCOME,DEPC,MOB,MILEAGE,RESTYPE,GENDER,EMP_STA,RES_STA,DELINQ,NUMTR,MRTGI,MFDU,resp
19,336.0,U,0.1,20,Y,Y,18.53,HOME,M,"1,2","1,2",1,0,Y,0,0
19,487.0,U,0.1,20,N,Y,7.12,RENTER,M,"1,2","1,2",2,0,N,1,0
18,311.0,X,0.1,20,Y,Y,8.087,RENTER,M,"1,2","1,2",1,0,N,1,0
19,385.0,U,0.1,20,N,N,19.81,HOME,M,"1,2",3+,0,0,Y,0,0
19,419.0,U,0.1,20,N,Y,17.211,HOME,F,"1,2","1,2",0,2,N,0,0
19,322.0,U,0.1,20,Y,N,4.688,RENTER,M,0,"1,2",1,0,N,1,0
18,481.0,M,0.1,20,N,Y,12.3,HOME,M,"1,2","1,2",0,0,N,0,0
19,479.0,X,0.1,20,N,N,10.124,CONDO,F,"1,2","1,2",0,0,Y,1,0
19,494.0,U,0.1,20,N,Y,14.439,HOME,M,"1,2",3+,0,0,U,0,0
19,354.0,U,0.1,20,N,Y,6.127999999999999,RENTER,M,"1,2","1,2",1,0,N,1,0
18,505.0,M,0.1,20,N,Y,1.0290000000000001,HOME,F,"1,2","1,2",1,0,Y,0,1
19,521.0,M,0.1,20,N,Y,1.9269999999999998,HOME,F,"1,2","1,2",1,0,Y,0,0
19,506.0,M,0.1,20,N,N,13.488,HOME,M,"1,2","1,2",4,0,Y,0,0
19,447.0,M,0.1,30,Y,Y,19.45,HOME,F,3+,"1,2",0,1,N,0,0
19,522.0,U,0.1,20,N,N,7.156000000000001,HOME,M,"1,2",3+,0,0,N,0,0
18,526.0,M,0.1,20,Y,N,19.997,RENTER,F,"1,2","1,2",0,0,N,1,0
19,498.0,U,0.1,20,N,Y,12.79,RENTER,M,"1,2","1,2",0,0,N,1,0
20,332.0,U,0.1,20,N,Y,14.023,HOME,M,"1,2","1,2",0,0,N,0,0
19,500.0,U,0.1,20,Y,Y,5.025,HOME,F,"1,2","1,2",0,0,Y,0,0
20,491.0,U,0.1,20,N,Y,27.373,RENTER,M,"1,2","1,2",0,0,N,1,0
19,446.0,M,0.1,20,N,N,19.379,HOME,M,"1,2","1,2",0,0,Y,0,0
20,335.0,M,0.1,20,N,Y,4.3069999999999995,HOME,M,"1,2","1,2",0,1,U,0,0
18,451.0,M,0.1,20,N,Y,18.462,HOME,M,"1,2","1,2",2,0,Y,0,0
19,511.0,M,0.1,20,N,Y,14.263,HOME,F,"1,2","1,2",1,4,N,0,1
20,556.0,U,0.1,20,Y,N,12.568,RENTER,M,"1,2","1,2",0,0,N,1,0
19,577.0,U,0.1,20,N,Y,13.673,RENTER,F,"1,2","1,2",0,0,N,1,0
18,590.0,U,10.0,20,Y,N,13.082,HOME,F,"1,2","1,2",2,0,Y,0,0
20,558.0,X,0.1,20,Y,N,16.403,COOP,M,"1,2","1,2",3,0,Y,1,0
19,560.0,X,0.1,20,N,Y,3.4389999999999996,RENTER,M,"1,2","1,2",2,0,N,1,0
19,567.0,X,0.1,20,N,Y,11.08,RENTER,F,"1,2","1,2",0,0,N,1,0
19,579.0,U,0.1,20,N,Y,17.854,RENTER,M,"1,2",3+,0,0,N,1,0
20,587.0,U,0.1,20,Y,Y,10.054,RENTER,F,"1,2","1,2",0,0,N,1,0
19,555.0,U,0.1,20,Y,Y,12.195,HOME,M,"1,2","1,2",1,2,Y,0,0
18,558.0,U,0.1,20,Y,N,18.445,HOME,F,"1,2","1,2",0,0,N,0,0
18,558.0,U,0.1,20,Y,Y,14.763,HOME,M,"1,2",3+,3,1,Y,0,1
19,594.0,U,0.1,20,N,Y,7.4510000000000005,RENTER,F,3+,"1,2",1,4,N,1,1
19,565.0,U,0.1,20,N,Y,4.254,HOME,M,"1,2","1,2",1,0,Y,0,0
18,569.0,M,0.1,20,N,Y,10.571,HOME,F,0,"1,2",0,4,Y,0,1
19,563.0,M,0.1,20,N,N,4.619,HOME,M,"1,2","1,2",1,0,N,0,0
19,589.0,U,10.0,20,N,N,14.182,RENTER,F,"1,2","1,2",0,1,N,1,0
19,562.0,U,0.1,20,N,Y,12.279000000000002,HOME,F,"1,2","1,2",0,1,Y,0,0
19,570.0,U,0.1,20,Y,Y,17.609,RENTER,F,"1,2","1,2",1,0,N,1,0
20,583.0,M,0.1,20,Y,Y,10.088,HOME,F,"1,2","1,2",0,0,Y,0,0
20,561.0,U,0.1,20,N,N,12.817,RENTER,F,"1,2","1,2",0,4,N,1,0
19,562.0,U,0.1,20,N,Y,14.785,RENTER,M,"1,2","1,2",1,0,N,1,0
20,563.0,U,0.1,20,Y,Y,13.382,HOME,F,"1,2","1,2",0,0,Y,0,0
19,583.0,U,0.1,20,Y,Y,18.562,HOME,F,"1,2","1,2",2,0,U,0,0
20,563.0,X,0.1,20,N,N,4.843,RENTER,F,"1,2","1,2",0,0,N,1,0
19,582.0,X,0.1,20,N,N,0.45799999999999996,RENTER,M,"1,2","1,2",2,0,N,1,1
19,554.0,U,0.1,20,Y,N,13.285,HOME,M,"1,2","1,2",1,0,N,0,0
19,572.0,U,0.1,20,N,Y,11.610999999999999,RENTER,M,"1,2",3+,3,0,N,1,0
19,568.0,U,0.1,20,N,N,14.776,HOME,M,"1,2","1,2",1,0,N,0,0
19,633.0,U,0.1,20,N,Y,1.3,HOME,M,"1,2","1,2",3,0,Y,0,0
18,633.0,M,0.1,20,N,Y,14.094000000000001,HOME,F,"1,2","1,2",0,1,N,0,0
19,621.0,U,0.1,20,Y,Y,14.213,HOME,M,"1,2","1,2",3,0,N,0,0
19,609.0,U,0.1,20,Y,N,2.396,HOME,F,"1,2","1,2",4,0,N,0,0
18,621.0,M,0.1,20,Y,N,19.045,RENTER,F,"1,2","1,2",2,7,N,1,1
18,609.0,M,0.1,20,Y,Y,11.262,RENTER,M,"1,2","1,2",0,0,N,1,0
18,633.0,U,0.1,20,N,N,7.957999999999999,RENTER,F,0,3+,0,0,N,1,0
18,628.0,M,0.1,20,N,Y,18.596,HOME,M,"1,2","1,2",1,0,U,0,1
19,634.0,X,0.1,20,N,N,19.807000000000002,COOP,M,"1,2","1,2",2,0,N,1,0
18,627.0,M,0.1,20,N,N,10.915,COOP,M,"1,2",3+,1,0,Y,1,0
19,668.0,M,0.1,20,N,N,11.513,RENTER,M,"1,2","1,2",0,0,N,1,0
18,661.0,U,0.1,20,N,N,10.440999999999999,HOME,M,"1,2","1,2",1,1,N,0,0
20,664.0,M,0.1,20,Y,N,5.502999999999999,HOME,M,3+,"1,2",0,0,Y,0,0
20,672.0,U,0.1,20,Y,Y,9.728,RENTER,F,3+,"1,2",0,1,N,1,0
19,650.0,U,0.1,20,Y,Y,19.715,COOP,F,"1,2","1,2",0,1,Y,1,0
20,697.0,U,0.1,30,Y,Y,8.706,RENTER,M,"1,2","1,2",1,1,N,1,0
19,686.0,U,0.1,20,Y,Y,11.6,HOME,M,0,"1,2",1,1,Y,0,0
18,730.0,U,0.1,20,N,Y,14.265,HOME,M,"1,2",3+,1,3,N,0,0
21,430.0,U,0.1,20,N,Y,7.486000000000001,RENTER,F,"1,2","1,2",0,1,N,1,0
23,452.0,U,0.1,30,N,Y,8.746,RENTER,M,"1,2","1,2",0,1,N,1,0
21,390.0,M,10.0,30,N,N,5.296,RENTER,M,"1,2","1,2",2,4,N,1,1
24,436.0,M,0.1,30,N,Y,13.294,RENTER,F,"1,2","1,2",0,0,N,1,0
24,401.0,M,0.1,20,Y,Y,19.762,CONDO,M,"1,2","1,2",1,0,Y,1,0
24,324.0,M,10.0,30,N,Y,17.769000000000002,HOME,M,"1,2","1,2",0,1,Y,0,0
24,495.0,M,0.1,20,N,N,5.428,HOME,F,"1,2","1,2",0,0,U,0,0
25,491.0,U,10.0,40,N,Y,7.813,HOME,F,"1,2","1,2",0,0,N,0,0
22,420.0,M,50.0,20,N,N,16.410999999999998,HOME,M,"1,2","1,2",0,3,Y,0,0
23,519.0,U,10.0,30,N,Y,18.413,HOME,M,0,"1,2",1,0,N,0,0
21,419.0,U,0.1,30,Y,Y,15.116,HOME,F,0,"1,2",2,1,N,0,0
24,512.0,M,0.1,20,N,N,15.732999999999999,HOME,F,"1,2","1,2",1,0,Y,0,0
20,450.0,U,0.1,30,Y,N,16.328,RENTER,M,"1,2","1,2",0,0,N,1,0
21,379.0,U,10.0,20,N,Y,15.315,HOME,M,"1,2","1,2",0,0,U,0,1
23,391.0,U,0.1,20,Y,Y,17.32,HOME,M,"1,2","1,2",3,4,Y,0,0
21,390.0,M,0.1,50,N,Y,13.745999999999999,HOME,F,"1,2","1,2",0,0,Y,0,0
24,440.0,U,10.0,20,Y,N,9.079,RENTER,M,"1,2","1,2",0,0,N,1,0
24,504.0,M,0.1,40,N,Y,16.582,RENTER,F,"1,2","1,2",0,0,N,1,1
22,541.0,U,10.0,20,N,Y,10.442,RENTER,F,3+,"1,2",0,0,N,1,0
25,403.0,M,0.1,40,N,N,0.615,COOP,M,"1,2","1,2",2,0,N,1,0
21,500.0,M,30.0,20,N,Y,13.962,HOME,M,"1,2",3+,0,0,N,0,0
25,381.0,U,50.0,20,Y,Y,17.563,HOME,F,"1,2","1,2",2,0,N,0,0
21,368.0,M,0.1,20,N,Y,12.824000000000002,RENTER,M,"1,2","1,2",0,0,N,1,0
25,417.0,U,0.1,20,N,Y,19.778,RENTER,F,"1,2","1,2",1,1,N,1,0
24,448.0,U,0.1,30,N,Y,16.232,HOME,F,"1,2","1,2",1,0,Y,0,0
24,467.0,U,10.0,30,N,N,17.919,HOME,M,3+,"1,2",4,0,Y,0,1
23,323.0,M,0.1,20,N,N,17.067999999999998,CONDO,M,"1,2","1,2",0,0,Y,1,0
25,483.0,U,10.0,20,N,Y,2.367,RENTER,F,"1,2","1,2",1,1,N,1,0
24,354.0,U,10.0,20,Y,Y,16.073,RENTER,M,"1,2","1,2",0,1,N,1,0
24,406.0,U,0.1,40,Y,Y,17.949,HOME,M,"1,2","1,2",0,0,N,0,1
23,431.0,U,10.0,30,N,Y,16.463,HOME,M,3+,"1,2",0,2,U,0,0
21,484.0,U,0.1,30,Y,Y,12.729000000000001,HOME,F,3+,"1,2",0,0,Y,0,0
23,519.0,U,10.0,20,Y,N,4.646,HOME,M,"1,2","1,2",1,0,Y,0,0
21,444.0,U,0.1,20,Y,Y,11.693,RENTER,M,"1,2","1,2",0,0,N,1,0
21,428.0,U,0.1,20,Y,Y,1.9240000000000002,RENTER,M,"1,2","1,2",0,0,N,1,0
24,434.0,U,0.1,30,Y,Y,0.81,RENTER,F,"1,2","1,2",1,4,N,1,0
25,442.0,M,30.0,30,N,Y,16.783,HOME,M,"1,2","1,2",0,0,Y,0,0
22,469.0,M,0.1,40,Y,Y,7.976,HOME,M,"1,2","1,2",0,0,Y,0,0
24,354.0,U,0.1,20,N,Y,11.697000000000001,RENTER,F,"1,2","1,2",0,0,N,1,0
25,416.0,U,0.1,20,Y,Y,12.345999999999998,HOME,F,"1,2","1,2",0,3,Y,0,0
22,539.0,M,30.0,30,N,Y,18.677,RENTER,M,3+,"1,2",0,0,N,1,0
23,447.0,U,0.1,30,Y,Y,10.495,HOME,M,"1,2","1,2",0,5,Y,0,0
22,463.0,M,0.1,20,N,N,10.135,HOME,M,"1,2","1,2",3,0,N,0,0
22,377.0,X,10.0,20,Y,Y,14.058,HOME,M,"1,2","1,2",0,0,N,0,0
24,386.0,U,0.1,20,Y,N,14.837,HOME,F,"1,2",3+,0,0,N,0,0
25,409.0,M,0.1,30,N,N,9.684,HOME,F,"1,2","1,2",1,0,U,0,0
22,305.0,U,10.0,30,N,N,3.3369999999999997,HOME,M,3+,"1,2",1,0,Y,0,0
24,363.0,U,10.0,40,Y,Y,10.55,HOME,M,"1,2","1,2",0,0,Y,0,0
23,382.0,U,0.1,20,N,Y,19.317999999999998,RENTER,F,3+,"1,2",2,1,N,1,0
22,542.0,M,10.0,30,N,Y,8.48,RENTER,F,"1,2","1,2",0,1,N,1,0
22,384.0,U,0.1,20,Y,N,0.6709999999999999,RENTER,M,3+,3+,0,4,N,1,0
20,340.0,M,10.0,20,N,N,8.43,CONDO,M,"1,2","1,2",3,0,N,1,1
22,545.0,U,0.1,20,N,Y,13.665,RENTER,M,"1,2","1,2",2,0,N,1,1
21,523.0,U,10.0,30,Y,N,16.195999999999998,HOME,M,"1,2","1,2",0,0,N,0,0
23,511.0,U,0.1,30,N,N,7.0089999999999995,RENTER,M,"1,2","1,2",0,0,N,1,0
23,419.0,U,0.1,30,N,Y,3.1310000000000002,HOME,M,"1,2","1,2",0,3,Y,0,0
21,508.0,U,10.0,30,Y,Y,19.702,HOME,F,"1,2","1,2",0,0,Y,0,0
23,549.0,M,10.0,30,N,Y,9.418,HOME,M,"1,2","1,2",0,0,U,0,0
22,458.0,M,30.0,40,N,N,10.33,HOME,M,"1,2",3+,2,0,Y,0,0
22,530.0,M,0.1,20,N,N,4.588,RENTER,M,"1,2","1,2",0,1,N,1,0
23,427.0,M,0.1,30,N,Y,6.209,RENTER,M,"1,2","1,2",0,1,N,1,1
21,504.0,U,10.0,20,Y,Y,16.769000000000002,RENTER,M,"1,2","1,2",2,2,N,1,0
24,421.0,M,10.0,20,Y,Y,8.191,RENTER,F,"1,2","1,2",0,3,N,1,0
25,334.0,M,10.0,20,N,N,4.346,RENTER,M,"1,2","1,2",1,1,N,1,0
22,418.0,M,0.1,60,N,Y,10.609000000000002,HOME,M,"1,2","1,2",1,1,Y,0,0
23,474.0,M,10.0,30,Y,Y,18.475,RENTER,F,"1,2","1,2",0,0,N,1,1
23,420.0,U,10.0,40,N,Y,11.831,HOME,F,"1,2","1,2",0,0,U,0,0
21,494.0,U,0.1,30,N,Y,13.630999999999998,HOME,M,"1,2","1,2",0,2,Y,0,0
23,429.0,U,50.0,30,Y,N,12.807,HOME,M,"1,2","1,2",4,0,Y,0,0
20,361.0,U,10.0,20,Y,Y,17.506,HOME,M,"1,2","1,2",1,0,U,0,1
24,542.0,U,10.0,30,Y,Y,4.762,RENTER,M,"1,2","1,2",0,1,N,1,0
23,315.0,U,0.1,20,N,N,14.889000000000001,HOME,F,"1,2","1,2",0,1,Y,0,0
21,318.0,M,0.1,20,Y,Y,5.5360000000000005,RENTER,F,"1,2","1,2",0,1,N,1,1
23,441.0,M,0.1,30,Y,Y,15.305,RENTER,M,"1,2","1,2",3,0,N,1,0
23,442.0,U,30.0,30,Y,N,14.322000000000001,RENTER,M,"1,2","1,2",0,0,N,1,0
22,414.0,M,0.1,20,N,N,11.64,RENTER,F,"1,2","1,2",0,1,N,1,0
24,504.0,U,0.1,30,N,Y,9.101,RENTER,M,"1,2",3+,1,0,N,1,0
21,412.0,M,0.1,20,Y,Y,17.401,RENTER,F,"1,2","1,2",1,0,N,1,0
23,354.0,M,10.0,30,Y,Y,3.51,HOME,F,"1,2","1,2",4,0,Y,0,0
24,501.0,M,30.0,20,Y,Y,12.664000000000001,RENTER,M,"1,2","1,2",2,0,N,1,0
23,413.0,M,0.1,20,N,Y,13.696,HOME,F,"1,2","1,2",1,0,Y,0,0
25,354.0,M,0.1,20,N,N,13.41,HOME,M,"1,2","1,2",1,1,Y,0,0
20,325.0,M,50.0,20,Y,N,0.147,RENTER,M,"1,2","1,2",0,0,N,1,0
22,452.0,M,50.0,20,N,Y,14.649000000000001,HOME,M,"1,2","1,2",0,0,N,0,0
20,585.0,M,0.1,20,N,Y,13.292,RENTER,F,"1,2","1,2",0,4,N,1,1
21,591.0,M,0.1,30,Y,N,1.018,RENTER,M,3+,"1,2",0,0,N,1,0
24,551.0,U,10.0,50,Y,Y,12.43,HOME,M,"1,2","1,2",0,0,N,0,0
24,580.0,M,30.0,50,Y,N,14.469000000000001,HOME,M,"1,2","1,2",0,0,U,0,0
23,579.0,U,10.0,30,Y,Y,12.264000000000001,RENTER,F,"1,2","1,2",0,3,N,1,0
24,584.0,U,0.1,20,N,Y,7.459,HOME,F,"1,2",3+,0,0,Y,0,0
20,589.0,U,0.1,30,N,Y,8.68,HOME,M,"1,2","1,2",0,1,N,0,0
21,581.0,U,30.0,20,Y,Y,12.087,RENTER,M,"1,2","1,2",3,4,N,1,1
24,567.0,M,0.1,20,N,N,2.051,COOP,F,0,"1,2",0,4,N,1,0
22,582.0,U,0.1,30,N,Y,12.894,HOME,M,"1,2","1,2",0,0,Y,0,0
23,575.0,U,30.0,30,N,Y,19.42,HOME,F,"1,2","1,2",0,0,N,0,0
22,584.0,U,0.1,40,Y,N,19.695,HOME,F,"1,2",3+,4,2,Y,0,0
25,565.0,M,0.1,30,N,Y,18.684,RENTER,M,"1,2","1,2",0,0,N,1,0
21,558.0,M,10.0,20,N,Y,12.957,HOME,F,"1,2",3+,0,4,Y,0,0
24,582.0,U,0.1,30,N,Y,17.108,HOME,M,"1,2","1,2",0,0,N,0,0
24,564.0,U,0.1,20,N,N,6.612,HOME,M,"1,2","1,2",0,0,N,0,0
24,594.0,M,10.0,30,Y,Y,10.93,RENTER,F,"1,2","1,2",1,0,N,1,1
20,570.0,U,0.1,30,N,Y,17.878,RENTER,F,"1,2","1,2",0,0,N,1,0
24,581.0,M,10.0,20,N,Y,19.992,RENTER,F,"1,2","1,2",0,1,N,1,0
21,582.0,U,0.1,20,N,Y,16.373,HOME,M,"1,2","1,2",0,0,Y,0,0
24,580.0,M,10.0,30,Y,Y,5.931,HOME,M,"1,2","1,2",1,3,N,0,1
22,571.0,U,10.0,30,Y,N,18.14,HOME,F,"1,2","1,2",1,0,N,0,0
23,564.0,U,10.0,20,N,Y,15.499,HOME,M,"1,2","1,2",0,2,Y,0,0
20,580.0,M,30.0,20,N,N,14.695,HOME,F,"1,2","1,2",0,0,N,0,0
21,556.0,U,0.1,20,N,N,7.482,HOME,M,"1,2","1,2",1,2,Y,0,0
23,598.0,M,10.0,20,N,Y,13.581,HOME,F,"1,2","1,2",0,0,Y,0,0
21,577.0,U,0.1,30,N,N,14.615,HOME,F,3+,"1,2",1,0,Y,0,0
22,569.0,U,10.0,30,N,N,10.285,HOME,F,"1,2","1,2",0,1,Y,0,0
24,559.0,U,50.0,20,N,N,4.601,HOME,M,"1,2","1,2",0,0,N,0,0
21,556.0,M,0.1,20,Y,Y,12.905,HOME,M,"1,2","1,2",0,0,Y,0,1
21,559.0,U,0.1,50,Y,Y,12.22,RENTER,M,"1,2","1,2",1,0,N,1,0
20,556.0,U,0.1,30,N,Y,18.828,HOME,M,3+,"1,2",0,0,Y,0,1
20,552.0,M,50.0,20,Y,Y,8.054,HOME,F,3+,"1,2",0,0,Y,0,0
25,556.0,U,10.0,30,N,Y,0.47600000000000003,RENTER,M,"1,2","1,2",2,0,N,1,0
23,567.0,M,0.1,60,Y,Y,12.505999999999998,CONDO,M,"1,2","1,2",2,1,N,1,1
22,575.0,U,10.0,30,Y,Y,10.08,HOME,M,"1,2","1,2",1,0,Y,0,0
24,584.0,U,50.0,20,Y,Y,3.485,HOME,M,"1,2","1,2",2,3,Y,0,1
21,580.0,U,0.1,40,N,Y,15.075,RENTER,F,3+,"1,2",0,0,N,1,0
22,580.0,U,10.0,30,Y,N,5.582999999999999,CONDO,F,"1,2","1,2",0,2,Y,1,0
22,580.0,M,10.0,20,Y,N,15.887,RENTER,F,"1,2","1,2",0,0,N,1,0
20,570.0,M,0.1,20,Y,Y,14.475,HOME,F,"1,2","1,2",4,0,Y,0,0
25,580.0,U,0.1,30,N,N,4.619,HOME,F,"1,2",3+,0,2,Y,0,0
22,593.0,M,0.1,20,Y,Y,10.687999999999999,COOP,F,"1,2","1,2",1,0,Y,1,0
22,583.0,M,0.1,30,N,N,14.148,HOME,F,"1,2","1,2",0,4,N,0,0
24,572.0,M,10.0,20,Y,N,17.492,HOME,F,"1,2","1,2",2,0,Y,0,0
25,562.0,M,10.0,30,N,Y,18.309,HOME,F,"1,2","1,2",2,0,Y,0,0
21,596.0,M,0.1,30,N,Y,9.133,HOME,M,"1,2","1,2",0,0,Y,0,0
21,584.0,U,10.0,20,N,Y,11.007,RENTER,F,"1,2","1,2",0,0,N,1,0
24,579.0,U,0.1,30,N,N,10.41,HOME,M,"1,2","1,2",2,1,Y,0,0
23,587.0,X,0.1,30,Y,N,4.047,RENTER,F,"1,2",3+,2,0,N,1,0
21,585.0,U,0.1,30,N,N,13.779000000000002,HOME,M,"1,2","1,2",2,0,Y,0,0
24,555.0,M,30.0,20,N,Y,10.913,RENTER,M,"1,2","1,2",0,1,N,1,0
25,574.0,U,10.0,20,N,N,8.24,RENTER,F,0,"1,2",0,1,N,1,0
21,570.0,U,10.0,30,N,N,16.525,COOP,M,"1,2","1,2",0,0,Y,1,0
24,590.0,U,30.0,30,Y,Y,16.000999999999998,COOP,F,"1,2","1,2",0,0,Y,1,0
21,571.0,U,10.0,50,Y,Y,19.729,RENTER,M,"1,2","1,2",0,0,N,1,0
21,564.0,U,70.0,30,N,Y,10.155,HOME,M,3+,"1,2",0,0,N,0,0
24,574.0,U,0.1,20,N,N,4.842,HOME,M,"1,2","1,2",0,1,Y,0,0
22,573.0,U,0.1,50,N,Y,7.47,RENTER,M,"1,2","1,2",0,1,N,1,0
21,580.0,U,10.0,20,Y,Y,10.972000000000001,RENTER,M,"1,2","1,2",4,0,N,1,0
23,596.0,U,10.0,30,N,Y,12.854000000000001,HOME,F,"1,2","1,2",0,0,U,0,0
20,556.0,U,0.1,30,N,Y,15.548,COOP,M,"1,2","1,2",0,0,Y,1,0
22,563.0,U,10.0,20,N,N,1.4,CONDO,F,"1,2","1,2",0,3,Y,1,1
21,589.0,U,10.0,30,N,N,14.117,HOME,M,"1,2","1,2",1,0,U,0,0
24,571.0,M,10.0,20,N,Y,13.057,HOME,M,"1,2","1,2",0,0,Y,0,0
22,573.0,M,10.0,30,N,N,13.078,RENTER,M,"1,2","1,2",0,1,N,1,1
21,559.0,X,10.0,30,N,N,16.078,RENTER,F,"1,2","1,2",0,3,N,1,1
24,576.0,U,0.1,20,N,Y,17.823,HOME,F,"1,2","1,2",1,2,Y,0,0
21,565.0,M,0.1,20,Y,N,14.16,HOME,M,"1,2","1,2",2,0,Y,0,0
24,584.0,U,10.0,40,Y,Y,17.500999999999998,RENTER,M,"1,2","1,2",0,2,N,1,1
21,584.0,M,0.1,30,N,Y,19.547,RENTER,F,"1,2","1,2",0,0,N,1,0
21,574.0,U,0.1,20,N,Y,13.948,HOME,M,"1,2","1,2",0,0,N,0,0
23,587.0,M,30.0,30,N,N,19.214000000000002,HOME,M,"1,2","1,2",1,0,Y,0,0
22,594.0,U,30.0,30,N,Y,6.76,HOME,M,"1,2",3+,0,2,N,0,0
22,576.0,M,0.1,30,N,N,2.112,RENTER,M,"1,2","1,2",0,1,N,1,0
22,565.0,U,0.1,20,Y,N,2.339,HOME,M,"1,2","1,2",3,0,Y,0,0
23,586.0,U,10.0,30,Y,N,6.542999999999999,RENTER,F,"1,2","1,2",1,0,N,1,0
24,553.0,M,0.1,20,N,N,9.953,HOME,F,"1,2","1,2",0,0,Y,0,0
21,574.0,M,30.0,20,N,Y,6.256,RENTER,M,"1,2","1,2",0,2,N,1,0
25,571.0,U,50.0,20,N,Y,9.265,HOME,M,"1,2","1,2",0,2,N,0,0
21,575.0,M,70.0,20,Y,N,13.455,RENTER,M,"1,2",3+,0,0,N,1,0
23,550.0,M,0.1,40,Y,N,15.011,HOME,F,"1,2","1,2",3,1,Y,0,1
22,587.0,M,10.0,30,N,Y,15.769,HOME,M,"1,2","1,2",1,0,N,0,0
20,569.0,M,0.1,20,Y,Y,11.464,RENTER,F,3+,"1,2",0,0,N,1,0
23,610.0,X,30.0,20,N,Y,4.397,HOME,M,"1,2","1,2",1,2,Y,0,0
25,624.0,U,0.1,30,Y,Y,12.674000000000001,RENTER,M,"1,2","1,2",4,0,N,1,0
21,621.0,U,0.1,20,Y,N,6.525,HOME,M,"1,2","1,2",0,1,Y,0,1
23,619.0,U,0.1,30,N,Y,12.58,RENTER,M,"1,2","1,2",0,3,N,1,0
23,601.0,U,10.0,20,Y,Y,3.3110000000000004,HOME,M,"1,2","1,2",0,0,U,0,0
23,619.0,X,30.0,30,N,Y,15.73,RENTER,M,"1,2","1,2",0,0,N,1,0
21,620.0,M,10.0,20,N,N,1.114,HOME,M,"1,2","1,2",1,0,Y,0,0
21,627.0,M,0.1,30,N,Y,8.106,HOME,F,"1,2","1,2",1,0,Y,0,0
21,620.0,M,0.1,30,Y,Y,13.948,RENTER,M,"1,2","1,2",0,0,N,1,0
23,634.0,U,0.1,30,N,Y,15.774000000000001,HOME,F,3+,"1,2",0,0,N,0,0
22,618.0,U,0.1,20,Y,Y,18.616,RENTER,F,"1,2","1,2",1,0,N,1,1
23,618.0,M,0.1,30,N,Y,6.558,HOME,F,"1,2","1,2",0,1,N,0,0
22,603.0,M,0.1,30,N,Y,19.291,RENTER,F,"1,2","1,2",3,4,N,1,0
22,619.0,U,10.0,30,N,N,19.323,HOME,F,"1,2","1,2",2,0,Y,0,0
21,624.0,U,30.0,20,N,N,4.646,RENTER,F,"1,2","1,2",0,0,N,1,0
24,604.0,U,10.0,30,Y,Y,18.144000000000002,RENTER,M,3+,"1,2",0,1,N,1,0
22,631.0,M,10.0,30,N,Y,16.468,RENTER,M,"1,2","1,2",1,1,N,1,0
25,622.0,M,30.0,20,N,Y,3.988,RENTER,F,"1,2","1,2",3,1,N,1,0
24,612.0,U,0.1,40,Y,N,14.360999999999999,HOME,F,"1,2","1,2",4,1,N,0,0
22,622.0,U,0.1,20,N,Y,5.292999999999999,COOP,F,"1,2","1,2",2,0,N,1,0
